,history_beta
A,1.1612262238551323
AAL,1.512582040926958
AAP,0.849243793334632
AAPL,1.138451374357892
ABBV,0.6367918138660204
ABNB,1.5774787677669777
ABT,0.6881243047114237
ACGL,0.7286848672059423
ACN,0.9697015445958084
ADBE,1.2926517464127043
ADI,1.2523579365289568
ADM,0.8319625816379863
ADP,0.888772910577029
ADSK,1.2993498185932089
AEE,0.6034226261677934
AEP,0.564443299561231
AES,1.1324804681300238
AFL,1.1041892792316697
AIG,1.4198371020507647
AIT,1.0677947808185992
AIV,1.126166358413981
AIZ,0.9666987888471317
AJG,0.7215669220133907
AKAM,1.1840313023970155
ALB,1.251133553807221
ALGN,1.3414942841146442
ALK,1.2244689545196712
ALL,0.9352318889870918
ALLE,1.0045864465791066
AMAT,1.4708170133609155
AMCR,0.6738851154746627
AMD,1.597142846174409
AME,0.9923521505074502
AMG,1.4424035045211099
AMGN,0.7717765305814615
AMT,0.9129573626101471
AMZN,1.224921650201624
AN,1.0527969405821955
ANET,1.3073072465156073
ANF,1.2365459207479783
ANSS,1.0993886816123288
AON,0.7540828612172473
AOS,0.930965252015756
APA,1.2908241394091122
APD,0.9389281097505595
APH,1.1266260517373181
APO,1.3210059917990322
APTV,1.4248123611398347
ARE,0.9691327921267495
ASH,1.0548614821189557
ATGE,0.7851725901287574
ATO,0.5845469984882999
AVB,0.9239889025351073
AVGO,1.3797976477415106
AVY,0.9860346888305889
AWK,0.5983163204782554
AXON,1.1889802243814356
AXP,1.3286599927756608
AYI,1.179957328949941
AZO,0.6848679840420799
BA,1.1528184465625784
BAC,1.4589073944681976
BALL,0.8195394708871042
BAX,0.6385928049910671
BBWI,1.236376185615788
BBY,1.1229785006785784
BC,1.4827548970094382
BDX,0.5717103185521685
BEN,1.307188436917854
BG,0.7996147939372701
BHF,1.6319675694177702
BIIB,0.9306526586688986
BIO,0.7903093279184518
BK,1.2444856099047645
BKNG,1.2089026503692901
BKR,1.1400788699544884
BLDR,1.7455313134253916
BLK,1.186825645514194
BMY,0.6172555593317633
BRO,0.7756572403944237
BSX,0.9287415122528505
BWA,1.1544230913174567
BX,1.4450742921274917
BXP,1.0612050229299603
C,1.5499770421175356
CAG,0.42324504079012903
CAH,0.7320807840445368
CAR,1.6953601138003531
CARR,1.0848402850164547
CAT,1.0957791997078599
CB,0.9037399033609592
CBOE,0.5413679244185369
CBRE,1.5826164977276633
CCEP,0.778111403863269
CCI,0.9133658373406448
CCK,0.970086600238474
CCL,1.4617139392948744
CCU,0.5711354533446337
CDNS,1.2174308694030496
CDW,1.1086475066108628
CFG,1.331668557615878
CHD,0.4437455460503062
CHRW,0.7614429182349037
CHTR,0.8258637162871992
CI,0.9239603528973843
CIEN,1.422801477467424
CINF,1.008035396604933
CL,0.5196098833670515
CLF,1.6261227298710306
CLX,0.4044316817778346
CMA,1.3386579104973781
CMCSA,0.9913110899167359
CME,0.9302077899259306
CMG,0.9231748070290657
CMI,1.1872431935788794
CMS,0.6119513711122799
CMVT,0.7973334483149921
CNP,0.7460402272932636
CNX,1.1684748946688175
COF,1.528811720381264
COO,0.8054344405841872
COP,1.020602946562526
COR,0.6400396953574201
COST,0.7702586507965906
COTY,1.2754146287951496
CPAY,1.0961376002805154
CPB,0.3787905618190211
CPRI,1.4077585655460148
CPRT,0.8800937991307727
CPT,0.9087464846859218
CRL,0.9502095914474419
CRM,1.2711064901217304
CRWD,1.3530631966817876
CSCO,1.115901458109386
CSGP,1.011498991300129
CSR,0.7469958311698303
CSX,1.0573990590958724
CTAS,1.0269375238630631
CTRA,0.9615061721369554
CTSH,1.160482824437248
CTVA,0.8434582765507669
CVS,0.7089667458549184
CVX,0.9291346646455227
CZR,1.9555877004049806
D,0.5598617154309787
DAL,1.2959860471189781
DAY,1.433378858933576
DD,1.1526634489318586
DDS,1.3011956890312282
DE,1.03754944861353
DECK,1.0998181013762536
DGX,0.6379217882811673
DHI,1.282961549764509
DHR,0.8813760831009785
DIS,1.0273467863185097
DLR,0.9187411748546679
DLTR,0.7522815097661864
DLX,1.1845923072991686
