,mkt_beta,smb_beta,hml_beta
A,0.9556860828557074,0.07980668870997215,-0.13498952643863987
AAPL,1.1618274581617842,-0.2902201728388579,-0.37887177729738675
ABBV,0.6162931098357611,-0.30133643486216477,0.10805534563090768
ABT,0.7861716797617426,-0.290042853047817,-0.1305766262863782
ADBE,1.2537169726897328,-0.23538481370868827,-0.6810842013210626
ADI,1.229619023863876,0.23680199655729225,-0.10039375755915057
ADM,0.8087939757159425,-0.12616124823154184,0.6136422161803048
ADP,0.959649299041919,-0.1770335063415926,0.14055517337520815
ADSK,1.3139844905472413,0.27449545178650375,-0.4411318067271386
AEE,0.5869606918084721,-0.3394065306909604,0.20959697622007717
AEP,0.5073715982641495,-0.33040160392690254,0.1966938799203219
AES,0.9943285608434254,0.4214784020711048,0.3751614183128564
AFL,0.9291799967728402,-0.15416925954799765,0.7325254451036948
AIG,1.2029520473429758,0.0012373781961208703,1.0054704033850976
AIZ,0.8109326880705303,0.014901470979942287,0.559647646215641
AJG,0.8205927512771971,-0.31205487864258225,0.16169997822388407
AKAM,0.7662739785667165,-0.07693509919920281,-0.23765824475372413
ALB,1.28550149164586,0.8240715026209844,0.27673663514238084
ALGN,1.403265292631028,0.7098246931304535,-0.32334945980407476
ALL,0.8025558068925593,-0.24870542909322835,0.5625550767403905
AMAT,1.58035962271103,0.149246068260118,-0.3347324695865298
AMD,1.6028583679095219,0.15384380010411117,-0.782246676238338
AME,1.011210971100381,-0.030350092209359296,0.30940155005206926
AMGN,0.6774193624264895,-0.15202454876850632,0.0322655410265684
AMP,1.4935363203786907,-0.050544936937323176,0.7495109734967054
AMT,0.7387348521466061,-0.21478831302449322,-0.030522740174432867
AMZN,1.1509722487145704,-0.17419926403877417,-0.7163890998797247
ANET,1.248511134927674,0.008606721132330561,-0.4849607821474477
ANSS,1.1970559315410254,0.01823516463461069,-0.5749661759063271
AOS,0.8494369652127823,0.2922553405168642,0.23907677559471582
APA,1.5520220307756145,0.40188555797710696,1.5639569061817107
APD,0.8759069832221769,-0.19236460049784576,0.22650199345463146
APH,1.0659355778362325,0.12350449137088863,0.03285997423162039
APO,1.3508586405252847,0.13118068041765416,0.28064066974138235
ARE,0.85902419495398,0.22001912644174043,0.1282439440851365
AWK,0.6369281301736255,-0.2255173144719899,0.017100535075910757
BALL,0.8040815250649698,0.01036014690685893,0.002247303990028973
BDX,0.5744219603265914,-0.19606693474861125,0.025178940052075913
BK,1.035701100111111,-0.008728687622081094,0.7511007776141403
BKNG,1.1168742293243472,0.0710576886864282,0.20354039458925405
BLDR,1.4385230559544084,1.0931131128430303,0.40818980180680264
BMY,0.5007674701625133,-0.07120153054399136,0.11910817119392961
BR,0.8406162250127784,-0.15167122572160813,-0.037435085527786335
BRO,0.8484293570183804,-0.19759687591734665,0.11489556493965808
BSX,0.8813653854844413,-0.13808227200054177,0.06331775358079744
BWA,1.0566636096740183,0.565913863573405,0.6195319071044123
BX,1.3844829859522,0.3606328547677857,0.0721346158819368
BXP,0.9931108321778053,0.5329880930184235,0.7064564616927146
C,1.323629554510378,0.08475207628521983,1.058959318859244
CAG,0.40560750699982956,-0.1728434056833004,0.224261186158689
CAH,0.7295166694816981,-0.1656643202559023,0.35624963086499895
CBRE,1.1913321008600966,0.3666051801993546,0.4818997631122343
CCI,0.701683709369001,-0.13940188879303833,0.004181278893050347
CDNS,1.2091381713439713,-0.08965660324853185,-0.6486044406943415
CDW,1.0831150819193849,0.13889036988991696,0.15679352551981907
CE,1.1587882746952745,0.4329918394570988,0.7090403970785961
CF,0.9520265398693871,0.2500595895593021,0.8251138210535915
CFG,1.3663406642404206,0.5253431782144504,1.4140030948147682
CHD,0.40479993863275854,-0.38488615066435955,-0.0868536738707059
CHRW,0.6204536397081679,0.08335813589524425,0.1798198984350342
CHTR,0.8110842304217079,0.05213065586836976,-0.02426238738432998
CI,0.8422035910644735,-0.28738352912876375,0.3925294108498329
CINF,0.9899678695106368,-0.22398317170099963,0.7120945471071537
CL,0.504850047256928,-0.42480590784532024,0.06933769322228371
CLX,0.3118938612287283,-0.2164175668224436,-0.1056854917604798
CMCSA,0.8416181678210916,-0.07125227283779574,0.231990322029344
CME,0.7018625240250058,-0.3166968537883466,0.26265310165335554
CMG,0.8736039587884175,0.1349475830507981,-0.39166950573349035
CMI,0.9091441187853637,0.15665691732821024,0.5419672282004098
CMS,0.5069942885911767,-0.32498853158366575,0.1994210255166734
CNC,0.8250607748632225,-0.16141390234829406,0.19386572144450273
CNP,0.8153385156072747,-0.210600832730352,0.44250716351165464
COF,1.4051033736066034,0.3182607161258074,1.0521662653270432
COO,0.8355815157331786,0.10166509637587637,-0.08942893971987731
COP,1.1271060796451355,-0.00406609312662831,1.1613402285336245
COR,0.6661171969245665,-0.22900884677050554,0.26825963813822395
COST,0.7365106188946646,-0.29572014318730977,-0.25232741391590496
CPB,0.2908577110864101,-0.2967469902012091,0.15560670887367095
CPRT,0.9896705811247928,0.08922678936439443,-0.1395881771852455
CRL,1.0952530482573286,0.5037455260555678,-0.18856577340041908
CRM,1.2092142785457973,0.01608546629485809,-0.5671846376711271
CSCO,0.940714163158001,-0.2081598358621504,0.10217530236568156
CSGP,0.9701527504216675,0.21559182525088075,-0.2914045201566546
CSX,1.020585593572732,-0.03633075291676749,0.41821096187908335
CTAS,1.047323908154036,-0.1227230070507462,0.1560204616464315
