,tickers
0,A
1,AAPL
2,ABBV
3,ABT
4,ADBE
5,ADI
6,ADM
7,ADP
8,ADSK
9,AEE
10,AEP
11,AES
12,AFL
13,AIG
14,AIZ
15,AJG
16,AKAM
17,ALB
18,ALGN
19,ALL
20,AMAT
21,AMD
22,AME
23,AMGN
24,AMP
25,AMT
26,AMZN
27,ANET
28,ANSS
29,AOS
30,APA
31,APD
32,APH
33,APO
34,ARE
35,AWK
36,BALL
37,BDX
38,BK
39,BKNG
40,BLDR
41,BMY
42,BR
43,BRO
44,BSX
45,BWA
46,BX
47,BXP
48,C
49,CAG
50,CAH
51,CBRE
52,CCI
53,CDNS
54,CDW
55,CE
56,CF
57,CFG
58,CHD
59,CHRW
60,CHTR
61,CI
62,CINF
63,CL
64,CLX
65,CMCSA
66,CME
67,CMG
68,CMI
69,CMS
70,CNC
71,CNP
72,COF
73,COO
74,COP
75,COR
76,COST
77,CPB
78,CPRT
79,CRL
80,CRM
81,CSCO
82,CSGP
83,CSX
84,CTAS
85,CTRA
86,CTSH
87,CVS
88,CVX
89,CZR
90,D
91,DAL
92,DE
93,DECK
94,DELL
95,DFS
96,DG
97,DGX
98,DHI
99,DHR
100,DIS
101,DLR
102,DLTR
103,DOC
104,DOV
105,DPZ
106,DRI
107,DTE
108,DUK
109,DVA
110,DVN
111,DXCM
112,EA
113,EBAY
114,ECL
115,ED
116,EFX
117,ERIE
118,EVRG
119,EW
120,EXC
121,EXPD
122,EXPE
123,EXR
124,F
125,FANG
126,FAST
127,FCX
128,FDS
129,FDX
130,FE
131,FFIV
132,FI
133,FICO
134,FIS
135,FITB
136,FMC
137,FSLR
138,FTNT
139,FTV
140,GD
141,GDDY
142,GE
143,GEN
144,GILD
145,GIS
146,GL
147,GLW
148,GM
149,GNRC
150,GOOG
151,GPC
152,GPN
153,GS
154,GWW
155,HAL
156,HAS
157,HBAN
158,HCA
159,HD
160,HES
161,HIG
162,HII
163,HLT
164,HOLX
165,HON
166,HPE
167,HPQ
168,HRL
169,HSIC
170,HST
171,HSY
172,HUBB
173,HUM
174,HWM
175,IBM
176,ICE
177,IDXX
178,IEX
179,IFF
180,INCY
181,INTC
182,INTU
183,IP
184,IPG
185,IQV
186,IRM
187,ISRG
188,IT
189,ITW
190,J
191,JBHT
192,JBL
193,JKHY
194,JNJ
195,JNPR
196,JPM
197,K
198,KDP
199,KEY
200,KHC
201,KIM
202,KKR
203,KLAC
204,KMB
205,KMI
206,KMX
207,KO
208,KR
209,L
210,LDOS
211,LHX
212,LII
213,LKQ
214,LLY
215,LMT
216,LNT
217,LOW
218,LUV
219,LVS
220,LW
221,LYV
222,MA
223,MAA
224,MAR
225,MAS
226,MCD
227,MCHP
228,MCK
229,MCO
230,MDLZ
231,MET
232,META
233,MGM
234,MHK
235,MKC
236,MKTX
237,MLM
238,MMC
239,MMM
240,MNST
241,MO
242,MOH
243,MOS
244,MPC
245,MPWR
246,MRK
247,MS
248,MSCI
249,MSFT
250,MSI
251,MTB
252,MTCH
253,MTD
254,MU
255,NDAQ
256,NDSN
257,NEE
258,NEM
259,NFLX
260,NI
261,NKE
262,NOC
263,NOW
264,NRG
265,NSC
266,NTAP
267,NUE
268,NVDA
269,NVR
270,NWS
271,NWSA
272,O
273,ODFL
274,OKE
275,OMC
276,ON
277,ORCL
278,ORLY
279,OXY
280,PANW
281,PARA
282,PAYC
283,PAYX
284,PCAR
285,PCG
286,PEG
287,PEP
288,PFE
289,PFG
290,PG
291,PGR
292,PH
293,PHM
294,PKG
295,PLD
296,PM
297,PNC
298,PNW
299,PODD
300,POOL
301,PPG
302,PPL
303,PRU
304,PSA
305,PSX
306,PTC
307,PWR
308,PYPL
309,QCOM
310,REG
311,REGN
312,RF
313,RJF
314,RL
315,RMD
316,ROK
317,ROL
318,ROP
319,ROST
320,RSG
321,RTX
322,RVTY
323,SBAC
324,SBUX
325,SCHW
326,SHW
327,SJM
328,SNA
329,SO
330,SPG
331,SPGI
332,SRE
333,STLD
334,STT
335,STZ
336,SWKS
337,SYF
338,SYK
339,SYY
340,T
341,TAP
342,TDG
343,TDY
344,TECH
345,TER
346,TFC
347,TFX
348,TGT
349,TJX
350,TPL
351,TPR
352,TRMB
353,TROW
354,TRV
355,TSCO
356,TSLA
357,TXN
358,TXT
359,TYL
360,UDR
361,UHS
362,ULTA
363,UNH
364,UNP
365,UPS
366,USB
367,V
368,VLO
369,VMC
370,VRSK
371,VRSN
372,VRTX
373,VTR
374,VTRS
375,VZ
376,WAB
377,WAT
378,WBA
379,WBD
380,WDAY
381,WDC
382,WEC
383,WELL
384,WFC
385,WM
386,WMB
387,WMT
388,WRB
389,WST
390,WY
391,WYNN
392,XEL
393,XOM
394,XYL
395,YUM
396,ZBH
397,ZBRA
398,ZTS
