Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,A.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
