Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,AAPL.OQ,0.121652,0.145089,0.120536,0.145089,0.145089,718111118.0,2079892945.0,,,,,,,,,,,,,,,,,,
1998-01-05,AAPL.OQ,0.147321,0.147879,0.135603,0.141741,0.141741,651874251.0,2031895415.5,,,,,,,,,,,,,,,,,,
1998-01-06,AAPL.OQ,0.142299,0.178571,0.131696,0.169085,0.169085,1813225813.0,2423875239.75,,,,,,,,,,,,,,,,,,
1998-01-07,AAPL.OQ,0.167969,0.169643,0.154576,0.15625,0.15625,1041623441.0,2239884710.0,,,,,,,,,,,,,,,,,,
1998-01-08,AAPL.OQ,0.155692,0.166294,0.151228,0.162388,0.162388,774570374.0,2327880180.75,,,,,,,,,,,,,,,,,,
1998-01-09,AAPL.OQ,0.16183,0.172991,0.15625,0.162388,0.162388,886548086.0,2327880180.75,,,,,,,,,,,,,,,,,,
1998-01-12,AAPL.OQ,0.155692,0.166294,0.152902,0.162946,0.162946,516398916.0,2335879769.0,,,,,,,,,,,,,,,,,,
1998-01-13,AAPL.OQ,0.166294,0.175223,0.165178,0.174107,0.174107,636855036.0,2495871534.0,,,,,,,,,,,,,,,,,,
1998-01-14,AAPL.OQ,0.177455,0.178013,0.171875,0.176339,0.176339,589266189.0,2527869887.0,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2528320389.484524,,2.3110789666220644,0.43269832595189384,,
1998-01-15,AAPL.OQ,0.171317,0.176339,0.166294,0.171317,0.171317,559272559.0,2455873592.75,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2456315756.385826,,2.2452612032777335,0.4453824786800551,,
1998-01-16,AAPL.OQ,0.173549,0.173549,0.166853,0.167969,0.167969,246355446.0,2407876063.25,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2408312667.653361,,2.201382694381513,0.45425995332490515,,
1998-01-20,AAPL.OQ,0.170201,0.172433,0.166294,0.170201,0.170201,241561841.0,2439874416.25,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2440314726.8083377,,2.23063503364566,0.44830283077085914,,
1998-01-21,AAPL.OQ,0.167411,0.170201,0.165736,0.168806,0.168806,190209790.0,2419875445.625,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2420313439.8364773,,2.212352321605568,0.452007571413522,,
1998-01-22,AAPL.OQ,0.166853,0.176339,0.166294,0.171875,0.171875,329728329.0,2463873181.0,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2464316271.1745706,,2.2525742880937702,0.44393652421836216,,
1998-01-23,AAPL.OQ,0.172991,0.175781,0.171875,0.174107,0.174107,233161833.0,2495871534.0,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2496318330.3295474,,2.2818266273579177,0.4382453899040877,,
1998-01-26,AAPL.OQ,0.173549,0.174665,0.167969,0.173549,0.173549,146440146.0,2487871945.75,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2488317815.540803,,2.274513542541881,0.4396544497521218,,
1998-01-27,AAPL.OQ,0.171317,0.175781,0.169643,0.170759,0.170759,112235312.0,2447874004.5,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2448315241.5970817,,2.2379481184616967,0.4468378832157075,,
1998-01-28,AAPL.OQ,0.171317,0.172991,0.166294,0.171317,0.171317,151121751.0,2455873592.75,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2456315756.385826,,2.2452612032777335,0.4453824786800551,,
1998-01-29,AAPL.OQ,0.169085,0.170759,0.165178,0.165178,0.165178,211881811.0,2367878122.0,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2368295755.8695164,,2.1648041644145617,0.46193554892316774,,
1998-01-30,AAPL.OQ,0.163504,0.168527,0.162946,0.163504,0.163504,162444962.0,2431315135.375,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2344294211.5032845,,2.1428649099664514,0.4666649751689928,,
1998-02-02,AAPL.OQ,0.165178,0.165178,0.155134,0.157924,0.157924,636743036.0,2348335096.625,15664160631.6674,0.076301590100031,14337840123.1975,0.00328,0.003,47000000.0,1997-12-26,1578000000.0,14336774827.3835,,,1998-01-14,2264289063.6158423,,2.0697340618060833,0.48315385945157796,,
