Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,ABNB.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
