Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,ABT.N,14.684866,15.090448,14.558995,15.090448,15.090448,1974600.0,51581765684.3125,,,,,,,,,,,,,,,,,,
1998-01-05,ABT.N,15.14639,15.286246,14.964577,15.174361,15.174361,2259800.0,51868596633.4375,,,,,,,,,,,,,,,,,,
1998-01-06,ABT.N,15.006534,15.132404,14.852693,14.922621,14.922621,1697200.0,51008103786.0625,,,,,,,,,,,,,,,,,,
1998-01-07,ABT.N,14.824722,15.02052,14.754794,15.02052,15.02052,1636800.0,51342739893.375,,,,,,,,,,,,,,,,,,
1998-01-08,ABT.N,15.27226,15.314217,15.14639,15.230304,15.230304,2811400.0,52012012108.0,,,,,,,,,,,,,,,,,,
1998-01-09,ABT.N,15.216318,15.230304,14.964577,15.048491,15.048491,3020400.0,51438350209.75,,,,,,,,,,,,,,,,,,
1998-01-12,ABT.N,14.852693,15.565958,14.824722,15.565958,15.565958,3257000.0,53207141062.6875,,,,,,,,,,,,,,,,,,
1998-01-13,ABT.N,15.440087,15.705813,15.412116,15.6219,15.6219,2691400.0,53398361695.4375,,,,,,,,,,,,,,,,,,
1998-01-14,ABT.N,15.6219,15.719799,15.49603,15.649871,15.649871,1705600.0,53541777170.0,,,,,,,,,,,,,,,,,,
1998-01-15,ABT.N,15.663857,15.775741,15.524001,15.537986,15.537986,1832400.0,53111530746.3125,,,,,,,,,,,,,,,,,,
1998-01-16,ABT.N,15.551972,15.817698,15.551972,15.677842,15.677842,3334400.0,53589582328.1875,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24184409216.358437,,4.801986765841671,0.20824713785414284,,
1998-01-20,ABT.N,15.887626,16.041468,15.789727,15.97154,15.97154,3006800.0,54641295808.3125,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24637463445.25206,,4.891943911037686,0.20441771577627893,,
1998-01-21,ABT.N,15.985525,15.985525,15.663857,15.817698,15.817698,1732600.0,54067633910.0625,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24400149031.52962,,4.844823443308096,0.20640587045153283,,
1998-01-22,ABT.N,15.677842,15.817698,15.663857,15.74777,15.74777,2488400.0,53732997802.75,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24292279123.944027,,4.823405104574883,0.20732241607729032,,
1998-01-23,ABT.N,15.663857,15.775741,15.593929,15.635886,15.635886,2606800.0,53446166853.625,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24119688505.875355,,4.789136007634792,0.20880593042373616,,
1998-01-26,ABT.N,15.635886,15.635886,15.384145,15.482044,15.482044,2084800.0,52920310113.5625,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,23882374092.152916,,4.742015539905203,0.21088079353278352,,
1998-01-27,ABT.N,15.510015,15.97154,15.49603,15.817698,15.817698,2181800.0,54211049384.625,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24400149031.52962,,4.844823443308096,0.20640587045153283,,
1998-01-28,ABT.N,15.929583,16.111395,15.873641,15.873641,15.873641,1838200.0,54258854542.8125,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24486445883.1493,,4.8619582980694505,0.20567844039243866,,
1998-01-29,ABT.N,15.691828,16.111395,15.691828,16.083424,16.083424,2105000.0,54975931915.625,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24810054063.320736,,4.926213007977777,0.20299568824582812,,
1998-01-30,ABT.N,15.97154,16.111395,15.817698,15.845669,15.845669,2593400.0,54163244226.4375,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24443296686.04679,,4.853390717543118,0.20604151987710143,,
1998-02-02,ABT.N,16.013496,16.167338,15.915597,15.929583,15.929583,3216600.0,54419719473.0,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24572741192.183636,,4.879092846539496,0.20495613251329117,,
1998-02-03,ABT.N,15.887626,15.915597,15.705813,15.775741,15.775741,2983400.0,53846377389.0,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24335426778.4612,,4.8319723788099065,0.20695482540119478,,
1998-02-04,ABT.N,15.565958,15.803713,15.551972,15.74777,15.74777,2062800.0,53798598882.0,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24292279123.944027,,4.823405104574883,0.20732241607729032,,
1998-02-05,ABT.N,15.705813,15.817698,15.6219,15.803713,15.803713,2258600.0,53989712910.0,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24378575975.563705,,4.8405399593362395,0.20658852285089396,,
1998-02-06,ABT.N,15.831684,16.055453,15.803713,16.055453,16.055453,2219800.0,54897504542.9999,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24766906408.803566,,4.917645733742754,0.20334933708998867,,
1998-02-09,ABT.N,16.09741,16.09741,15.873641,16.041468,16.041468,1537800.0,54801947529.0,1604598999.99996,3.26486572422947,1542585339.0,0.34845,0.34357,551297000.0,1997-12-31,3123877000.0,1582145999.99996,,,1998-01-16,24745333352.83765,,4.913362249770897,0.20352661765303964,,
