Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,ADSK.OQ,9.15625,9.375,8.96875,9.375,9.375,1104800.0,1748887500.0,,,,,,,,,,,,,,,,,,
1998-01-05,ADSK.OQ,9.21875,9.625,9.21875,9.5625,9.5625,2818000.0,1783865250.0,,,,,,,,,,,,,,,,,,
1998-01-06,ADSK.OQ,9.53125,10.0,9.53125,9.84375,9.84375,3330800.0,1836331875.0,,,,,,,,,,,,,,,,,,
1998-01-07,ADSK.OQ,9.875,9.875,9.375,9.5,9.5,2790400.0,1772206000.0,,,,,,,,,,,,,,,,,,
1998-01-08,ADSK.OQ,9.4375,9.78125,9.34375,9.71875,9.71875,2154400.0,1813013375.0,,,,,,,,,,,,,,,,,,
1998-01-09,ADSK.OQ,9.65625,9.71875,8.6875,8.984375,8.984375,5263600.0,1676017187.5,,,,,,,,,,,,,,,,,,
1998-01-12,ADSK.OQ,8.625,9.09375,8.59375,8.9375,8.9375,2923200.0,1667272750.0,,,,,,,,,,,,,,,,,,
1998-01-13,ADSK.OQ,9.0,9.3125,8.90625,9.09375,9.09375,2994400.0,1696420875.0,,,,,,,,,,,,,,,,,,
1998-01-14,ADSK.OQ,9.125,9.375,8.960938,9.34375,9.34375,1624800.0,1743057875.0,,,,,,,,,,,,,,,,,,
1998-01-15,ADSK.OQ,9.3125,9.625,9.25,9.46875,9.46875,2696000.0,1766376375.0,,,,,,,,,,,,,,,,,,
1998-01-16,ADSK.OQ,9.5625,9.6875,9.5,9.546875,9.546875,1817600.0,1780950437.5,,,,,,,,,,,,,,,,,,
1998-01-20,ADSK.OQ,9.5,9.5625,9.1875,9.515625,9.515625,2832800.0,1775120812.5,,,,,,,,,,,,,,,,,,
1998-01-21,ADSK.OQ,9.375,9.640625,9.25,9.46875,9.46875,1716800.0,1766376375.0,,,,,,,,,,,,,,,,,,
1998-01-22,ADSK.OQ,9.28125,9.484375,9.1875,9.375,9.375,2385600.0,1748887500.0,,,,,,,,,,,,,,,,,,
1998-01-23,ADSK.OQ,9.34375,9.65625,9.34375,9.640625,9.640625,3252800.0,1798439312.5,,,,,,,,,,,,,,,,,,
1998-01-26,ADSK.OQ,9.5625,9.75,9.53125,9.53125,9.53125,2224400.0,1778035625.0,,,,,,,,,,,,,,,,,,
