Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,AEE.N,43.0,43.0625,42.375,42.8125,42.8125,429000.0,,,,,,,,,,,,,,,,,,,
1998-01-05,AEE.N,43.0625,43.125,42.0625,42.5,42.5,519700.0,,,,,,,,,,,,,,,,,,,
1998-01-06,AEE.N,42.125,42.1875,41.75,41.875,41.875,237100.0,,,,,,,,,,,,,,,,,,,
1998-01-07,AEE.N,41.875,41.875,40.875,41.5,41.5,259300.0,,,,,,,,,,,,,,,,,,,
1998-01-08,AEE.N,41.5625,41.5625,40.75,41.0,41.0,255800.0,,,,,,,,,,,,,,,,,,,
1998-01-09,AEE.N,40.9375,41.8125,40.9375,41.375,41.375,246000.0,,,,,,,,,,,,,,,,,,,
1998-01-12,AEE.N,41.125,41.8125,41.0625,41.75,41.75,241500.0,,,,,,,,,,,,,,,,,,,
1998-01-13,AEE.N,41.75,41.75,41.1875,41.4375,41.4375,185900.0,,,,,,,,,,,,,,,,,,,
1998-01-14,AEE.N,41.4375,41.4375,41.1875,41.25,41.25,129300.0,,,,,,,,,,,,,,,,,,,
1998-01-15,AEE.N,41.1875,41.1875,40.25,40.3125,40.3125,142900.0,,,,,,,,,,,,,,,,,,,
1998-01-16,AEE.N,40.625,40.8125,40.4375,40.5,40.5,205500.0,,,,,,,,,,,,,,,,,,,
1998-01-20,AEE.N,37.5,37.625,36.5,37.0625,37.0625,926700.0,,,,,,,,,,,,,,,,,,,
1998-01-21,AEE.N,36.875,36.875,35.75,36.75,36.75,910400.0,,,,,,,,,,,,,,,,,,,
1998-01-22,AEE.N,36.375,36.625,36.1875,36.375,36.375,398500.0,,,,,,,,,,,,,,,,,,,
1998-01-23,AEE.N,36.125,36.375,35.625,36.0,36.0,295300.0,,,,,,,,,,,,,,,,,,,
1998-01-26,AEE.N,36.0625,36.1875,35.5625,36.1875,36.1875,246600.0,,,,,,,,,,,,,,,,,,,
1998-01-27,AEE.N,36.1875,36.4375,35.8125,36.25,36.25,512400.0,,,,,,,,,,,,,,,,,,,
1998-01-28,AEE.N,36.0625,36.5,36.0625,36.5,36.5,251800.0,,,,,,,,,,,,,,,,,,,
1998-01-29,AEE.N,36.5,37.0,36.5,36.75,36.75,350600.0,,,,,,,,,,,,,,,,,,,
1998-01-30,AEE.N,36.75,36.8125,36.5625,36.625,36.625,392600.0,,,,,,,,,,,,,,,,,,,
1998-02-02,AEE.N,36.75,36.8125,36.5,36.6875,36.6875,197700.0,,,,,,,,,,,,,,,,,,,
1998-02-03,AEE.N,36.625,36.8125,36.375,36.625,36.625,154900.0,,,,,,,,,,,,,,,,,,,
1998-02-04,AEE.N,36.625,36.625,36.25,36.5,36.5,465400.0,,,,,,,,,,,,,,,,,,,
1998-02-05,AEE.N,36.9375,37.125,36.625,36.9375,36.9375,174800.0,,,,,,,,,,,,,,,,,,,
1998-02-06,AEE.N,37.0,37.5625,36.75,37.5625,37.5625,220800.0,,,,,,,,,,,,,,,,,,,
1998-02-09,AEE.N,37.4375,37.9375,37.4375,37.875,37.875,211000.0,,,,,,,,,,,,,,,,,,,
1998-02-10,AEE.N,37.8125,38.3125,37.8125,37.9375,37.9375,286100.0,,,,,,,,,,,,,,,,,,,
1998-02-11,AEE.N,37.8125,37.875,37.625,37.75,37.75,204100.0,,,,,,,,,,,,,,,,,,,
1998-02-12,AEE.N,37.5,37.9375,37.4375,37.8125,37.8125,440100.0,,,,,,,,,,,,,,,,,,,
1998-02-13,AEE.N,37.625,37.875,37.4375,37.5,37.5,159700.0,,,,,,,,,,,,,,,,,,,
1998-02-17,AEE.N,37.4375,38.0,37.25,38.0,38.0,297800.0,,,,,,,,,,,,,,,,,,,
1998-02-18,AEE.N,38.0,38.25,38.0,38.1875,38.1875,236700.0,,,,,,,,,,,,,,,,,,,
1998-02-19,AEE.N,38.0,38.1875,38.0,38.1875,38.1875,299500.0,,,,,,,,,,,,,,,,,,,
1998-02-20,AEE.N,38.125,38.3125,37.8125,38.3125,38.3125,734400.0,,,,,,,,,,,,,,,,,,,
1998-02-23,AEE.N,38.3125,38.625,38.0625,38.625,38.625,221700.0,,,,,,,,,,,,,,,,,,,
1998-02-24,AEE.N,38.4375,38.5,38.1875,38.5,38.5,203100.0,,,,,,,,,,,,,,,,,,,
1998-02-25,AEE.N,38.5625,38.75,38.375,38.375,38.375,229700.0,,,,,,,,,,,,,,,,,,,
1998-02-26,AEE.N,38.25,38.4375,38.125,38.25,38.25,119500.0,,,,,,,,,,,,,,,,,,,
1998-02-27,AEE.N,38.125,38.4375,38.0625,38.4375,38.4375,194000.0,,,,,,,,,,,,,,,,,,,
1998-03-02,AEE.N,38.1875,38.4375,38.1875,38.4375,38.4375,174500.0,,,,,,,,,,,,,,,,,,,
1998-03-03,AEE.N,38.4375,38.5,38.375,38.4375,38.4375,367500.0,,,,,,,,,,,,,,,,,,,
1998-03-04,AEE.N,38.375,38.5,38.3125,38.4375,38.4375,120600.0,,,,,,,,,,,,,,,,,,,
1998-03-05,AEE.N,38.1875,38.4375,38.125,38.3125,38.3125,274600.0,,,,,,,,,,,,,,,,,,,
1998-03-06,AEE.N,37.375,38.125,37.375,38.125,38.125,3511300.0,,,,,,,,,,,,,,,,,,,
1998-03-09,AEE.N,38.0,38.0625,37.75,37.8125,37.8125,271600.0,,,,,,,,,,,,,,,,,,,
1998-03-10,AEE.N,37.8125,38.25,37.75,38.125,38.125,253500.0,,,,,,,,,,,,,,,,,,,
1998-03-11,AEE.N,38.0625,38.75,38.0625,38.75,38.75,369600.0,,,,,,,,,,,,,,,,,,,
1998-03-12,AEE.N,38.75,38.75,38.4375,38.5625,38.5625,216200.0,,,,,,,,,,,,,,,,,,,
