Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,AEP.OQ,51.4375,51.625,51.1875,51.25,51.25,235200.0,9717564057.5,,,,,,,,,,,,,,,,,,
1998-01-05,AEP.OQ,51.375,51.6875,50.75,51.0625,51.0625,353100.0,9682011993.875,,,,,,,,,,,,,,,,,,
1998-01-06,AEP.OQ,51.0625,51.0625,50.625,50.9375,50.9375,854200.0,9658310618.125,,,,,,,,,,,,,,,,,,
1998-01-07,AEP.OQ,50.75,50.75,50.25,50.75,50.75,1076600.0,9622758554.5,,,,,,,,,,,,,,,,,,
1998-01-08,AEP.OQ,50.75,51.0,50.5625,50.875,50.875,430800.0,9646459930.25,,,,,,,,,,,,,,,,,,
1998-01-09,AEP.OQ,51.0,51.0,50.375,50.5625,50.5625,322300.0,9587206490.875,,,,,,,,,,,,,,,,,,
1998-01-12,AEP.OQ,50.4375,51.1875,50.375,51.125,51.125,370700.0,9693862681.75,,,,,,,,,,,,,,,,,,
1998-01-13,AEP.OQ,51.125,51.25,50.4375,51.0,51.0,250400.0,9670161306.0,,,,,,,,,,,,,,,,,,
1998-01-14,AEP.OQ,50.9375,50.9375,50.5625,50.6875,50.6875,260500.0,9634609242.375,,,,,,,,,,,,,,,,,,
1998-01-15,AEP.OQ,50.5625,50.5625,50.0,50.125,50.125,252100.0,9504251675.75,,,,,,,,,,,,,,,,,,
1998-01-16,AEP.OQ,50.125,50.25,49.9375,50.0,50.0,383500.0,9504251675.75,,,,,,,,,,,,,,,,,,
1998-01-20,AEP.OQ,50.125,50.25,49.75,50.125,50.125,331400.0,9504251675.75,,,,,,,,,,,,,,,,,,
1998-01-21,AEP.OQ,49.875,50.3125,49.875,50.3125,50.3125,646100.0,9539803739.375,,,,,,,,,,,,,,,,,,
1998-01-22,AEP.OQ,50.25,50.6875,50.25,50.6875,50.6875,258400.0,9610907866.625,,,,,,,,,,,,,,,,,,
1998-01-23,AEP.OQ,50.625,50.75,50.0,50.4375,50.4375,187000.0,9563505115.125,,,,,,,,,,,,,,,,,,
1998-01-26,AEP.OQ,50.5,50.5625,50.3125,50.4375,50.4375,184800.0,9563505115.125,,,,,,,,,,,,,,,,,,
1998-01-27,AEP.OQ,50.25,50.5,49.875,49.875,49.875,371100.0,9456848924.25,,,,,,,,,,,,,,,,,,
1998-01-28,AEP.OQ,49.6875,49.875,49.125,49.375,49.375,926900.0,9362043421.25,189543999.99999,24.6183180492825,189989990.0,0.73655,0.65712,141173000.0,1997-12-31,1469779000.0,189543999.99999,,,1998-01-28,9380755756.25,,2.005620363712826,0.49859884656774683,,
1998-01-29,AEP.OQ,49.3125,50.0625,49.0625,49.75,49.75,440300.0,9433147548.5,189543999.99999,24.6183180492825,189989990.0,0.73655,0.65712,141173000.0,1997-12-31,1469779000.0,189543999.99999,,,1998-01-28,9452002002.5,,2.0208529234372272,0.4948405638046734,,
1998-01-30,AEP.OQ,49.75,49.75,49.25,49.3125,49.3125,292900.0,9350192733.375,189543999.99999,24.6183180492825,189989990.0,0.73655,0.65712,141173000.0,1997-12-31,1469779000.0,189543999.99999,,,1998-01-28,9368881381.875,,2.0030816037587593,0.4992307842693536,,
1998-02-02,AEP.OQ,49.4375,50.1875,49.375,49.875,49.875,785000.0,9456848924.25,189543999.99999,24.6183180492825,189989990.0,0.73655,0.65712,141173000.0,1997-12-31,1469779000.0,189543999.99999,,,1998-01-28,9475750751.25,,2.025930443345361,0.4936003618903759,,
1998-02-03,AEP.OQ,49.75,49.875,49.3125,49.3125,49.3125,424700.0,9350192733.375,189543999.99999,24.6183180492825,189989990.0,0.73655,0.65712,141173000.0,1997-12-31,1469779000.0,189543999.99999,,,1998-01-28,9368881381.875,,2.0030816037587593,0.4992307842693536,,
1998-02-04,AEP.OQ,49.3125,49.375,48.9375,48.9375,48.9375,569900.0,9279088606.125,189543999.99999,24.6183180492825,189989990.0,0.73655,0.65712,141173000.0,1997-12-31,1469779000.0,189543999.99999,,,1998-01-28,9297635135.625,,1.9878490440343581,0.5030563075204597,,
1998-02-05,AEP.OQ,49.0,49.5,49.0,49.5,49.5,1761400.0,9385744797.0,189543999.99999,24.6183180492825,189989990.0,0.73655,0.65712,141173000.0,1997-12-31,1469779000.0,189543999.99999,,,1998-01-28,9404504505.0,,2.01069788362096,0.49733975857136364,,
1998-02-06,AEP.OQ,48.875,49.375,48.875,49.3125,49.3125,938400.0,9350192733.375,189543999.99999,24.6183180492825,189989990.0,0.73655,0.65712,141173000.0,1997-12-31,1469779000.0,189543999.99999,,,1998-01-28,9368881381.875,,2.0030816037587593,0.4992307842693536,,
1998-02-09,AEP.OQ,49.125,49.1875,48.8125,49.0,49.0,416400.0,9290939294.0,189543999.99999,24.6183180492825,189989990.0,0.73655,0.65712,141173000.0,1997-12-31,1469779000.0,189543999.99999,,,1998-01-28,9309509510.0,,1.9903878039884249,0.5024146540669898,,
1998-02-10,AEP.OQ,49.0,49.5,48.625,49.0625,49.0625,186600.0,9302789981.875,189543999.99999,24.6183180492825,189989990.0,0.73655,0.65712,141173000.0,1997-12-31,1469779000.0,189543999.99999,,,1998-01-28,9321383884.375,,1.9929265639424918,0.5017746353993885,,
