Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,AES.N,23.3125,23.40625,22.65625,22.65625,22.65625,340000.0,3383710937.5,,,,,,,,,,,,,,,,,,
1998-01-05,AES.N,22.59375,23.0,22.1875,23.0,23.0,900200.0,3435050000.0,,,,,,,,,,,,,,,,,,
1998-01-06,AES.N,22.875,22.875,22.5,22.875,22.875,604200.0,3416381250.0,,,,,,,,,,,,,,,,,,
1998-01-07,AES.N,22.9375,23.375,22.9375,23.125,23.125,678800.0,3453718750.0,,,,,,,,,,,,,,,,,,
1998-01-08,AES.N,23.15625,23.15625,22.59375,22.65625,22.65625,773800.0,3383710937.5,,,,,,,,,,,,,,,,,,
1998-01-09,AES.N,22.4375,22.65625,22.0625,22.25,22.25,1111600.0,3323037500.0,,,,,,,,,,,,,,,,,,
1998-01-12,AES.N,21.5,22.21875,21.03125,22.15625,22.15625,953400.0,3309035937.5,,,,,,,,,,,,,,,,,,
1998-01-13,AES.N,22.28125,22.65625,22.0625,22.21875,22.21875,975400.0,3318370312.5,,,,,,,,,,,,,,,,,,
1998-01-14,AES.N,22.25,22.25,21.5625,21.625,21.625,200200.0,3229693750.0,,,,,,,,,,,,,,,,,,
1998-01-15,AES.N,21.5,21.5,20.25,20.84375,20.84375,979000.0,3113014062.5,,,,,,,,,,,,,,,,,,
1998-01-16,AES.N,20.96875,21.3125,20.5,20.5,20.5,440000.0,3061675000.0,,,,,,,,,,,,,,,,,,
1998-01-20,AES.N,20.9375,21.25,20.59375,20.875,20.875,462200.0,3117681250.0,,,,,,,,,,,,,,,,,,
1998-01-21,AES.N,20.75,21.375,20.75,21.34375,21.34375,815200.0,3187689062.5,,,,,,,,,,,,,,,,,,
1998-01-22,AES.N,21.3125,21.375,21.125,21.375,21.375,805600.0,3192356250.0,,,,,,,,,,,,,,,,,,
1998-01-23,AES.N,21.375,21.8125,21.375,21.625,21.625,656200.0,3229693750.0,,,,,,,,,,,,,,,,,,
1998-01-26,AES.N,21.5625,21.78125,21.5625,21.71875,21.71875,584400.0,3243695312.5,,,,,,,,,,,,,,,,,,
1998-01-27,AES.N,21.59375,21.65625,20.65625,20.65625,20.65625,746000.0,3085010937.5,,,,,,,,,,,,,,,,,,
1998-01-28,AES.N,20.71875,21.03125,20.40625,20.59375,20.59375,643800.0,3075676562.5,,,,,,,,,,,,,,,,,,
1998-01-29,AES.N,20.5625,21.25,20.5625,20.59375,20.59375,604400.0,3075676562.5,,,,,,,,,,,,,,,,,,
1998-01-30,AES.N,20.71875,21.53125,20.71875,21.40625,21.40625,1224600.0,3197023437.5,,,,,,,,,,,,,,,,,,
1998-02-02,AES.N,21.75,21.9375,21.75,21.75,21.75,1696200.0,3248362500.0,,,,,,,,,,,,,,,,,,
1998-02-03,AES.N,21.78125,22.21875,21.78125,21.96875,21.96875,940400.0,3281032812.5,,,,,,,,,,,,,,,,,,
1998-02-04,AES.N,22.0625,22.09375,21.59375,21.6875,21.6875,356600.0,3239028125.0,,,,,,,,,,,,,,,,,,
1998-02-05,AES.N,21.875,22.0625,21.59375,21.65625,21.65625,877600.0,3234360937.5,,,,,,,,,,,,,,,,,,
1998-02-06,AES.N,21.65625,22.125,21.625,21.8125,21.8125,423400.0,3257696875.0,,,,,,,,,,,,,,,,,,
1998-02-09,AES.N,21.9375,21.96875,21.03125,21.375,21.375,340200.0,3192356250.0,,,,,,,,,,,,,,,,,,
1998-02-10,AES.N,21.75,21.75,20.5625,20.625,20.625,846600.0,3080343750.0,,,,,,,,,,,,,,,,,,
1998-02-11,AES.N,20.71875,20.84375,20.59375,20.78125,20.78125,678000.0,3103679687.5,,,,,,,,,,,,,,,,,,
1998-02-12,AES.N,21.25,21.5,21.125,21.40625,21.40625,924600.0,3192356250.0,,,,,,,,,,,,,,,,,,
1998-02-13,AES.N,21.28125,21.3125,20.5625,20.75,20.75,637200.0,3099012500.0,,,,,,,,,,,,,,,,,,
1998-02-17,AES.N,20.8125,20.90625,20.5,20.625,20.625,431800.0,3080343750.0,,,,,,,,,,,,,,,,,,
1998-02-18,AES.N,20.65625,20.65625,20.5,20.53125,20.53125,712600.0,3066342187.5,,,,,,,,,,,,,,,,,,
1998-02-19,AES.N,20.59375,20.59375,19.75,19.90625,19.90625,1051800.0,2977665625.0,,,,,,,,,,,,,,,,,,
1998-02-20,AES.N,20.0,20.5,20.0,20.3125,20.3125,957400.0,3033671875.0,,,,,,,,,,,,,,,,,,
1998-02-23,AES.N,20.25,21.0625,20.21875,20.9375,20.9375,1064200.0,3136350000.0,,,,,,,,,,,,,,,,,,
1998-02-24,AES.N,21.0,21.28125,20.875,21.0,21.0,590000.0,3136350000.0,,,,,,,,,,,,,,,,,,
1998-02-25,AES.N,21.25,21.6875,21.21875,21.5,21.5,775600.0,3211025000.0,,,,,,,,,,,,,,,,,,
1998-02-26,AES.N,21.625,21.9375,21.53125,21.65625,21.65625,629000.0,3234360937.5,,,,,,,,,,,,,,,,,,
1998-02-27,AES.N,21.59375,22.125,21.59375,22.0,22.0,766800.0,3285700000.0,,,,,,,,,,,,,,,,,,
1998-03-02,AES.N,21.875,22.125,21.8125,21.875,21.875,644400.0,3267031250.0,,,,,,,,,,,,,,,,,,
1998-03-03,AES.N,21.875,22.25,21.8125,21.96875,21.96875,968200.0,3281032812.5,,,,,,,,,,,,,,,,,,
1998-03-04,AES.N,22.0625,22.21875,22.0,22.03125,22.03125,511000.0,3290367187.5,,,,,,,,,,,,,,,,,,
1998-03-05,AES.N,22.0,22.46875,22.0,22.46875,22.46875,951600.0,3355707812.5,,,,,,,,,,,,,,,,,,
1998-03-06,AES.N,22.5,22.96875,22.5,22.65625,22.65625,475800.0,3383710937.5,,,,,,,,,,,,,,,,,,
1998-03-09,AES.N,22.6875,22.96875,22.53125,22.625,22.625,245800.0,3379043750.0,,,,,,,,,,,,,,,,,,
1998-03-10,AES.N,22.96875,23.4375,22.9375,23.0,23.0,550600.0,3435050000.0,,,,,,,,,,,,,,,,,,
1998-03-11,AES.N,22.625,23.625,22.625,23.53125,23.53125,699400.0,3514392187.5,,,,,,,,,,,,,,,,,,
1998-03-12,AES.N,23.5625,24.1875,23.5625,24.0,24.0,906800.0,3584400000.0,,,,,,,,,,,,,,,,,,
1998-03-13,AES.N,24.03125,24.21875,23.75,23.875,23.875,581800.0,3565731250.0,,,,,,,,,,,,,,,,,,
1998-03-16,AES.N,24.0,24.4375,24.0,24.375,24.375,900800.0,3640406250.0,,,,,,,,,,,,,,,,,,
1998-03-17,AES.N,24.5,24.8125,24.5,24.8125,24.8125,421800.0,3705746875.0,,,,,,,,,,,,,,,,,,
1998-03-18,AES.N,24.8125,25.0625,24.75,25.0,25.0,546000.0,3733750000.0,,,,,,,,,,,,,,,,,,
1998-03-19,AES.N,25.03125,25.3125,24.9375,25.0,25.0,283400.0,3733750000.0,,,,,,,,,,,,,,,,,,
1998-03-20,AES.N,25.0,25.25,24.875,25.0625,25.0625,956400.0,3743084375.0,,,,,,,,,,,,,,,,,,
1998-03-23,AES.N,24.75,25.1875,24.75,25.0,25.0,1183800.0,3733750000.0,,,,,,,,,,,,,,,,,,
1998-03-24,AES.N,25.3125,26.6875,25.3125,26.5,26.5,1110600.0,3957775000.0,,,,,,,,,,,,,,,,,,
1998-03-25,AES.N,26.5625,27.0,26.1875,26.1875,26.1875,1191800.0,3911103125.0,,,,,,,,,,,,,,,,,,
1998-03-26,AES.N,26.1875,26.65625,26.0625,26.65625,26.65625,606800.0,3976443750.0,,,,,,,,,,,,,,,,,,
1998-03-27,AES.N,26.75,27.0,26.5,26.9375,26.9375,512400.0,4023115625.0,,,,,,,,,,,,,,,,,,
1998-03-30,AES.N,26.96875,27.15625,26.1875,26.625,26.625,934000.0,3976443750.0,,,,,,,,,,,,,,,,,,
1998-03-31,AES.N,26.625,26.6875,25.625,26.21875,26.21875,948800.0,3915770312.5,,,,,,,,,,,,,,,,,,
1998-04-01,AES.N,26.21875,26.75,25.78125,26.71875,26.71875,1596000.0,3990445312.5,,,,,,,,,,,,,,,,,,
1998-04-02,AES.N,26.9375,28.25,26.875,27.96875,27.96875,1450200.0,4172465625.0,,,,,,,,,,,,,,,,,,
1998-04-03,AES.N,28.25,28.25,27.65625,27.9375,27.9375,807800.0,4172465625.0,,,,,,,,,,,,,,,,,,
1998-04-06,AES.N,27.9375,28.125,27.75,27.875,27.875,1215000.0,4163131250.0,,,,,,,,,,,,,,,,,,
1998-04-07,AES.N,28.125,28.125,27.625,27.6875,27.6875,782200.0,4135128125.0,,,,,,,,,,,,,,,,,,
1998-04-08,AES.N,27.6875,28.25,27.0625,27.0625,27.0625,578800.0,4041784375.0,,,,,,,,,,,,,,,,,,
1998-04-09,AES.N,27.1875,27.34375,26.71875,26.75,26.75,814000.0,3995112500.0,,,,,,,,,,,,,,,,,,
1998-04-13,AES.N,26.75,27.0,26.625,26.9375,26.9375,623200.0,4023115625.0,,,,,,,,,,,,,,,,,,
1998-04-14,AES.N,27.0,27.21875,26.875,26.90625,26.90625,730800.0,4018448437.5,,,,,,,,,,,,,,,,,,
1998-04-15,AES.N,27.0,27.625,26.9375,27.125,27.125,791600.0,4063953889.0,,,,,,,,,,,,,,,,,,
1998-04-16,AES.N,27.125,27.125,26.84375,26.9375,26.9375,484000.0,4023115625.0,,,,,,,,,,,,,,,,,,
1998-04-17,AES.N,27.09375,27.1875,26.78125,26.875,26.875,428600.0,4013781250.0,,,,,,,,,,,,,,,,,,
1998-04-20,AES.N,27.1875,27.1875,26.375,26.625,26.625,429000.0,3976443750.0,,,,,,,,,,,,,,,,,,
1998-04-21,AES.N,26.8125,27.625,26.75,27.375,27.375,909600.0,4088456250.0,372600000.0,4.31072479267351,350985060.0,0.22844,0.1825,65000000.0,1998-03-31,575000000.0,350200000.0,,,1998-04-21,9608216017.5,,6.350440196629215,0.15746939881912367,,
1998-04-22,AES.N,28.125,29.0,28.03125,28.875,28.875,1777200.0,4307814062.5,372600000.0,4.31072479267351,350985060.0,0.22844,0.1825,65000000.0,1998-03-31,575000000.0,350200000.0,,,1998-04-21,10134693607.5,,6.698409522471912,0.14928917030903932,,
1998-04-23,AES.N,28.6875,28.9375,28.46875,28.9375,28.9375,858400.0,4321815625.0,372600000.0,4.31072479267351,350985060.0,0.22844,0.1825,65000000.0,1998-03-31,575000000.0,350200000.0,,,1998-04-21,10156630173.75,,6.7129082443820245,0.14896673149627682,,
1998-04-24,AES.N,28.3125,28.5625,28.03125,28.15625,28.15625,597000.0,4205135937.5,372600000.0,4.31072479267351,350985060.0,0.22844,0.1825,65000000.0,1998-03-31,575000000.0,350200000.0,,,1998-04-21,9882423095.625,,6.53167422050562,0.1531001036243644,,
1998-04-27,AES.N,27.625,27.625,26.0,27.0,27.0,889400.0,4032450000.0,372600000.0,4.31072479267351,350985060.0,0.22844,0.1825,65000000.0,1998-03-31,575000000.0,350200000.0,,,1998-04-21,9476596620.0,,6.263447865168541,0.1596564738027226,,
1998-04-28,AES.N,27.375,27.8125,27.03125,27.25,27.25,1124200.0,4069787500.0,372600000.0,4.31072479267351,350985060.0,0.22844,0.1825,65000000.0,1998-03-31,575000000.0,350200000.0,,,1998-04-21,9564342885.0,,6.3214427528089905,0.1581917355109545,,
