Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,AIZ.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
