Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,ALB.N,11.9375,12.03125,11.6875,12.03125,12.03125,108200.0,1589761250.0,,,,,,,,,,,,,,,,,,
1998-01-05,ALB.N,11.96875,12.09375,11.84375,12.03125,12.03125,169800.0,1589761250.0,,,,,,,,,,,,,,,,,,
1998-01-06,ALB.N,12.03125,12.0625,11.625,11.875,11.875,674400.0,1569115000.0,,,,,,,,,,,,,,,,,,
1998-01-07,ALB.N,11.8125,11.8125,11.65625,11.65625,11.65625,99800.0,1540210250.0,,,,,,,,,,,,,,,,,,
1998-01-08,ALB.N,11.59375,11.75,11.53125,11.53125,11.53125,60200.0,1523693250.0,,,,,,,,,,,,,,,,,,
1998-01-09,ALB.N,11.625,11.625,11.15625,11.1875,11.1875,63400.0,1478271500.0,,,,,,,,,,,,,,,,,,
1998-01-12,ALB.N,11.0625,11.46875,10.8125,11.34375,11.34375,125600.0,1498917750.0,,,,,,,,,,,,,,,,,,
1998-01-13,ALB.N,11.3125,11.40625,11.25,11.375,11.375,133600.0,1503047000.0,,,,,,,,,,,,,,,,,,
1998-01-14,ALB.N,11.34375,11.46875,10.90625,11.0625,11.0625,426200.0,1461754500.0,,,,,,,,,,,,,,,,,,
1998-01-15,ALB.N,11.1875,11.25,10.90625,10.90625,10.90625,235400.0,1445237500.0,,,,,,,,,,,,,,,,,,
1998-01-16,ALB.N,10.96875,11.03125,10.9375,10.96875,10.96875,118000.0,1449366750.0,,,,,,,,,,,,,,,,,,
1998-01-20,ALB.N,11.0,11.125,10.875,11.0625,11.0625,135400.0,1461754500.0,,,,,,,,,,,,,,,,,,
1998-01-21,ALB.N,11.0625,11.0625,10.78125,10.9375,10.9375,86800.0,1445237500.0,,,,,,,,,,,,,,,,,,
1998-01-22,ALB.N,10.9375,10.9375,10.78125,10.875,10.875,53400.0,1436979000.0,,,,,,,,,,,,,,,,,,
