Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,ALGN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
