Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,AMAT.OQ,7.5625,7.765625,7.5,7.75,7.75,17008800.0,11348323977.0,,,,,,,,,,,,,,,,,,
1998-01-05,AMAT.OQ,7.859375,8.3125,7.75,8.28125,8.28125,51539600.0,12126233281.875,,,,,,,,,,,,,,,,,,
1998-01-06,AMAT.OQ,8.125,8.21875,7.75,7.8125,7.8125,38069200.0,11439842718.75,,,,,,,,,,,,,,,,,,
1998-01-07,AMAT.OQ,7.65625,7.671875,7.3125,7.375,7.375,34394000.0,10799211526.5,,,,,,,,,,,,,,,,,,
1998-01-08,AMAT.OQ,7.3125,7.703125,7.265625,7.328125,7.328125,36782800.0,10730572470.1875,,,,,,,,,,,,,,,,,,
1998-01-09,AMAT.OQ,7.375,7.5,6.78125,7.0,7.0,50891600.0,10250099076.0,,,,,,,,,,,,,,,,,,
1998-01-12,AMAT.OQ,6.71875,7.125,6.609375,7.015625,7.015625,44510800.0,10272978761.4375,,,,,,,,,,,,,,,,,,
1998-01-13,AMAT.OQ,7.28125,7.640625,7.125,7.484375,7.484375,59360800.0,10959369324.5625,,,,,,,,,,,,,,,,,,
1998-01-14,AMAT.OQ,7.59375,7.640625,7.15625,7.359375,7.359375,44541600.0,10776331841.0625,,,,,,,,,,,,,,,,,,
1998-01-15,AMAT.OQ,7.28125,7.59375,7.25,7.484375,7.484375,44458000.0,10959369324.5625,,,,,,,,,,,,,,,,,,
1998-01-16,AMAT.OQ,7.65625,7.6875,7.375,7.4375,7.4375,41837200.0,10890730268.25,,,,,,,,,,,,,,,,,,
1998-01-20,AMAT.OQ,7.53125,7.703125,7.328125,7.6875,7.6875,51955200.0,11256805235.25,,,,,,,,,,,,,,,,,,
1998-01-21,AMAT.OQ,7.5625,8.25,7.5,8.0625,8.0625,77945600.0,11805917685.75,,,,,,,,,,,,,,,,,,
1998-01-22,AMAT.OQ,7.921875,7.9375,7.53125,7.546875,7.546875,42804800.0,11050888066.3125,,,,,,,,,,,,,,,,,,
1998-01-23,AMAT.OQ,7.78125,7.84375,7.5625,7.640625,7.640625,34809600.0,11188166178.9375,,,,,,,,,,,,,,,,,,
1998-01-26,AMAT.OQ,7.703125,7.78125,7.5,7.5625,7.5625,25780800.0,11079550220.75,,,,,,,,,,,,,,,,,,
1998-01-27,AMAT.OQ,7.53125,7.796875,7.515625,7.703125,7.703125,20733600.0,11285574914.9375,,,,,,,,,,,,,,,,,,
1998-01-28,AMAT.OQ,7.859375,8.203125,7.78125,8.1875,8.1875,51452800.0,11995215528.25,,,,,,,,,,,,,,,,,,
1998-01-29,AMAT.OQ,7.96875,8.1875,7.890625,7.9375,7.9375,38428400.0,11628949405.25,,,,,,,,,,,,,,,,,,
1998-01-30,AMAT.OQ,8.0,8.25,7.90625,8.203125,8.203125,31468400.0,12018107160.9375,,,,,,,,,,,,,,,,,,
1998-02-02,AMAT.OQ,8.46875,8.75,8.3125,8.671875,8.671875,44933600.0,12704856141.5625,,,,,,,,,,,,,,,,,,
1998-02-03,AMAT.OQ,8.703125,8.9375,8.453125,8.71875,8.71875,48314800.0,12773531039.625,,,,,,,,,,,,,,,,,,
1998-02-04,AMAT.OQ,8.609375,9.46875,8.5,9.21875,9.21875,72675600.0,13506063285.625,,,,,,,,,,,,,,,,,,
1998-02-05,AMAT.OQ,9.5,9.5625,8.90625,8.921875,8.921875,82372400.0,13071122264.5625,,,,,,,,,,,,,,,,,,
1998-02-06,AMAT.OQ,8.75,9.09375,8.625,9.0,9.0,46898800.0,13185580428.0,,,,,,,,,,,,,,,,,,
1998-02-09,AMAT.OQ,9.03125,9.140625,8.640625,8.6875,8.6875,40015200.0,12727747774.25,,,,,,,,,,,,,,,,,,
1998-02-10,AMAT.OQ,8.71875,9.1875,8.6875,9.0,9.0,65254800.0,13185580428.0,1516404000.0,2.11873541565897,1465064480.0,0.17793,0.15095,228893000.0,1998-01-25,1307685000.0,1467576000.0,,,1998-02-10,13185580320.0,,4.247816850317205,0.23541504618432998,,
