Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,AMD.OQ,9.125,9.65625,9.125,9.65625,9.65625,1791400.0,2737958173.3125,,,,,,,,,,,,,,,,,,
1998-01-05,AMD.OQ,9.6875,9.75,9.4375,9.6875,9.6875,4046200.0,2737958173.3125,,,,,,,,,,,,,,,,,,
1998-01-06,AMD.OQ,10.1875,10.4375,9.84375,9.9375,9.9375,6745800.0,2826565233.9375,,,,,,,,,,,,,,,,,,
1998-01-07,AMD.OQ,9.78125,9.78125,9.375,9.5,9.5,3337200.0,2693654643.0,,,,,,,,,,,,,,,,,,
1998-01-08,AMD.OQ,9.53125,9.84375,9.40625,9.46875,9.46875,2515000.0,2684793936.9375,,,,,,,,,,,,,,,,,,
1998-01-09,AMD.OQ,9.53125,9.5625,8.8125,9.03125,9.03125,2304400.0,2587326170.25,,,,,,,,,,,,,,,,,,
1998-01-12,AMD.OQ,8.75,9.125,8.65625,8.875,8.875,1935600.0,2516440521.75,,,,,,,,,,,,,,,,,,
1998-01-13,AMD.OQ,9.0,9.75,8.96875,9.5625,9.5625,3504000.0,2959475824.875,,,,,,,,,,,,,,,,,,
1998-01-14,AMD.OQ,9.59375,9.59375,9.125,9.25,9.25,3988400.0,2613908288.4375,,,,,,,,,,,,,,,,,,
1998-01-15,AMD.OQ,9.25,9.34375,9.03125,9.03125,9.03125,2634000.0,2560744052.0625,,,,,,,,,,,,,,,,,,
1998-01-16,AMD.OQ,9.125,9.1875,8.75,8.90625,8.90625,2051400.0,2525301227.8125,,,,,,,,,,,,,,,,,,
1998-01-20,AMD.OQ,8.90625,9.28125,8.90625,9.28125,9.28125,1397600.0,2631629700.5625,,,,,,,,,,,,,,,,,,
1998-01-21,AMD.OQ,9.25,9.3125,9.0625,9.28125,9.28125,1517800.0,2631629700.5625,,,,,,,,,,,,,,,,,,
1998-01-22,AMD.OQ,9.1875,9.375,9.03125,9.1875,9.1875,1808200.0,2605047582.375,,,,,,,,,,,,,,,,,,
1998-01-23,AMD.OQ,9.3125,9.3125,9.0625,9.0625,9.0625,902000.0,2569604758.125,,,,,,,,,,,,,,,,,,
1998-01-26,AMD.OQ,9.1875,9.46875,9.1875,9.4375,9.4375,1945400.0,2684793936.9375,,,,,,,,,,,,,,,,,,
1998-01-27,AMD.OQ,9.4375,9.75,9.375,9.40625,9.40625,1501600.0,2658211818.75,,,,,,,,,,,,,,,,,,
1998-01-28,AMD.OQ,9.40625,9.8125,9.40625,9.5625,9.5625,1882400.0,2720236761.1875,,,,,,,,,,,,,,,,,,
1998-01-29,AMD.OQ,9.5,10.03125,9.34375,9.875,9.875,4763000.0,2799983115.75,,,,,,,,,,,,,,,,,,
1998-01-30,AMD.OQ,10.0,10.09375,9.84375,10.03125,10.03125,2524600.0,2862008058.1875,,,,,,,,,,,,,,,,,,
