Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,AME.N,3.981487,3.990747,3.907413,3.916673,3.916673,207899.0,,,,,,,,,,,,,,,,,,,
1998-01-05,AME.N,3.898154,3.94445,3.842598,3.907413,3.907413,151199.0,,,,,,,,,,,,,,,,,,,
1998-01-06,AME.N,3.916673,4.000006,3.888895,4.000006,4.000006,664199.0,,,,,,,,,,,,,,,,,,,
1998-01-07,AME.N,3.981487,3.981487,3.851858,3.888895,3.888895,197774.0,,,,,,,,,,,,,,,,,,,
1998-01-08,AME.N,3.907413,3.95371,3.898154,3.907413,3.907413,267299.0,,,,,,,,,,,,,,,,,,,
1998-01-09,AME.N,3.888895,3.916673,3.833339,3.833339,3.833339,253799.0,,,,,,,,,,,,,,,,,,,
1998-01-12,AME.N,3.82408,3.851858,3.759265,3.759265,3.759265,312524.0,,,,,,,,,,,,,,,,,,,
1998-01-13,AME.N,3.796302,3.888895,3.777783,3.870376,3.870376,269324.0,,,,,,,,,,,,,,,,,,,
1998-01-14,AME.N,3.888895,3.95371,3.888895,3.925932,3.925932,278099.0,,,,,,,,,,,,,,,,,,,
1998-01-15,AME.N,3.916673,3.925932,3.787043,3.814821,3.814821,184949.0,,,,,,,,,,,,,,,,,,,
1998-01-16,AME.N,3.814821,3.981487,3.814821,3.925932,3.925932,203849.0,,,,,,,,,,,,,,,,,,,
1998-01-20,AME.N,3.916673,3.94445,3.861117,3.916673,3.916673,139049.0,,,,,,,,,,,,,,,,,,,
1998-01-21,AME.N,3.898154,3.925932,3.861117,3.916673,3.916673,258524.0,,227616180.92114,0.714014035955926,222750523.0861,0.06101,0.05979,13608000.0,1997-12-31,217110000.0,223056432.32128,,,1998-01-21,872440959.5072045,,5.485428580905046,0.18230116120389067,,
1998-01-22,AME.N,3.916673,4.000006,3.916673,4.000006,4.000006,423224.0,,227616180.92114,0.714014035955926,222750523.0861,0.06101,0.05979,13608000.0,1997-12-31,217110000.0,223056432.32128,,,1998-01-21,891003428.8475386,,5.602139171738787,0.17850324123411965,,
1998-01-23,AME.N,4.000006,4.027784,3.972228,4.009265,4.009265,83024.0,,227616180.92114,0.714014035955926,222750523.0861,0.06101,0.05979,13608000.0,1997-12-31,217110000.0,223056432.32128,,,1998-01-21,893065875.9407928,,5.615106703935271,0.17809100569703576,,
1998-01-26,AME.N,4.000006,4.018525,3.851858,3.851858,3.851858,251774.0,,227616180.92114,0.714014035955926,222750523.0861,0.06101,0.05979,13608000.0,1997-12-31,217110000.0,223056432.32128,,,1998-01-21,858003384.353379,,5.394653054464273,0.18536873268846518,,
1998-01-27,AME.N,3.861117,3.925932,3.851858,3.907413,3.907413,185624.0,,227616180.92114,0.714014035955926,222750523.0861,0.06101,0.05979,13608000.0,1997-12-31,217110000.0,223056432.32128,,,1998-01-21,870378289.6634274,,5.47245964817587,0.18273318841799574,,
