Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,AMP.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
