Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,ANET.N,,,,,,0,,,,,,,,,,,,,,,,,,,
