Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,APH.N,0.87207,0.875,0.871094,0.875,0.875,2271999.0,981453312.0,,,,,,,,,,,,,,,,,,
1998-01-05,APH.N,0.875,0.875,0.873047,0.873047,0.873047,550399.0,979262568.0,,,,,,,,,,,,,,,,,,
1998-01-06,APH.N,0.870117,0.870117,0.859375,0.859375,0.859375,2022399.0,963927360.0,,,,,,,,,,,,,,,,,,
1998-01-07,APH.N,0.860352,0.860352,0.855469,0.855469,0.855469,166399.0,959545872.0,,,,,,,,,,,,,,,,,,
1998-01-08,APH.N,0.855469,0.855469,0.851563,0.851563,0.851563,185599.0,955164384.0,,,,,,,,,,,,,,,,,,
1998-01-09,APH.N,0.849609,0.849609,0.84375,0.845703,0.845703,1369599.0,948592152.0,,,,,,,,,,,,,,,,,,
1998-01-12,APH.N,0.845703,0.845703,0.837891,0.838867,0.838867,787199.0,940924548.0,,,,,,,,,,,,,,,,,,
1998-01-13,APH.N,0.836914,0.836914,0.824219,0.832031,0.832031,1145599.0,933256944.0,,,,,,,,,,,,,,,,,,
1998-01-14,APH.N,0.833984,0.849609,0.832031,0.849609,0.849609,1305599.0,952973640.0,1145954560.0,-0.305788402414126,1122099456.0,0.00051,0.00823,-2268000.0,1997-12-31,222085000.0,1095594240.0,,,1998-01-14,953345796.712704,,-2.778421265465076,-0.3599166233104005,,
1998-01-15,APH.N,0.875,0.875,0.869141,0.870117,0.870117,1318399.0,975976452.0,1145954560.0,-0.305788402414126,1122099456.0,0.00051,0.00823,-2268000.0,1997-12-31,222085000.0,1095594240.0,,,1998-01-14,976357812.3563521,,-2.845487249125981,-0.35143366054694486,,
1998-01-16,APH.N,0.870117,0.870117,0.855469,0.855469,0.855469,755199.0,959545872.0,1145954560.0,-0.305788402414126,1122099456.0,0.00051,0.00823,-2268000.0,1997-12-31,222085000.0,1095594240.0,,,1998-01-14,959921299.5248641,,-2.7975848437883113,-0.3574511787266704,,
1998-01-20,APH.N,0.855469,0.867188,0.855469,0.866211,0.866211,659199.0,971594964.0,1145954560.0,-0.305788402414126,1122099456.0,0.00051,0.00823,-2268000.0,1997-12-31,222085000.0,1095594240.0,,,1998-01-14,971974891.8812159,,-2.8327137104006304,-0.35301837821746207,,
1998-01-21,APH.N,0.866211,0.900391,0.863281,0.895508,0.895508,1356799.0,1004456124.0,1145954560.0,-0.305788402414126,1122099456.0,0.00051,0.00823,-2268000.0,1997-12-31,222085000.0,1095594240.0,,,1998-01-14,1004849039.6436479,,-2.9285217913111787,-0.34146920230095773,,
