Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,APO.N,,,,,,0,,,,,,,,,,,,,,,,,,,
