Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,BDX.N,23.88603,24.3735,23.764163,24.3735,24.3735,563800.0,3359150000.0,,,,,,,,,,,,,,,,,,
1998-01-05,BDX.N,24.464901,24.495368,24.038364,24.495368,24.495368,627800.0,3375945750.0,,,,,,,,,,,,,,,,,,
1998-01-06,BDX.N,24.3735,24.678169,24.190699,24.464901,24.464901,549200.0,3371746812.5,,,,,,,,,,,,,,,,,,
1998-01-07,BDX.N,24.495368,24.739103,24.129765,24.282099,24.282099,483800.0,3346553187.5,,,,,,,,,,,,,,,,,,
1998-01-08,BDX.N,24.221166,24.708636,24.221166,24.678169,24.678169,468000.0,3401139375.0,,,,,,,,,,,,,,,,,,
1998-01-09,BDX.N,24.678169,24.739103,24.129765,24.160232,24.160232,934800.0,3329757437.5,,,,,,,,,,,,,,,,,,
1998-01-12,BDX.N,23.88603,24.251633,23.825096,24.129765,24.129765,737400.0,3325558500.0,,,,,,,,,,,,,,,,,,
1998-01-13,BDX.N,24.251633,24.343033,23.946964,24.190699,24.190699,413200.0,3333956375.0,,,,,,,,,,,,,,,,,,
1998-01-14,BDX.N,24.312566,24.86097,24.129765,24.708636,24.708636,514000.0,3401139375.0,,,,,,,,,,,,,,,,,,
1998-01-15,BDX.N,25.287506,25.500774,25.104705,25.500774,25.500774,1076600.0,3514510687.5,,,,,,,,,,,,,,,,,,
1998-01-16,BDX.N,26.32338,26.963184,26.32338,26.81085,26.81085,1517600.0,3695065000.0,,,,,,,,,,,,,,,,,,
1998-01-20,BDX.N,26.81085,27.115519,26.749916,26.902251,26.902251,1099600.0,3707661812.5,,,,,,,,,,,,,,,,,,
1998-01-21,BDX.N,26.780383,27.907658,26.688983,27.542055,27.542055,804200.0,3795839500.0,,,,,,,,,,,,,,,,,,
1998-01-22,BDX.N,26.81085,28.516995,26.81085,28.516995,28.516995,888800.0,3930205500.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,6968138564.7081,,5.235718010728277,0.19099577134424436,,
1998-01-23,BDX.N,28.76073,29.73567,28.638863,29.278667,29.278667,2298400.0,4047775750.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7154253407.34346,,5.375560929263958,0.18602709803847833,,
1998-01-26,BDX.N,29.004465,29.034932,28.181859,28.76073,28.76073,702800.0,3963797000.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7027695304.577399,,5.280467737315698,0.18937716311251349,,
1998-01-27,BDX.N,28.76073,30.101273,28.334194,30.070806,30.070806,1507000.0,4144351312.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7347812873.00628,,5.520997586573057,0.1811266866756069,,
1998-01-28,BDX.N,30.070806,30.588743,29.73567,30.253607,30.253607,1764400.0,4156948125.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7392480366.82066,,5.5545598356136425,0.18003226710933876,,
1998-01-29,BDX.N,30.253607,31.776951,30.253607,30.832478,30.832478,1526000.0,4249324750.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7533927715.64164,,5.660840505108738,0.17665221252878086,,
1998-01-30,BDX.N,30.954345,31.441815,30.405941,30.771544,30.771544,1388200.0,4240926875.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7519038469.5867195,,5.649653027561903,0.17700202032257337,,
1998-02-02,BDX.N,30.893411,32.416755,30.893411,32.203487,32.203487,1174000.0,4438276937.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7868934285.775061,,5.912557648313013,0.16913154331532357,,
1998-02-03,BDX.N,32.203487,32.873758,31.776951,31.807418,31.807418,1834400.0,4438276937.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7772154675.118839,,5.8398394114584224,0.17123758540994935,,
1998-02-04,BDX.N,31.68555,31.68555,31.015279,31.472282,31.472282,1747200.0,4337502437.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7690264066.16716,,5.778308468550748,0.17306102736512594,,
1998-02-05,BDX.N,31.350414,31.441815,30.466875,30.558276,30.558276,929200.0,4211534312.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7466926352.74488,,5.6104970397479,0.17823732780098459,,
1998-02-06,BDX.N,30.680143,31.716017,30.680143,31.594149,31.594149,967400.0,4345900312.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7720042313.9266205,,5.800683240044499,0.172393485149575,,
1998-02-09,BDX.N,31.563683,31.898818,31.259014,31.380881,31.380881,721400.0,4324905625.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7667930197.08478,,5.761527252230495,0.17356509068196527,,
1998-02-10,BDX.N,31.472282,32.051153,31.472282,31.776951,31.776951,632800.0,4379491812.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7764710052.09138,,5.834245672685006,0.17140176401584153,,
1998-02-11,BDX.N,31.655083,32.112086,31.289481,31.594149,31.594149,399000.0,4354298187.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7720042313.9266205,,5.800683240044499,0.172393485149575,,
1998-02-12,BDX.N,31.350414,31.807418,30.71061,31.776951,31.776951,556600.0,4379491812.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7764710052.09138,,5.834245672685006,0.17140176401584153,,
1998-02-13,BDX.N,31.655083,31.807418,31.380881,31.380881,31.380881,493400.0,4324905625.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7667930197.08478,,5.761527252230495,0.17356509068196527,,
1998-02-17,BDX.N,31.259014,31.441815,31.015279,31.350414,31.350414,509800.0,4320706687.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7660485574.057321,,5.755933513457078,0.17373376493353357,,
1998-02-18,BDX.N,31.350414,31.655083,31.137146,31.441815,31.441815,501200.0,4324905625.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7682819443.1397,,5.772714729777331,0.17322872284710536,,
1998-02-19,BDX.N,31.441815,31.472282,30.954345,30.954345,30.954345,526800.0,4261921562.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7563705963.4011,,5.683215276602489,0.17595673423052433,,
1998-02-20,BDX.N,31.563683,31.929285,30.984812,31.807418,31.807418,997400.0,4383690750.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7772154675.118839,,5.8398394114584224,0.17123758540994935,,
1998-02-23,BDX.N,31.929285,32.020686,31.533216,31.716017,31.716017,728800.0,4371093937.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7749820806.03646,,5.82305819513817,0.17173106750589015,,
1998-02-24,BDX.N,31.594149,31.594149,31.167613,31.319948,31.319948,282200.0,4316507750.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7653041195.38024,,5.750339958283581,0.17390276179401576,,
1998-02-25,BDX.N,31.441815,31.68555,31.045746,31.259014,31.259014,389800.0,4308109875.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7638151949.32532,,5.739152480736745,0.1742417549205154,,
1998-02-26,BDX.N,31.380881,31.624616,31.259014,31.441815,31.441815,1425800.0,4333303500.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7682819443.1397,,5.772714729777331,0.17322872284710536,,
1998-02-27,BDX.N,31.319948,31.319948,30.893411,31.015279,31.015279,916000.0,4274518375.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7578595209.45602,,5.694402754149324,0.1756110417850815,,
1998-03-02,BDX.N,31.015279,31.015279,30.405941,30.588743,30.588743,521600.0,4215733250.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7474370975.77234,,5.616090778521317,0.17805979985659953,,
1998-03-03,BDX.N,30.588743,30.649676,30.405941,30.497342,30.497342,814000.0,4203136437.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7452037106.68996,,5.599309562201064,0.17859344779767888,,
1998-03-04,BDX.N,30.527809,30.771544,29.857538,30.771544,30.771544,954400.0,4240926875.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7519038469.5867195,,5.649653027561903,0.17700202032257337,,
1998-03-05,BDX.N,30.588743,30.771544,30.558276,30.741077,30.741077,602800.0,4236727937.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7511593846.55926,,5.644059288788485,0.1771774442530091,,
1998-03-06,BDX.N,30.649676,31.837884,30.649676,31.837884,31.837884,581000.0,4387889687.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7779599053.795919,,5.84543296663192,0.17107372639604315,,
1998-03-09,BDX.N,31.472282,32.17302,31.411348,31.837884,31.837884,564400.0,4387889687.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7779599053.795919,,5.84543296663192,0.17107372639604315,,
1998-03-10,BDX.N,31.746484,32.386288,31.746484,32.17302,32.17302,379000.0,4434078000.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7861489662.747601,,5.906963909539595,0.16929170641876204,,
1998-03-11,BDX.N,32.051153,32.630023,32.020686,32.569089,32.569089,656400.0,4488664187.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,7958269273.403819,,5.979682146394183,0.16723296916425756,,
1998-03-12,BDX.N,32.812824,34.061966,32.812824,33.757298,33.757298,1322200.0,4652422750.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8248608594.073239,,6.197837224157792,0.16134660589378216,,
1998-03-13,BDX.N,33.757298,34.031499,33.544029,33.848698,33.848698,846400.0,4665019562.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8270942218.80524,,6.214618256878125,0.16091092946750746,,
1998-03-16,BDX.N,33.726831,33.879165,33.513563,33.879165,33.879165,693400.0,4669218500.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8278386841.8327,,6.2202119956515425,0.16076622480055103,,
1998-03-17,BDX.N,34.001033,34.336168,33.940099,34.153367,34.153367,531800.0,4707008937.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8345388204.729461,,6.270555461012382,0.15947550519528456,,
1998-03-18,BDX.N,34.031499,34.275234,34.001033,34.275234,34.275234,485800.0,4723804687.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8375166452.488919,,6.292930232506132,0.1589084834970043,,
1998-03-19,BDX.N,34.275234,34.793171,34.244768,34.579903,34.579903,457200.0,4765794062.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8449612438.41314,,6.348867436640389,0.15750840759862628,,
1998-03-20,BDX.N,34.701771,34.701771,34.305701,34.518969,34.518969,462400.0,4757396187.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8434723192.358219,,6.337679959093553,0.15778644653161455,,
1998-03-23,BDX.N,34.183834,34.366635,33.940099,34.001033,34.001033,357200.0,4690213187.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8308165333.94254,,6.242586950745213,0.1601899994169283,,
1998-03-24,BDX.N,33.909632,34.366635,33.879165,34.336168,34.336168,417800.0,4732202562.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8390055698.54384,,6.304117710052967,0.15862647970632485,,
1998-03-25,BDX.N,34.275234,34.427569,33.879165,34.244768,34.244768,671400.0,4719605750.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8367722073.81184,,6.287336677332635,0.1590498570889708,,
1998-03-26,BDX.N,34.183834,34.458036,33.909632,34.061966,34.061966,830800.0,4694412125.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8323054335.647079,,6.253774244692128,0.15990343764787274,,
1998-03-27,BDX.N,34.1229,34.427569,33.422162,33.452629,33.452629,989400.0,4610433375.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8174162608.14902,,6.141900020023536,0.16281606615865557,,
1998-03-30,BDX.N,33.452629,33.787764,33.208894,33.63543,33.63543,551600.0,4635627000.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8218830101.9634,,6.175462269064122,0.16193119744403328,,
1998-03-31,BDX.N,33.574496,33.970566,33.178427,33.178427,33.178427,649600.0,4572642937.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8107161245.25226,,6.091556554662697,0.1641616540906222,,
1998-04-01,BDX.N,33.178427,34.031499,32.965159,33.726831,33.726831,648800.0,4648223812.5,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8241163971.045779,,6.192243485384374,0.16149235771498843,,
1998-04-02,BDX.N,33.665897,34.244768,33.574496,34.244768,34.244768,325600.0,4719605750.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8367722073.81184,,6.287336677332635,0.1590498570889708,,
1998-04-03,BDX.N,34.183834,34.305701,33.909632,33.940099,33.940099,448200.0,4677616375.0,256574000.0,5.44662545644496,244350380.0,0.26063,0.24971,63496000.0,1997-12-31,701640000.0,243624000.0,,,1998-01-22,8293276087.887619,,6.231399473198377,0.16047759484864677,,
