Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,BK.N,30.50801,30.739884,29.911762,30.309261,30.309261,668493.0,21540808247.8125,,,,,,,,,,,,,,,,,,
1998-01-05,BK.N,30.44176,31.402382,30.37551,31.004883,31.004883,1470571.0,22058729320.4375,,,,,,,,,,,,,,,,,,
1998-01-06,BK.N,30.905508,30.905508,30.408635,30.673634,30.673634,1956233.0,21729143183.3125,,,,,,,,,,,,,,,,,,
1998-01-07,BK.N,30.541135,30.541135,29.713013,30.011137,30.011137,1623213.0,21399557046.1875,,,,,,,,,,,,,,,,,,
1998-01-08,BK.N,29.812388,29.812388,29.050515,29.21614,29.21614,1317740.0,20763926638.875,,,,,,,,,,,,,,,,,,
1998-01-09,BK.N,29.116765,29.21614,28.288643,28.354893,28.354893,2511141.0,20198921832.375,,,,,,,,,,,,,,,,,,
1998-01-12,BK.N,27.361147,28.388018,27.195522,28.288643,28.288643,1807931.0,20104754364.625,,,,,,,,,,,,,,,,,,
1998-01-13,BK.N,28.884891,29.14989,28.653017,29.116765,29.116765,1394344.0,20693301038.0625,,,,,,,,,,,,,,,,,,
1998-01-14,BK.N,29.116765,29.547389,29.017391,29.414889,29.414889,1246608.0,20975803441.3125,,,,,,,,,,,,,,,,,,
1998-01-15,BK.N,29.679888,29.679888,28.884891,29.08364,29.08364,1094721.0,20669759171.125,,,,,,,,,,,,,,,,,,
1998-01-16,BK.N,29.414889,30.077387,29.249265,30.011137,30.011137,1288306.0,21328931445.375,,,,,,,,,,,,,,,,,,
1998-01-20,BK.N,30.607385,30.706759,30.077387,30.474885,30.474885,927173.0,21658517582.5,746647326.2,7.11133877855108,705352417.6248,0.41976,0.39644,296000000.0,1997-12-31,1089000000.0,705166971.6,,,1998-01-20,21495533811.587753,,4.285393503107609,0.23335079947146906,,
1998-01-21,BK.N,30.077387,30.44176,29.21614,29.812388,29.812388,1099249.0,21187680243.75,746647326.2,7.11133877855108,705352417.6248,0.41976,0.39644,296000000.0,1997-12-31,1089000000.0,705166971.6,,,1998-01-20,21028239950.968575,,4.192232845089431,0.23853636879243226,,
1998-01-22,BK.N,29.414889,29.679888,29.050515,29.28239,29.28239,1061513.0,20811010372.75,746647326.2,7.11133877855108,705352417.6248,0.41976,0.39644,296000000.0,1997-12-31,1089000000.0,705166971.6,,,1998-01-20,20654404580.332268,,4.117704262426691,0.24285376905884665,,
1998-01-23,BK.N,29.381764,29.547389,28.388018,28.553642,28.553642,1075287.0,20293089300.125,746647326.2,7.11133877855108,705352417.6248,0.41976,0.39644,296000000.0,1997-12-31,1089000000.0,705166971.6,,,1998-01-20,20140380416.693027,,4.015227355800048,0.24905189952830117,,
1998-01-26,BK.N,28.686142,29.21614,28.487393,29.14989,29.14989,1482835.0,20811010372.75,746647326.2,7.11133877855108,705352417.6248,0.41976,0.39644,296000000.0,1997-12-31,1089000000.0,705166971.6,,,1998-01-20,20560945384.99698,,4.099072046450757,0.24395765399289945,,
1998-01-27,BK.N,29.14989,29.28239,28.089894,28.653017,28.653017,3515107.0,20669759171.125,746647326.2,7.11133877855108,705352417.6248,0.41976,0.39644,296000000.0,1997-12-31,1089000000.0,705166971.6,,,1998-01-20,20210474813.194492,,4.029201517781999,0.24818813245917803,,
1998-01-28,BK.N,29.08364,29.348639,28.884891,29.116765,29.116765,1616232.0,20693301038.0625,746647326.2,7.11133877855108,705352417.6248,0.41976,0.39644,296000000.0,1997-12-31,1089000000.0,705166971.6,,,1998-01-20,20537580586.16316,,4.094413992456773,0.24423519503458163,,
