Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,BMY.N,47.28125,47.4375,46.6875,47.40625,47.40625,1693400.0,94083577608.375,,,,,,,,,,,,,,,,,,
1998-01-05,BMY.N,47.0625,47.96875,47.03125,47.90625,47.90625,4079600.0,95264283007.6875,,,,,,,,,,,,,,,,,,
1998-01-06,BMY.N,47.625,48.40625,47.4375,48.1875,48.1875,3882400.0,95823564512.625,,,,,,,,,,,,,,,,,,
1998-01-07,BMY.N,48.25,48.4375,48.0,48.15625,48.15625,3203000.0,95885706902.0625,,,,,,,,,,,,,,,,,,
1998-01-08,BMY.N,47.9375,48.0625,47.125,47.21875,47.21875,4470200.0,93772865661.1875,,,,,,,,,,,,,,,,,,
1998-01-09,BMY.N,46.5625,46.875,44.90625,44.90625,44.90625,6161600.0,89298613621.6875,,,,,,,,,,,,,,,,,,
1998-01-12,BMY.N,44.46875,46.375,44.46875,46.375,46.375,5819800.0,91970736367.5,,,,,,,,,,,,,,,,,,
1998-01-13,BMY.N,46.5625,46.59375,45.90625,46.0,46.0,3950200.0,91535739641.4375,,,,,,,,,,,,,,,,,,
1998-01-14,BMY.N,46.9375,46.9375,45.875,46.0,46.0,4790600.0,91473597252.0,,,,,,,,,,,,,,,,,,
1998-01-15,BMY.N,46.3125,46.4375,45.78125,46.0625,46.0625,4413800.0,91473597252.0,,,,,,,,,,,,,,,,,,
1998-01-16,BMY.N,46.0,47.0625,45.8125,46.6875,46.6875,5714400.0,92902872209.0625,,,,,,,,,,,,,,,,,,
1998-01-20,BMY.N,47.21875,48.46875,47.15625,48.34375,48.34375,5031800.0,96134276459.8125,,,,,,,,,,,,,,,,,,
