Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-14,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-15,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-16,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-17,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-20,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-21,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-22,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-23,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-24,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-27,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-28,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-29,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-30,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-01,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-04,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-05,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-06,BR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
