Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,BRO.N,1.848958,1.848958,1.838542,1.838542,1.838542,33599.0,374533000.0,,,,,,,,,,,,,,,,,,
1998-01-05,BRO.N,1.838542,1.846354,1.838542,1.846354,1.846354,23999.0,376124500.0,,,,,,,,,,,,,,,,,,
1998-01-06,BRO.N,1.846354,1.846354,1.830729,1.84375,1.84375,155999.0,375594000.0,,,,,,,,,,,,,,,,,,
1998-01-07,BRO.N,1.864583,1.864583,1.841146,1.84375,1.84375,98399.0,375594000.0,,,,,,,,,,,,,,,,,,
1998-01-08,BRO.N,1.84375,1.854167,1.84375,1.84375,1.84375,93599.0,375594000.0,,,,,,,,,,,,,,,,,,
1998-01-09,BRO.N,1.854167,1.854167,1.833333,1.833333,1.833333,62399.0,373472000.0,,,,,,,,,,,,,,,,,,
1998-01-12,BRO.N,1.828125,1.828125,1.809896,1.809896,1.809896,16799.0,368697500.0,,,,,,,,,,,,,,,,,,
1998-01-13,BRO.N,1.809896,1.809896,1.809896,1.809896,1.809896,4799.0,368697500.0,,,,,,,,,,,,,,,,,,
1998-01-14,BRO.N,1.799479,1.830729,1.799479,1.830729,1.830729,31199.0,372941500.0,,,,,,,,,,,,,,,,,,
1998-01-15,BRO.N,1.833333,1.851563,1.830729,1.851563,1.851563,47999.0,377185500.0,,,,,,,,,,,,,,,,,,
1998-01-16,BRO.N,1.861979,1.90625,1.861979,1.90625,1.90625,81599.0,388326000.0,,,,,,,,,,,,,,,,,,
1998-01-20,BRO.N,1.916667,1.958333,1.916667,1.955729,1.955729,223199.0,398405500.0,,,,,,,,,,,,,,,,,,
1998-01-21,BRO.N,1.958333,2.020833,1.942708,1.942708,1.942708,254399.0,395753000.0,,,,,,,,,,,,,,,,,,
1998-01-22,BRO.N,1.958333,1.958333,1.901042,1.901042,1.901042,112799.0,387265000.0,,,,,,,,,,,,,,,,,,
1998-01-23,BRO.N,1.890625,1.890625,1.830729,1.830729,1.830729,112799.0,372941500.0,,,,,,,,,,,,,,,,,,
1998-01-26,BRO.N,1.914063,1.924479,1.893229,1.893229,1.893229,189599.0,385673500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,405484214.304,,5.319220966863434,0.18799745418165367,,
1998-01-27,BRO.N,1.914063,1.953125,1.914063,1.950521,1.950521,83999.0,397344500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,417754785.696,,5.4801887143644175,0.18247546793030067,,
1998-01-28,BRO.N,1.950521,2.013021,1.950521,2.013021,2.013021,95999.0,410076500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,431140785.69600004,,5.655788871782757,0.176809994621456,,
1998-01-29,BRO.N,2.002604,2.002604,1.976563,1.986979,1.986979,215999.0,404771500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,425563214.304,,5.582621202990943,0.1791273245378426,,
1998-01-30,BRO.N,1.997396,2.0,1.971354,1.971354,1.971354,311999.0,401588500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,422216714.304,,5.5387211636363585,0.18054709209146505,,
1998-02-02,BRO.N,1.971354,1.971354,1.958333,1.958333,1.958333,19199.0,398936000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,419427928.60800004,,5.502137329240451,0.1817475537525426,,
1998-02-03,BRO.N,1.947917,1.953125,1.927083,1.953125,1.953125,38399.0,397875000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,418312500.0,,5.487504919323095,0.18223218287763354,,
1998-02-04,BRO.N,1.963542,1.979167,1.942708,1.942708,1.942708,28799.0,395753000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,416081428.60800004,,5.458237289885867,0.1832093305750931,,
1998-02-05,BRO.N,1.953125,1.953125,1.932292,1.932292,1.932292,21599.0,393631000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,413850571.39199996,,5.428972470051155,0.18419691857280265,,
1998-02-06,BRO.N,1.932292,1.932292,1.921875,1.932292,1.932292,14399.0,393631000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,413850571.39199996,,5.428972470051155,0.18419691857280265,,
1998-02-09,BRO.N,1.921875,1.934896,1.921875,1.934896,1.934896,40799.0,394161500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,414408285.696,,5.436288675009833,0.18394902474493616,,
1998-02-10,BRO.N,1.934896,1.973958,1.929688,1.947917,1.947917,376799.0,396814000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,417197071.39199996,,5.4728725094057395,0.18271940343601809,,
1998-02-11,BRO.N,1.9375,1.945313,1.934896,1.945313,1.945313,16799.0,396283500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,416639357.088,,5.4655563044470625,0.1829639920068791,,
1998-02-12,BRO.N,1.934896,1.955729,1.895833,1.921875,1.921875,160799.0,391509000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,411619500.0,,5.399704840613926,0.18519530780247312,,
1998-02-13,BRO.N,1.911458,1.921875,1.911458,1.921875,1.921875,26399.0,391509000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,411619500.0,,5.399704840613926,0.18519530780247312,,
1998-02-17,BRO.N,1.932292,1.958333,1.932292,1.958333,1.958333,74399.0,398936000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,419427928.60800004,,5.502137329240451,0.1817475537525426,,
1998-02-18,BRO.N,1.96875,2.0,1.96875,2.0,2.0,28799.0,407424000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,428352000.0,,5.61920503738685,0.177961116091439,,
1998-02-19,BRO.N,1.989583,2.015625,1.989583,2.015625,2.015625,62399.0,410607000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,431698500.0,,5.663105076741434,0.17658157255584644,,
1998-02-20,BRO.N,2.007813,2.070313,2.007813,2.070313,2.070313,119999.0,421747500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,443411357.088,,5.8167566192837405,0.1719171121385404,,
1998-02-23,BRO.N,2.09375,2.104167,2.085938,2.104167,2.104167,851999.0,428644000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,450662071.39199996,,5.911872902951588,0.16915113305306945,,
1998-02-24,BRO.N,2.098958,2.098958,2.085938,2.09375,2.09375,302399.0,426522000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,448431000.0,,5.882605273514359,0.16999270790824023,,
1998-02-25,BRO.N,2.09375,2.114583,2.091146,2.111979,2.111979,79199.0,430235500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,452335214.30399996,,5.933821517827621,0.1685254598567874,,
1998-02-26,BRO.N,2.122396,2.164063,2.122396,2.164063,2.164063,38399.0,440845500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,463490357.088,,6.080156855411249,0.16446944113127854,,
1998-02-27,BRO.N,2.171875,2.190104,2.169271,2.179688,2.179688,151199.0,444028499.999999,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,466836857.088,,6.124056894765834,0.16329044899218512,,
1998-03-02,BRO.N,2.195313,2.328125,2.183594,2.328125,2.328125,755199.0,316178000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,498628500.0,,6.54110586383313,0.15287934805170597,,
1998-03-03,BRO.N,2.296875,2.40625,2.28125,2.371094,2.371094,401599.0,324666000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,507831428.54399997,,6.661831674458867,0.15010886627981768,,
1998-03-04,BRO.N,2.375,2.375,2.3125,2.335938,2.335938,87999.0,317239000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,500301857.088,,6.563057288311682,0.15236801327041985,,
1998-03-05,BRO.N,2.328125,2.398438,2.328125,2.378906,2.378906,52799.0,323074500.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,509504571.45600003,,6.683780289334901,0.14961592941582305,,
1998-03-06,BRO.N,2.394531,2.394531,2.375,2.375,2.375,377599.0,322544000.0,353236217.73916,0.355922232182878,214176000.0,0.01564,0.01566,5533000.0,1997-12-31,97838000.0,353820191.4588,,,1998-01-26,508668000.0,,6.672805981896884,0.1498619924980539,,
