Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,BWA.N,5.724317,5.724317,5.669342,5.683086,5.683086,157599.0,1227674522.1875,,,,,,,,,,,,,,,,,,
1998-01-05,BWA.N,5.66247,5.676214,5.634982,5.676214,5.676214,582399.0,1226190030.625,,,,,,,,,,,,,,,,,,
1998-01-06,BWA.N,5.66247,5.731189,5.66247,5.69683,5.69683,306399.0,1230643505.3125,,,,,,,,,,,,,,,,,,
1998-01-07,BWA.N,5.683086,5.717446,5.669342,5.717446,5.717446,130399.0,1235096980.0,,,,,,,,,,,,,,,,,,
1998-01-08,BWA.N,5.744933,5.744933,5.634982,5.641854,5.641854,272799.0,1218767572.8125,,,,,,,,,,,,,,,,,,
1998-01-09,BWA.N,5.634982,5.634982,5.456312,5.456312,5.456312,313599.0,1178686300.625,,,,,,,,,,,,,,,,,,
1998-01-12,BWA.N,5.428824,5.490672,5.380721,5.456312,5.456312,255199.0,1178686300.625,,,,,,,,,,,,,,,,,,
1998-01-13,BWA.N,5.470056,5.607495,5.470056,5.593751,5.593751,155199.0,1208376131.875,,,,,,,,,,,,,,,,,,
1998-01-14,BWA.N,5.566263,5.683086,5.525031,5.683086,5.683086,163199.0,1227674522.1875,,,,,,,,,,,,,,,,,,
1998-01-15,BWA.N,5.669342,5.799909,5.669342,5.793037,5.793037,267999.0,1251426387.1875,,,,,,,,,,,,,,,,,,
1998-01-16,BWA.N,5.799909,5.854884,5.751805,5.765549,5.765549,675999.0,1245488420.9375,,,,,,,,,,,,,,,,,,
1998-01-20,BWA.N,5.786165,5.923603,5.758677,5.848012,5.848012,618399.0,1263302319.6875,,,,,,,,,,,,,,,,,,
1998-01-21,BWA.N,5.848012,5.916731,5.848012,5.916731,5.916731,172799.0,1278147235.3125,,,,,,,,,,,,,,,,,,
1998-01-22,BWA.N,5.889244,5.889244,5.731189,5.765549,5.765549,159999.0,1245488420.9375,,,,,,,,,,,,,,,,,,
1998-01-23,BWA.N,5.793037,5.861756,5.683086,5.861756,5.861756,495199.0,1266271302.8125,,,,,,,,,,,,,,,,,,
1998-01-26,BWA.N,5.854884,5.882372,5.786165,5.813653,5.813653,172799.0,1255879861.875,,,,,,,,,,,,,,,,,,
1998-01-27,BWA.N,5.820524,5.951091,5.799909,5.923603,5.923603,632799.0,1279631726.875,,,,,,,,,,,,,,,,,,
1998-01-28,BWA.N,5.964835,5.978579,5.930475,5.964835,5.964835,295999.0,1288538676.25,,,,,,,,,,,,,,,,,,
1998-01-29,BWA.N,5.937347,5.937347,5.813653,5.84114,5.84114,506399.0,1261817828.125,190877200.0,3.68319021083755,188342160.0,0.16503,0.1425,27200000.0,1997-12-31,467000000.0,190877200.0,,,1998-01-29,1100132924.4624,,1.5858914868998137,0.6305601664807811,,
1998-01-30,BWA.N,5.84114,5.978579,5.84114,5.889244,5.889244,629599.0,1272209269.0625,190877200.0,3.68319021083755,188342160.0,0.16503,0.1425,27200000.0,1997-12-31,467000000.0,190877200.0,,,1998-01-29,1109192935.72704,,1.5989519038879063,0.6254096809093918,,
1998-02-02,BWA.N,5.902988,6.006067,5.902988,6.006067,6.006067,385599.0,1297445625.625,190877200.0,3.68319021083755,188342160.0,0.16503,0.1425,27200000.0,1997-12-31,467000000.0,190877200.0,,,1998-01-29,1131195631.8847198,,1.6306697879266552,0.6132449422954406,,
1998-02-03,BWA.N,5.992323,5.999195,5.964835,5.985451,5.985451,1479999.0,1292992150.9375,190877200.0,3.68319021083755,188342160.0,0.16503,0.1425,27200000.0,1997-12-31,467000000.0,190877200.0,,,1998-01-29,1127312769.91416,,1.6250724663603298,0.6153571737263491,,
1998-02-04,BWA.N,5.992323,5.992323,5.923603,5.937347,5.937347,663999.0,1282600710.0,190877200.0,3.68319021083755,188342160.0,0.16503,0.1425,27200000.0,1997-12-31,467000000.0,190877200.0,,,1998-01-29,1118252758.64952,,1.612012049372237,0.6203427576049623,,
1998-02-05,BWA.N,5.923603,5.957963,5.854884,5.854884,5.854884,1657599.0,1264786811.25,190877200.0,3.68319021083755,188342160.0,0.16503,0.1425,27200000.0,1997-12-31,467000000.0,190877200.0,,,1998-01-29,1102721499.10944,,1.5896230346106974,0.6290799631278006,,
