Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,BX.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
