Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,C.N,270.0,270.0,265.625,267.5,267.5,365399.0,17142041999.9999,,,,,,,,,,,,,,,,,,
1998-01-05,C.N,271.25,271.875,261.5625,265.3125,265.3125,627499.0,17021887500.0,,,,,,,,,,,,,,,,,,
1998-01-06,C.N,262.5,269.375,262.1875,267.1875,267.1875,648999.0,17101990500.0,,,,,,,,,,,,,,,,,,
1998-01-07,C.N,267.8125,269.6875,254.6875,257.5,257.5,715399.0,16541269500.0,,,,,,,,,,,,,,,,,,
1998-01-08,C.N,252.8125,255.9375,250.0,251.25,251.25,514499.0,16100703000.0,,,,,,,,,,,,,,,,,,
1998-01-09,C.N,250.3125,251.875,234.375,238.4375,238.4375,1207239.0,15279647250.0,,,,,,,,,,,,,,,,,,
1998-01-12,C.N,226.25,242.1875,226.25,235.9375,235.9375,899019.0,15139467000.0,,,,,,,,,,,,,,,,,,
1998-01-13,C.N,245.0,248.4375,244.0625,247.8125,247.8125,634219.0,15900445500.0,,,,,,,,,,,,,,,,,,
1998-01-14,C.N,249.6875,253.4375,248.4375,251.875,251.875,646539.0,16100703000.0,,,,,,,,,,,,,,,,,,
1998-01-15,C.N,250.9375,252.5,248.125,248.125,248.125,414119.0,15940497000.0,,,,,,,,,,,,,,,,,,
1998-01-16,C.N,250.9375,255.3125,250.9375,253.4375,253.4375,498319.0,16240883250.0,,,,,,,,,,,,,,,,,,
