Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,CARR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
