Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,CFG.N,,,,,,0,,,,,,,,,,,,,,,,,,,
