Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CHD.N,2.333345,2.375012,2.333345,2.375012,2.375012,93599.0,557089499.999999,,,,,,,,,,,,,,,,,,
1998-01-05,CHD.N,2.375012,2.401054,2.375012,2.401054,2.401054,207598.0,563197937.499999,,,,,,,,,,,,,,,,,,
1998-01-06,CHD.N,2.401054,2.401054,2.375012,2.38022,2.38022,103199.0,558311187.5,,,,,,,,,,,,,,,,,,
1998-01-07,CHD.N,2.375012,2.401054,2.375012,2.401054,2.401054,73199.0,563197937.499999,,,,,,,,,,,,,,,,,,
1998-01-08,CHD.N,2.395845,2.401054,2.369804,2.38022,2.38022,236398.0,558311187.5,,,,,,,,,,,,,,,,,,
1998-01-09,CHD.N,2.375012,2.375012,2.307303,2.307303,2.307303,195599.0,541207562.5,,,,,,,,,,,,,,,,,,
1998-01-12,CHD.N,2.302095,2.307303,2.281261,2.307303,2.307303,63599.0,541207562.5,,,,,,,,,,,,,,,,,,
1998-01-13,CHD.N,2.312512,2.312512,2.276053,2.28647,2.28647,157199.0,536320812.5,,,,,,,,,,,,,,,,,,
1998-01-14,CHD.N,2.265636,2.322928,2.265636,2.31772,2.31772,115199.0,543650937.499999,,,,,,,,,,,,,,,,,,
1998-01-15,CHD.N,2.328137,2.333345,2.31772,2.322928,2.322928,293998.0,544872625.0,,,,,,,,,,,,,,,,,,
1998-01-16,CHD.N,2.333345,2.354178,2.333345,2.333345,2.333345,421197.0,547316000.0,,,,,,,,,,,,,,,,,,
1998-01-20,CHD.N,2.34897,2.375012,2.34897,2.359387,2.359387,153599.0,553424437.5,,,,,,,,,,,,,,,,,,
1998-01-21,CHD.N,2.369804,2.375012,2.322928,2.328137,2.328137,118799.0,546094312.5,,,,,,,,,,,,,,,,,,
1998-01-22,CHD.N,2.270845,2.270845,2.223969,2.229178,2.229178,501597.0,522882250.0,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,519959287.71157885,,2.899277285793984,0.3449135427300615,,
1998-01-23,CHD.N,2.218761,2.296886,2.218761,2.28647,2.28647,301198.0,536320812.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,533322737.1586718,,2.973791476342118,0.33627105597533014,,
1998-01-26,CHD.N,2.296886,2.307303,2.229178,2.28647,2.28647,248398.0,536320812.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,533322737.1586718,,2.973791476342118,0.33627105597533014,,
1998-01-27,CHD.N,2.312512,2.333345,2.291678,2.333345,2.333345,616796.0,547316000.0,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,544256404.9104081,,3.034757277535021,0.32951564443145487,,
1998-01-28,CHD.N,2.333345,2.375012,2.322928,2.328137,2.328137,241198.0,546094312.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,543041630.6885192,,3.0279837331592847,0.3302527649171475,,
1998-01-29,CHD.N,2.333345,2.364595,2.270845,2.276053,2.276053,550797.0,533877437.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,530892955.46331525,,2.9602430869868868,0.33781009552761426,,
1998-01-30,CHD.N,2.28647,2.333345,2.276053,2.328137,2.328137,145199.0,546094312.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,543041630.6885192,,3.0279837331592847,0.3302527649171475,,
1998-02-02,CHD.N,2.338553,2.359387,2.322928,2.322928,2.322928,473997.0,544872625.0,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,541826623.2150517,,3.02120888817979,0.33099333313641793,,
1998-02-03,CHD.N,2.328137,2.328137,2.276053,2.28647,2.28647,173999.0,536320812.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,533322737.1586718,,2.973791476342118,0.33627105597533014,,
1998-02-04,CHD.N,2.270845,2.31772,2.260428,2.260428,2.260428,425997.0,530212374.999999,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,527248399.5460698,,2.939921153255919,0.34014517664615423,,
1998-02-05,CHD.N,2.250011,2.281261,2.223969,2.239595,2.239595,405597.0,524103937.499999,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,522389069.4069354,,2.9128256751492154,0.34330925071538065,,
1998-02-06,CHD.N,2.218761,2.239595,2.213553,2.223969,2.223969,345598.0,521660562.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,518744280.2381112,,2.892502440814489,0.3457214023018815,,
1998-02-09,CHD.N,2.239595,2.250011,2.229178,2.244803,2.244803,291598.0,526547312.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,523603843.6288243,,2.919599219524952,0.3425127645303009,,
1998-02-10,CHD.N,2.250011,2.281261,2.250011,2.260428,2.260428,275998.0,532655750.0,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,527248399.5460698,,2.939921153255919,0.34014517664615423,,
1998-02-11,CHD.N,2.270845,2.276053,2.260428,2.276053,2.276053,173999.0,533877437.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,530892955.46331525,,2.9602430869868868,0.33781009552761426,,
1998-02-12,CHD.N,2.265636,2.265636,2.250011,2.25522,2.25522,277198.0,528990687.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,526033625.32418084,,2.9331476088801827,0.34093067698757246,,
1998-02-13,CHD.N,2.25522,2.28647,2.25522,2.28647,2.28647,173999.0,536320812.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,533322737.1586718,,2.973791476342118,0.33627105597533014,,
1998-02-17,CHD.N,2.276053,2.291678,2.276053,2.291678,2.291678,73199.0,537542499.999999,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,534537511.38056076,,2.9805650207178545,0.3355068562668547,,
1998-02-18,CHD.N,2.296886,2.322928,2.296886,2.296886,2.296886,97199.0,538764187.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,535752285.60244966,,2.987338565093591,0.334746122078289,,
1998-02-19,CHD.N,2.307303,2.333345,2.302095,2.302095,2.302095,177599.0,539985875.0,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,536967293.0759172,,2.9941134100730857,0.33398868480923377,,
1998-02-20,CHD.N,2.291678,2.322928,2.291678,2.322928,2.322928,123599.0,544872625.0,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,541826623.2150517,,3.02120888817979,0.33099333313641793,,
1998-02-23,CHD.N,2.333345,2.343762,2.322928,2.322928,2.322928,400797.0,544872625.0,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,541826623.2150517,,3.02120888817979,0.33099333313641793,,
1998-02-24,CHD.N,2.31772,2.343762,2.31772,2.328137,2.328137,238798.0,546094312.5,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,543041630.6885192,,3.0279837331592847,0.3302527649171475,,
1998-02-25,CHD.N,2.333345,2.442721,2.333345,2.437512,2.437512,875995.0,571749750.0,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,568553522.1092376,,3.170237269276058,0.31543380354882894,,
1998-02-26,CHD.N,2.432304,2.432304,2.364595,2.369804,2.369804,477597.0,555867812.499999,233391500.8025,0.768873681355913,233251578.70371,0.02387,0.02387,5572000.0,1997-12-31,157107000.0,233391500.8025,,,1998-01-22,552760524.2183667,,3.0821759899764514,0.32444610666363677,,
