Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CHRW.OQ,5.53125,5.78125,5.53125,5.78125,5.78125,112400.0,954244360.625,,,,,,,,,,,,,,,,,,
1998-01-05,CHRW.OQ,6.03125,6.09375,5.625,5.625,5.625,629600.0,928453972.5,,,,,,,,,,,,,,,,,,
1998-01-06,CHRW.OQ,5.59375,5.59375,5.25,5.421875,5.421875,915200.0,894926467.9375,,,,,,,,,,,,,,,,,,
1998-01-07,CHRW.OQ,5.421875,5.75,5.421875,5.5625,5.5625,164800.0,918137817.25,,,,,,,,,,,,,,,,,,
1998-01-08,CHRW.OQ,5.5,5.78125,5.5,5.75,5.75,236000.0,949086283.0,,,,,,,,,,,,,,,,,,
1998-01-09,CHRW.OQ,5.65625,5.75,5.5,5.5,5.5,140400.0,907821662.0,,,,,,,,,,,,,,,,,,
1998-01-12,CHRW.OQ,5.375,5.53125,5.34375,5.34375,5.34375,927200.0,882031273.875,,,,,,,,,,,,,,,,,,
1998-01-13,CHRW.OQ,5.5,5.5,5.3125,5.4375,5.4375,100400.0,897505506.75,,,,,,,,,,,,,,,,,,
1998-01-14,CHRW.OQ,5.4375,5.5625,5.34375,5.359375,5.359375,585600.0,884610312.6875,,,,,,,,,,,,,,,,,,
1998-01-15,CHRW.OQ,5.4375,5.4375,5.34375,5.375,5.375,417200.0,887189351.5,,,,,,,,,,,,,,,,,,
1998-01-16,CHRW.OQ,5.4375,5.59375,5.34375,5.5625,5.5625,69200.0,918137817.25,,,,,,,,,,,,,,,,,,
1998-01-20,CHRW.OQ,5.5,5.78125,5.5,5.78125,5.78125,348800.0,954244360.625,,,,,,,,,,,,,,,,,,
1998-01-21,CHRW.OQ,5.75,5.78125,5.71875,5.75,5.75,141600.0,949086283.0,,,,,,,,,,,,,,,,,,
1998-01-22,CHRW.OQ,5.71875,5.75,5.65625,5.65625,5.65625,92400.0,933612050.125,,,,,,,,,,,,,,,,,,
1998-01-23,CHRW.OQ,5.65625,5.875,5.65625,5.8125,5.8125,211200.0,959402438.25,,,,,,,,,,,,,,,,,,
1998-01-26,CHRW.OQ,5.875,5.875,5.625,5.71875,5.71875,497200.0,943928205.375,,,,,,,,,,,,,,,,,,
1998-01-27,CHRW.OQ,5.75,5.75,5.625,5.625,5.625,96400.0,928453972.5,,,,,,,,,,,,,,,,,,
1998-01-28,CHRW.OQ,5.625,5.6875,5.625,5.65625,5.65625,154800.0,933612050.125,,,,,,,,,,,,,,,,,,
1998-01-29,CHRW.OQ,5.65625,5.8125,5.65625,5.71875,5.71875,108400.0,943928205.375,,,,,,,,,,,,,,,,,,
1998-01-30,CHRW.OQ,5.796875,5.796875,5.65625,5.71875,5.71875,130400.0,943928205.375,,,,,,,,,,,,,,,,,,
1998-02-02,CHRW.OQ,5.78125,6.15625,5.78125,6.0,6.0,580800.0,990350904.0,,,,,,,,,,,,,,,,,,
1998-02-03,CHRW.OQ,5.9375,6.125,5.9375,6.0,6.0,159200.0,990350904.0,,,,,,,,,,,,,,,,,,
1998-02-04,CHRW.OQ,6.0,6.09375,5.90625,5.90625,5.90625,557600.0,974876671.125,,,,,,,,,,,,,,,,,,
1998-02-05,CHRW.OQ,5.875,5.96875,5.875,5.875,5.875,73200.0,969718593.5,,,,,,,,,,,,,,,,,,
1998-02-06,CHRW.OQ,5.96875,6.09375,5.875,5.9375,5.9375,246800.0,980034748.75,,,,,,,,,,,,,,,,,,
