Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-22,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-23,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-24,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-27,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-28,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-29,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-30,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-01,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-04,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-05,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-06,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-07,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-08,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-11,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-12,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-13,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-14,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-15,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-18,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-19,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-20,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-21,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-22,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-26,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-27,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-28,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-29,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-01,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-02,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-03,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-04,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-05,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-08,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-09,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-10,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-11,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-12,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-15,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-16,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-17,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-18,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-19,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-22,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-23,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-24,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-25,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-26,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-29,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-30,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-01,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-02,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-06,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-07,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-08,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-09,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-10,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-13,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-14,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-15,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-16,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-17,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-20,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-21,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-22,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-23,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-24,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-27,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-28,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-29,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-30,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-31,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-03,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-04,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-05,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-06,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-07,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-10,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-11,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-12,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-13,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-14,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-17,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-18,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-19,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-20,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-21,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-24,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-25,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-26,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-27,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-28,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-31,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-01,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-02,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-03,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-04,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-08,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-09,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-10,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-11,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-14,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-15,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-16,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-17,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-18,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-21,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-22,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-23,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-24,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-25,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-28,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-29,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-30,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-10-01,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-10-02,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-10-05,CHTR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
