Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CI.N,19.222203,19.243036,19.118036,19.145814,19.145814,800100.0,12760987650.5625,,,,,,,,,,,,,,,,,,
1998-01-05,CI.N,19.194425,19.395814,18.999981,19.131925,19.131925,1463401.0,12751730495.9375,,,,,,,,,,,,,,,,,,
1998-01-06,CI.N,19.131925,19.194425,18.986092,19.118036,19.118036,1242901.0,12742473341.3125,,,,,,,,,,,,,,,,,,
1998-01-07,CI.N,19.055536,19.097203,18.861092,18.861092,18.861092,1632601.0,12571215980.75,,,,,,,,,,,,,,,,,,
1998-01-08,CI.N,18.805537,19.027759,18.777759,18.944425,18.944425,1781101.0,12626758908.4999,,,,,,,,,,,,,,,,,,
1998-01-09,CI.N,18.972203,19.56248,18.88887,18.895814,18.895814,3394803.0,12594358867.3125,,,,,,,,,,,,,,,,,,
1998-01-12,CI.N,18.847203,19.118036,18.833314,19.062481,19.062481,2061902.0,12705444722.8125,,,,,,,,,,,,,,,,,,
1998-01-13,CI.N,19.062481,19.277758,19.062481,19.124981,19.124981,1475101.0,12747101918.625,,,,,,,,,,,,,,,,,,
1998-01-14,CI.N,19.222203,19.222203,18.972203,19.173592,19.173592,1269001.0,12779501959.8125,,,,,,,,,,,,,,,,,,
1998-01-15,CI.N,19.166647,19.166647,18.916648,18.95137,18.95137,1089001.0,12631387485.8125,,,,,,,,,,,,,,,,,,
1998-01-16,CI.N,19.277758,19.284703,18.944425,18.958314,18.958314,2054702.0,12636016063.125,,,,,,,,,,,,,,,,,,
1998-01-20,CI.N,19.222203,19.555536,19.111092,19.548592,19.548592,1613701.0,13029445134.6875,,,,,,,,,,,,,,,,,,
1998-01-21,CI.N,19.527758,19.611091,19.368036,19.465258,19.465258,777600.0,12973902206.9375,,,,,,,,,,,,,,,,,,
1998-01-22,CI.N,19.437481,19.666647,19.381925,19.62498,19.62498,879300.0,13080359485.125,,,,,,,,,,,,,,,,,,
1998-01-23,CI.N,19.555536,19.555536,19.347203,19.388869,19.388869,1085401.0,12922987856.5,,,,,,,,,,,,,,,,,,
1998-01-26,CI.N,19.361092,19.597203,19.361092,19.458314,19.458314,1034101.0,12978530784.25,,,,,,,,,,,,,,,,,,
1998-01-27,CI.N,19.465258,19.68748,19.388869,19.402758,19.402758,1712701.0,12932245011.125,,,,,,,,,,,,,,,,,,
1998-01-28,CI.N,19.416647,19.49998,19.361092,19.444425,19.444425,2011502.0,12960016475.0,,,,,,,,,,,,,,,,,,
1998-01-29,CI.N,19.444425,19.569425,19.249981,19.249981,19.249981,2205002.0,12830416310.2499,,,,,,,,,,,,,,,,,,
1998-01-30,CI.N,19.26387,19.26387,18.680537,18.840259,18.840259,2369702.0,12557330248.8125,,,,,,,,,,,,,,,,,,
1998-02-02,CI.N,18.944425,18.999981,18.666648,18.88887,18.88887,4732205.0,12589730290.0,,,,,,,,,,,,,,,,,,
1998-02-03,CI.N,18.916648,19.312481,18.819426,19.26387,19.26387,2358902.0,12839673464.875,,,,,,,,,,,,,,,,,,
