Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CMCSA.OQ,10.604172,10.812505,10.291672,10.708339,10.708339,674399.0,10948228650.1875,,,,,,,,,,,,,,,,,,
1998-01-05,CMCSA.OQ,10.875005,11.000006,10.291672,10.333339,10.333339,1359599.0,10546227217.9999,,,,,,,,,,,,,,,,,,
1998-01-06,CMCSA.OQ,10.291672,10.333339,10.125005,10.208338,10.208338,967499.0,10360825555.4375,,,,,,,,,,,,,,,,,,
1998-01-07,CMCSA.OQ,10.166672,10.333339,9.979172,10.187505,10.187505,1308599.0,10358838445.0,,,,,,,,,,,,,,,,,,
1998-01-08,CMCSA.OQ,10.208338,10.541672,10.166672,10.322922,10.322922,681599.0,10506682773.9062,,,,,,,,,,,,,,,,,,
1998-01-09,CMCSA.OQ,10.333339,10.375005,9.979172,10.125005,10.125005,530399.0,10179398113.75,,,,,,,,,,,,,,,,,,
1998-01-12,CMCSA.OQ,10.041672,10.083338,9.833338,10.041672,10.041672,987299.0,10248551449.75,,,,,,,,,,,,,,,,,,
1998-01-13,CMCSA.OQ,10.041672,10.333339,10.041672,10.270838,10.270838,465599.0,10501714997.8125,,,,,,,,,,,,,,,,,,
1998-01-14,CMCSA.OQ,10.291672,10.895839,10.291672,10.895839,10.895839,3279298.0,11139591644.0625,,,,,,,,,,,,,,,,,,
1998-01-15,CMCSA.OQ,10.916672,10.937505,10.500005,10.750005,10.750005,2102698.0,11087130982.125,,,,,,,,,,,,,,,,,,
1998-01-16,CMCSA.OQ,10.791672,11.125006,10.750005,11.041672,11.041672,1341299.0,11288429528.1875,,,,,,,,,,,,,,,,,,
1998-01-20,CMCSA.OQ,11.041672,11.125006,10.791672,10.937505,10.937505,1385099.0,11143565864.9375,,,,,,,,,,,,,,,,,,
1998-01-21,CMCSA.OQ,10.875005,11.000006,10.833339,10.833339,10.833339,250799.0,11095079423.875,,,,,,,,,,,,,,,,,,
1998-01-22,CMCSA.OQ,10.750005,11.062506,10.750005,10.958339,10.958339,458699.0,11241930197.5625,,,,,,,,,,,,,,,,,,
1998-01-23,CMCSA.OQ,10.666672,11.166672,10.333339,11.083339,11.083339,1722899.0,11311679193.5,,,,,,,,,,,,,,,,,,
1998-01-26,CMCSA.OQ,11.083339,11.166672,10.833339,10.854172,10.854172,499199.0,11154892867.625,,,,,,,,,,,,,,,,,,
1998-01-27,CMCSA.OQ,10.833339,10.916672,10.333339,10.583339,10.583339,863699.0,10839928765.375,,,,,,,,,,,,,,,,,,
1998-01-28,CMCSA.OQ,10.583339,10.625005,10.104172,10.104172,10.104172,902099.0,10408716336.5625,,,,,,,,,,,,,,,,,,
1998-01-29,CMCSA.OQ,10.125005,10.708339,10.125005,10.583339,10.583339,1150199.0,10878479654.25,,,,,,,,,,,,,,,,,,
1998-01-30,CMCSA.OQ,10.625005,10.708339,10.354172,10.354172,10.354172,406499.0,10930207470.8125,,,,,,,,,,,,,,,,,,
1998-02-02,CMCSA.OQ,10.416672,10.541672,10.291672,10.375005,10.375005,392699.0,10942117303.8749,,,,,,,,,,,,,,,,,,
1998-02-03,CMCSA.OQ,10.375005,10.416672,10.187505,10.250005,10.250005,463199.0,10801198616.25,,,,,,,,,,,,,,,,,,
1998-02-04,CMCSA.OQ,10.250005,10.312505,10.041672,10.125005,10.125005,535499.0,10650357115.875,,,,,,,,,,,,,,,,,,
1998-02-05,CMCSA.OQ,10.208338,10.770839,10.083338,10.104172,10.104172,2267398.0,10688061346.5625,,,,,,,,,,,,,,,,,,
1998-02-06,CMCSA.OQ,10.104172,10.666672,10.104172,10.583339,10.583339,729599.0,11229903451.25,,,,,,,,,,,,,,,,,,
1998-02-09,CMCSA.OQ,10.687505,10.812505,10.583339,10.791672,10.791672,526799.0,11319233343.625,,,,,,,,,,,,,,,,,,
1998-02-10,CMCSA.OQ,10.750005,11.208339,10.708339,11.125006,11.125006,1130099.0,11718169740.375,,,,,,,,,,,,,,,,,,
1998-02-11,CMCSA.OQ,11.166672,11.375006,11.083339,11.250006,11.250006,1033499.0,11809474364.25,,,,,,,,,,,,,,,,,,
1998-02-12,CMCSA.OQ,11.250006,11.375006,11.000006,11.333339,11.333339,855599.0,11896804947.5,,,,,,,,,,,,,,,,,,
1998-02-13,CMCSA.OQ,11.291672,11.333339,11.104172,11.104172,11.104172,221999.0,11636800218.0625,,,,,,,,,,,,,,,,,,
1998-02-17,CMCSA.OQ,11.187506,11.187506,10.729172,10.937505,10.937505,677699.0,11462139051.5625,,,,,,,,,,,,,,,,,,
1998-02-18,CMCSA.OQ,10.875005,11.041672,10.791672,10.812505,10.812505,530399.0,11450216929.6875,,,,,,,,,,,,,,,,,,
1998-02-19,CMCSA.OQ,10.854172,10.979172,10.812505,10.916672,10.916672,499799.0,11420460780.25,,,,,,,,,,,,,,,,,,
1998-02-20,CMCSA.OQ,10.875005,11.000006,10.791672,10.875005,10.875005,345599.0,11396641114.125,,,,,,,,,,,,,,,,,,
1998-02-23,CMCSA.OQ,10.833339,10.916672,10.583339,10.666672,10.666672,377099.0,11277542783.5,2138400000.0,0.5790272218603,1902155820.0,-0.02937,-0.02736,-88400000.0,1997-12-31,948200000.0,2138400000.0,,,1998-02-23,20289672224.83104,,18.42171075434086,0.054283774907515674,,
1998-02-24,CMCSA.OQ,10.708339,11.166672,10.708339,11.062506,11.062506,646799.0,11632826177.4375,2138400000.0,0.5790272218603,1902155820.0,-0.02937,-0.02736,-88400000.0,1997-12-31,948200000.0,2138400000.0,,,1998-02-23,21042610171.68492,,19.105329736412664,0.05234141539541763,,
1998-02-25,CMCSA.OQ,11.041672,11.250006,11.020839,11.166672,11.166672,725999.0,11781680657.5,2138400000.0,0.5790272218603,1902155820.0,-0.02937,-0.02736,-88400000.0,1997-12-31,948200000.0,2138400000.0,,,1998-02-23,21240750134.83104,,19.285228014191958,0.05185315928150303,,
1998-02-26,CMCSA.OQ,11.166672,11.687506,11.166672,11.604172,11.604172,954299.0,12240166219.5625,2138400000.0,0.5790272218603,1902155820.0,-0.02937,-0.02736,-88400000.0,1997-12-31,948200000.0,2138400000.0,,,1998-02-23,22072943306.08104,,20.04080561656167,0.049898193672094825,,
