Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CMS.N,43.9375,43.9375,43.625,43.875,43.875,182900.0,3776409000.0,,,,,,,,,,,,,,,,,,
1998-01-05,CMS.N,43.875,44.0,43.75,43.875,43.875,542500.0,3776409000.0,,,,,,,,,,,,,,,,,,
1998-01-06,CMS.N,43.75,44.1875,43.75,44.0,44.0,610500.0,3787168000.0,,,,,,,,,,,,,,,,,,
1998-01-07,CMS.N,44.0,44.4375,43.8125,44.4375,44.4375,708700.0,3824824500.0,,,,,,,,,,,,,,,,,,
1998-01-08,CMS.N,44.25,44.25,43.5,43.875,43.875,1538900.0,3776409000.0,,,,,,,,,,,,,,,,,,
1998-01-09,CMS.N,44.0,44.125,43.75,43.9375,43.9375,358200.0,3781788500.0,,,,,,,,,,,,,,,,,,
1998-01-12,CMS.N,43.9375,44.0625,43.5625,43.9375,43.9375,471200.0,3781788500.0,,,,,,,,,,,,,,,,,,
1998-01-13,CMS.N,44.0,44.0,43.875,44.0,44.0,344500.0,3787168000.0,,,,,,,,,,,,,,,,,,
1998-01-14,CMS.N,44.0,44.0,43.75,43.9375,43.9375,295900.0,3781788500.0,,,,,,,,,,,,,,,,,,
1998-01-15,CMS.N,43.875,43.9375,43.625,43.6875,43.6875,201600.0,3760270500.0,,,,,,,,,,,,,,,,,,
1998-01-16,CMS.N,43.6875,44.3125,43.6875,43.75,43.75,427000.0,3765650000.0,,,,,,,,,,,,,,,,,,
1998-01-20,CMS.N,43.875,44.3125,43.8125,44.0,44.0,217700.0,3787168000.0,,,,,,,,,,,,,,,,,,
1998-01-21,CMS.N,43.75,44.125,43.6875,44.125,44.125,274900.0,3797927000.0,,,,,,,,,,,,,,,,,,
1998-01-22,CMS.N,44.0,44.25,43.9375,44.1875,44.1875,324300.0,3803306500.0,,,,,,,,,,,,,,,,,,
1998-01-23,CMS.N,44.1875,44.1875,43.75,43.8125,43.8125,122400.0,3771029500.0,,,,,,,,,,,,,,,,,,
1998-01-26,CMS.N,43.75,43.9375,43.6875,43.8125,43.8125,100600.0,3771029500.0,,,,,,,,,,,,,,,,,,
1998-01-27,CMS.N,43.6875,43.8125,43.5,43.5,43.5,112100.0,3744132000.0,,,,,,,,,,,,,,,,,,
1998-01-28,CMS.N,43.75,44.1875,43.625,43.6875,43.6875,243500.0,3760270500.0,,,,,,,,,,,,,,,,,,
1998-01-29,CMS.N,43.5,43.6875,43.25,43.25,43.25,422400.0,3722614000.0,,,,,,,,,,,,,,,,,,
1998-01-30,CMS.N,43.125,43.125,42.5625,42.5625,42.5625,150700.0,3663439500.0,,,,,,,,,,,,,,,,,,
1998-02-02,CMS.N,42.8125,42.9375,42.8125,42.875,42.875,122900.0,3690337000.0,,,,,,,,,,,,,,,,,,
1998-02-03,CMS.N,42.875,42.875,42.5,42.625,42.625,196100.0,3668819000.0,,,,,,,,,,,,,,,,,,
1998-02-04,CMS.N,42.625,42.6875,42.25,42.25,42.25,148500.0,3636542000.0,,,,,,,,,,,,,,,,,,
