Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,COR.N,7.065266,7.133493,7.012201,7.012201,7.012201,257599.0,580437500.0,,,,,,,,,,,,,,,,,,
1998-01-05,COR.N,6.981878,7.057686,6.928813,6.959136,6.959136,845599.0,576045000.0,,,,,,,,,,,,,,,,,,
1998-01-06,COR.N,6.981878,6.981878,6.792359,6.830263,6.830263,387999.0,565377500.0,,,,,,,,,,,,,,,,,,
1998-01-07,COR.N,6.822682,6.89849,6.784778,6.89849,6.89849,1220799.0,571025000.0,,,,,,,,,,,,,,,,,,
1998-01-08,COR.N,6.868167,6.966716,6.853005,6.936393,6.936393,283199.0,574162500.0,,,,,,,,,,,,,,,,,,
1998-01-09,COR.N,6.921232,6.928813,6.716551,6.716551,6.716551,695999.0,555965000.0,,,,,,,,,,,,,,,,,,
1998-01-12,COR.N,6.549775,6.610421,6.511871,6.519452,6.519452,477599.0,539650000.0,,,,,,,,,,,,,,,,,,
1998-01-13,COR.N,6.527032,6.625582,6.511871,6.625582,6.625582,729599.0,548435000.0,,,,,,,,,,,,,,,,,,
1998-01-14,COR.N,6.655905,6.784778,6.633163,6.754455,6.754455,1835999.0,559102500.0,,,,,,,,,,,,,,,,,,
1998-01-15,COR.N,6.754455,6.959136,6.754455,6.921232,6.921232,1354399.0,572907500.0,,,,,,,,,,,,,,,,,,
1998-01-16,COR.N,6.951555,7.133493,6.951555,7.027362,7.027362,1012799.0,581692500.0,,,,,,,,,,,,,,,,,,
1998-01-20,COR.N,7.057686,7.057686,6.792359,6.883328,6.883328,1589599.0,569770000.0,,,,,,,,,,,,,,,,,,
1998-01-21,COR.N,6.928813,7.110751,6.928813,7.057686,7.057686,1748799.0,584202500.0,,,,,,,,,,,,,,,,,,
1998-01-22,COR.N,7.065266,7.125912,7.00462,7.034943,7.034943,1046399.0,582320000.0,,,,,,,,,,,,,,,,,,
1998-01-23,COR.N,7.065266,7.088009,6.79994,6.875747,6.875747,1183199.0,569142500.0,,,,,,,,,,,,,,,,,,
1998-01-26,COR.N,6.875747,7.050105,6.875747,6.989459,6.989459,779999.0,578555000.0,,,,,,,,,,,,,,,,,,
1998-01-27,COR.N,6.974297,6.981878,6.822682,6.822682,6.822682,1662399.0,564750000.0,193788640.0,0.619298047870315,47731460.0,0.07589,0.07474,14483000.0,1997-12-31,2279558000.0,190848560.0,,,1998-01-27,325656572.97572,,11.016798815146135,0.0907704694239472,,
1998-01-28,COR.N,6.883328,6.997039,6.883328,6.981878,6.981878,793599.0,577927500.0,193788640.0,0.619298047870315,47731460.0,0.07589,0.07474,14483000.0,1997-12-31,2279558000.0,190848560.0,,,1998-01-27,333255230.48188,,11.273857594109598,0.08870078335231796,,
1998-01-29,COR.N,7.209301,7.209301,6.860586,6.913651,6.913651,1689599.0,572280000.0,193788640.0,0.619298047870315,47731460.0,0.07589,0.07474,14483000.0,1997-12-31,2279558000.0,190848560.0,,,1998-01-27,329998656.16046,,11.163689315306486,0.08957612235131843,,
