Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,CRWD.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
