Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CSX.OQ,2.999994,2.999994,2.944439,2.986105,2.986105,6732013.0,11708975626.25,,,,,,,,,,,,,,,,,,
1998-01-05,CSX.OQ,2.986105,3.003466,2.979161,3.003466,3.003466,13676427.0,11777051065.9375,,,,,,,,,,,,,,,,,,
1998-01-06,CSX.OQ,2.989577,3.052077,2.986105,3.027772,3.027772,6966013.0,11872356681.5,,,,,,,,,,,,,,,,,,
1998-01-07,CSX.OQ,3.027772,3.052077,2.989577,3.041661,3.041661,6897613.0,11926817033.25,,,,,,,,,,,,,,,,,,
1998-01-08,CSX.OQ,3.052077,3.052077,2.99305,3.010411,3.010411,7659015.0,11804281241.8125,,,,,,,,,,,,,,,,,,
1998-01-09,CSX.OQ,3.003466,3.003466,2.878466,2.881939,2.881939,10501221.0,11300522988.1249,,,,,,,,,,,,,,,,,,
1998-01-12,CSX.OQ,2.874994,2.958327,2.874994,2.927077,2.927077,5223610.0,11477519131.3125,,,,,,,,,,,,,,,,,,
1998-01-13,CSX.OQ,2.937494,2.954855,2.927077,2.940966,2.940966,3589207.0,11572824746.875,,,,,,,,,,,,,,,,,,
1998-01-14,CSX.OQ,2.958327,2.9618,2.937494,2.958327,2.958327,3403806.0,11600054922.7499,,,,,,,,,,,,,,,,,,
1998-01-15,CSX.OQ,2.972216,2.972216,2.923605,2.937494,2.937494,8582417.0,11518364395.125,,,,,,,,,,,,,,,,,,
1998-01-16,CSX.OQ,2.944439,2.958327,2.927077,2.93055,2.93055,8906417.0,11491134219.25,,,,,,,,,,,,,,,,,,
1998-01-20,CSX.OQ,2.944439,2.972216,2.934022,2.965272,2.965272,10553421.0,11627285098.625,3699867994.71979,1.46727369337181,3929737189.48758,0.06024,1.13786,215000000.0,1997-12-26,2727000000.0,3569047761.91048,,,1998-01-20,11652739655.346216,,2.0209399332893203,0.4948192588645527,,
