Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CTAS.OQ,6.422644,6.75201,6.422644,6.587327,6.587327,1127999.0,1876760000.0,,,,,,,,,,,,,,,,,,
1998-01-05,CTAS.OQ,6.669668,6.999035,6.587327,6.968156,6.968156,1196999.0,1985260187.5,,,,,,,,,,,,,,,,,,
1998-01-06,CTAS.OQ,6.999035,6.999035,6.731424,6.731424,6.731424,542399.0,1917814125.0,,,,,,,,,,,,,,,,,,
1998-01-07,CTAS.OQ,6.793181,6.957864,6.731424,6.834351,6.834351,1930799.0,1947138500.0,,,,,,,,,,,,,,,,,,
1998-01-08,CTAS.OQ,6.834351,7.225474,6.834351,7.194596,7.194596,3223799.0,2049773812.5,,,,,,,,,,,,,,,,,,
1998-01-09,CTAS.OQ,7.122547,7.328401,7.01962,7.01962,7.01962,1210199.0,1999922375.0,,,,,,,,,,,,,,,,,,
1998-01-12,CTAS.OQ,6.957864,6.957864,6.669668,6.813766,6.813766,1529999.0,1941273625.0,,,,,,,,,,,,,,,,,,
1998-01-13,CTAS.OQ,6.875522,6.916693,6.75201,6.844644,6.844644,950999.0,1950070937.5,,,,,,,,,,,,,,,,,,
1998-01-14,CTAS.OQ,6.916693,6.916693,6.463814,6.75201,6.75201,1456799.0,1923679000.0,,,,,,,,,,,,,,,,,,
1998-01-15,CTAS.OQ,6.813766,6.834351,6.587327,6.628497,6.628497,608399.0,1888489750.0,,,,,,,,,,,,,,,,,,
1998-01-16,CTAS.OQ,6.649083,6.875522,6.628497,6.875522,6.875522,2578799.0,1958868250.0,,,,,,,,,,,,,,,,,,
1998-01-20,CTAS.OQ,6.916693,7.266645,6.731424,7.081376,7.081376,1281599.0,2017517000.0,,,,,,,,,,,,,,,,,,
1998-01-21,CTAS.OQ,6.999035,7.081376,6.834351,6.999035,6.999035,1118399.0,1994057500.0,,,,,,,,,,,,,,,,,,
1998-01-22,CTAS.OQ,6.957864,7.246059,6.834351,7.040205,7.040205,1138199.0,2005787250.0,,,,,,,,,,,,,,,,,,
