Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CTRA.N,1.551513,1.566774,1.546426,1.546426,1.546426,465599.0,431965000.0,,,,,,,,,,,,,,,,,,
1998-01-05,CTRA.N,1.546426,1.566774,1.49047,1.50573,1.50573,968399.0,420597500.0,,,,,,,,,,,,,,,,,,
1998-01-06,CTRA.N,1.49047,1.49047,1.42434,1.444687,1.444687,962399.0,403546250.0,,,,,,,,,,,,,,,,,,
1998-01-07,CTRA.N,1.444687,1.49047,1.444687,1.49047,1.49047,805199.0,416334687.5,,,,,,,,,,,,,,,,,,
1998-01-08,CTRA.N,1.475209,1.475209,1.449774,1.465035,1.465035,415199.0,409230000.0,,,,,,,,,,,,,,,,,,
1998-01-09,CTRA.N,1.459948,1.459948,1.414166,1.414166,1.414166,686399.0,395020625.0,,,,,,,,,,,,,,,,,,
1998-01-12,CTRA.N,1.403992,1.403992,1.37347,1.388731,1.388731,565199.0,387915937.5,,,,,,,,,,,,,,,,,,
1998-01-13,CTRA.N,1.393818,1.470122,1.393818,1.470122,1.470122,495599.0,410650937.5,,,,,,,,,,,,,,,,,,
1998-01-14,CTRA.N,1.470122,1.515904,1.470122,1.515904,1.515904,235199.0,423439375.0,,,,,,,,,,,,,,,,,,
1998-01-15,CTRA.N,1.50573,1.515904,1.475209,1.495557,1.495557,589199.0,417755625.0,,,,,,,,,,,,,,,,,,
1998-01-16,CTRA.N,1.495557,1.576947,1.495557,1.576947,1.576947,467999.0,440490625.0,,,,,,,,,,,,,,,,,,
1998-01-20,CTRA.N,1.587121,1.709208,1.587121,1.704121,1.704121,1001999.0,476014062.5,,,,,,,,,,,,,,,,,,
1998-01-21,CTRA.N,1.693947,1.693947,1.592208,1.597295,1.597295,1043999.0,446174375.0,,,,,,,,,,,,,,,,,,
1998-01-22,CTRA.N,1.576947,1.582034,1.470122,1.49047,1.49047,662399.0,416334687.5,,,,,,,,,,,,,,,,,,
1998-01-23,CTRA.N,1.49047,1.531165,1.49047,1.526078,1.526078,443999.0,426281250.0,,,,,,,,,,,,,,,,,,
1998-01-26,CTRA.N,1.520991,1.531165,1.510817,1.531165,1.531165,242399.0,427702187.5,,,,,,,,,,,,,,,,,,
1998-01-27,CTRA.N,1.510817,1.541339,1.510817,1.526078,1.526078,80399.0,426281250.0,293290801.38599,0.621425054979027,296011560.0846,0.03406,0.03169,9293000.0,1997-12-31,52155000.0,293290801.38599,,,1998-01-27,451736729.59078616,,2.4557715975122774,0.4072039928359016,,
1998-01-28,CTRA.N,1.541339,1.627817,1.541339,1.62273,1.62273,1532399.0,453279062.5,293290801.38599,0.621425054979027,296011560.0846,0.03406,0.03169,9293000.0,1997-12-31,52155000.0,293290801.38599,,,1998-01-27,480346838.89608294,,2.611304431641828,0.38295037065872145,,
1998-01-29,CTRA.N,1.602382,1.653251,1.602382,1.627817,1.627817,441599.0,454700000.0,293290801.38599,0.621425054979027,296011560.0846,0.03406,0.03169,9293000.0,1997-12-31,52155000.0,293290801.38599,,,1998-01-27,481852649.7022333,,2.6194904549752,0.3817536338415356,,
1998-01-30,CTRA.N,1.627817,1.637991,1.612556,1.612556,1.612556,922799.0,450437187.5,293290801.38599,0.621425054979027,296011560.0846,0.03406,0.03169,9293000.0,1997-12-31,52155000.0,293290801.38599,,,1998-01-27,477335217.28378224,,2.5949323849750856,0.3853664957862095,,
1998-02-02,CTRA.N,1.617643,1.68886,1.597295,1.607469,1.607469,923999.0,449016250.0,293290801.38599,0.621425054979027,296011560.0846,0.03406,0.03169,9293000.0,1997-12-31,52155000.0,293290801.38599,,,1998-01-27,475829406.47763187,,2.5867463616417137,0.38658602746244375,,
1998-02-03,CTRA.N,1.607469,1.648164,1.607469,1.648164,1.648164,567599.0,460383750.0,293290801.38599,0.621425054979027,296011560.0846,0.03406,0.03169,9293000.0,1997-12-31,52155000.0,293290801.38599,,,1998-01-27,487875596.9152746,,2.6522329391041777,0.3770407890106974,,
1998-02-04,CTRA.N,1.648164,1.653251,1.648164,1.653251,1.653251,364799.0,461804687.5,293290801.38599,0.621425054979027,296011560.0846,0.03406,0.03169,9293000.0,1997-12-31,52155000.0,293290801.38599,,,1998-01-27,489381407.721425,,2.660418962437549,0.37588064666467885,,
1998-02-05,CTRA.N,1.658338,1.658338,1.617643,1.62273,1.62273,1754399.0,453279062.5,293290801.38599,0.621425054979027,296011560.0846,0.03406,0.03169,9293000.0,1997-12-31,52155000.0,293290801.38599,,,1998-01-27,480346838.89608294,,2.611304431641828,0.38295037065872145,,
1998-02-06,CTRA.N,1.648164,1.648164,1.627817,1.648164,1.648164,722399.0,460383750.0,293290801.38599,0.621425054979027,296011560.0846,0.03406,0.03169,9293000.0,1997-12-31,52155000.0,293290801.38599,,,1998-01-27,487875596.9152746,,2.6522329391041777,0.3770407890106974,,
1998-02-09,CTRA.N,1.648164,1.648164,1.612556,1.612556,1.612556,2263199.0,450437187.5,293290801.38599,0.621425054979027,296011560.0846,0.03406,0.03169,9293000.0,1997-12-31,52155000.0,293290801.38599,,,1998-01-27,477335217.28378224,,2.5949323849750856,0.3853664957862095,,
