Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,CTVA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
