Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-22,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-23,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-24,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-27,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-28,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-29,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-30,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-01,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-04,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-05,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-06,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-07,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-08,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-11,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-12,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-13,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-14,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-15,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-18,CZR.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
