Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,D.N,21.21875,21.25,21.0625,21.125,21.125,509600.0,7897793176.0,,,,,,,,,,,,,,,,,,
1998-01-05,D.N,21.125,21.46875,20.84375,20.9375,20.9375,1066600.0,7827694420.0,,,,,,,,,,,,,,,,,,
1998-01-06,D.N,20.8125,20.90625,20.6875,20.78125,20.78125,1242800.0,7769278790.0,,,,,,,,,,,,,,,,,,
1998-01-07,D.N,20.4375,20.625,20.4375,20.59375,20.59375,917200.0,7699180034.0,,,,,,,,,,,,,,,,,,
1998-01-08,D.N,20.65625,20.9375,20.59375,20.90625,20.90625,847800.0,7816011294.0,,,,,,,,,,,,,,,,,,
1998-01-09,D.N,21.0,21.0625,20.25,20.25,20.25,1747200.0,7570665648.0,,,,,,,,,,,,,,,,,,
1998-01-12,D.N,20.125,20.4375,20.0625,20.375,20.375,1051000.0,7629081278.0,,,,,,,,,,,,,,,,,,
1998-01-13,D.N,20.5,20.5,20.125,20.15625,20.15625,411000.0,7535616270.0,,,,,,,,,,,,,,,,,,
1998-01-14,D.N,20.15625,20.375,19.96875,20.3125,20.3125,685600.0,7617398152.0,,,,,,,,,,,,,,,,,,
1998-01-15,D.N,20.375,20.375,20.3125,20.3125,20.3125,3582800.0,7594031900.0,,,,,,,,,,,,,,,,,,
1998-01-16,D.N,20.375,20.40625,20.3125,20.34375,20.34375,787600.0,7605715026.0,,,,,,,,,,,,,,,,,,
1998-01-20,D.N,20.3125,20.375,20.3125,20.34375,20.34375,753000.0,7605715026.0,,,,,,,,,,,,,,,,,,
1998-01-21,D.N,20.3125,20.40625,20.3125,20.40625,20.40625,862600.0,7629081278.0,,,,,,,,,,,,,,,,,,
1998-01-22,D.N,20.3125,20.3125,19.9375,20.15625,20.15625,676800.0,7535616270.0,,,,,,,,,,,,,,,,,,
1998-01-23,D.N,20.09375,20.21875,19.75,19.78125,19.78125,563000.0,7395418758.0,374199999.99998,13.4198615548456,375600000.0,0.2659,0.2659,99500000.0,1997-12-31,1635700000.0,374199999.99998,,,1998-01-23,7429837500.0,,1.4740278742188253,0.6784132223618629,,
1998-01-26,D.N,19.8125,20.09375,19.8125,20.0,20.0,482800.0,7477200640.0,374199999.99998,13.4198615548456,375600000.0,0.2659,0.2659,99500000.0,1997-12-31,1635700000.0,374199999.99998,,,1998-01-23,7512000000.0,,1.4903283404424144,0.6709930777422799,,
