Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,DAL.N,,,,,,0.0,8681952757.0,,,,,,,,,,,,,,,,,,
1998-01-05,DAL.N,,,,,,0.0,8718956285.0,,,,,,,,,,,,,,,,,,
1998-01-06,DAL.N,,,,,,0.0,8718956285.0,,,,,,,,,,,,,,,,,,
1998-01-07,DAL.N,,,,,,0.0,8917850248.0,,,,,,,,,,,,,,,,,,
1998-01-08,DAL.N,,,,,,0.0,8658825552.0,,,,,,,,,,,,,,,,,,
1998-01-09,DAL.N,,,,,,0.0,8469182471.0,,,,,,,,,,,,,,,,,,
1998-01-12,DAL.N,,,,,,0.0,8755959813.0,,,,,,,,,,,,,,,,,,
1998-01-13,DAL.N,,,,,,0.0,8742083490.0,,,,,,,,,,,,,,,,,,
1998-01-14,DAL.N,,,,,,0.0,8584818496.0,,,,,,,,,,,,,,,,,,
1998-01-15,DAL.N,,,,,,0.0,8543189527.0,,,,,,,,,,,,,,,,,,
1998-01-16,DAL.N,,,,,,0.0,8695829080.0,,,,,,,,,,,,,,,,,,
1998-01-20,DAL.N,,,,,,0.0,8922475689.0,,,,,,,,,,,,,,,,,,
1998-01-21,DAL.N,,,,,,0.0,8732832608.0,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
1998-01-22,DAL.N,,,,,,0.0,8677327316.0,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
1998-01-23,DAL.N,,,,,,0.0,8436804384.0,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
1998-01-26,DAL.N,,,,,,0.0,8311917477.0,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
1998-01-27,DAL.N,,,,,,0.0,8150027042.0,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
1998-01-28,DAL.N,,,,,,0.0,8464557030.0,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
1998-01-29,DAL.N,,,,,,0.0,8626447465.0,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
1998-01-30,DAL.N,,,,,,0.0,8446055266.0,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
1998-02-02,DAL.N,,,,,,0.0,8543028116.25,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
1998-02-03,DAL.N,,,,,,0.0,8510349866.625,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
1998-02-04,DAL.N,,,,,,0.0,8384305189.5,157185360.0,22.8599969779446,149037640.0,1.25938,1.20876,187000000.0,1997-12-31,3434000000.0,148486240.0,,,1998-01-21,,,,,,
