Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,DFS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
