Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,DGX.N,4.21875,4.28125,4.1875,4.28125,4.28125,138800.0,,,,,,,,,,,,,,,,,,,
1998-01-05,DGX.N,4.25,4.25,4.21875,4.234375,4.234375,131600.0,,,,,,,,,,,,,,,,,,,
1998-01-06,DGX.N,4.1875,4.203125,4.109375,4.15625,4.15625,82800.0,,,,,,,,,,,,,,,,,,,
1998-01-07,DGX.N,4.125,4.125,4.078125,4.09375,4.09375,110000.0,,,,,,,,,,,,,,,,,,,
1998-01-08,DGX.N,4.03125,4.09375,4.03125,4.078125,4.078125,149600.0,,,,,,,,,,,,,,,,,,,
1998-01-09,DGX.N,4.0625,4.078125,3.984375,4.0,4.0,69600.0,,,,,,,,,,,,,,,,,,,
1998-01-12,DGX.N,3.96875,4.0625,3.921875,4.015625,4.015625,102000.0,,,,,,,,,,,,,,,,,,,
1998-01-13,DGX.N,4.0,4.03125,4.0,4.015625,4.015625,17600.0,,,,,,,,,,,,,,,,,,,
1998-01-14,DGX.N,4.0,4.046875,4.0,4.03125,4.03125,47600.0,,,,,,,,,,,,,,,,,,,
1998-01-15,DGX.N,4.015625,4.078125,4.015625,4.078125,4.078125,37600.0,,,,,,,,,,,,,,,,,,,
1998-01-16,DGX.N,4.109375,4.15625,4.078125,4.109375,4.109375,92400.0,,,,,,,,,,,,,,,,,,,
1998-01-20,DGX.N,4.0625,4.078125,4.0625,4.078125,4.078125,154400.0,,,,,,,,,,,,,,,,,,,
1998-01-21,DGX.N,4.0625,4.09375,4.03125,4.0625,4.0625,164800.0,,,,,,,,,,,,,,,,,,,
1998-01-22,DGX.N,4.046875,4.09375,4.03125,4.078125,4.078125,252800.0,,,,,,,,,,,,,,,,,,,
1998-01-23,DGX.N,4.046875,4.078125,4.03125,4.03125,4.03125,75600.0,,,,,,,,,,,,,,,,,,,
1998-01-26,DGX.N,4.03125,4.0625,4.015625,4.046875,4.046875,171200.0,,,,,,,,,,,,,,,,,,,
1998-01-27,DGX.N,4.046875,4.1875,4.046875,4.171875,4.171875,216400.0,,113568000.00004,18.0304141932902,29986000.0,-0.17233,-0.33035,-37517000.0,1997-12-31,365436000.0,117948000.00004,,,1998-01-27,125097843.75,,0.2313798759849074,4.321897035095778,,
1998-01-28,DGX.N,4.171875,4.265625,4.15625,4.234375,4.234375,1226000.0,,113568000.00004,18.0304141932902,29986000.0,-0.17233,-0.33035,-37517000.0,1997-12-31,365436000.0,117948000.00004,,,1998-01-27,126971968.75,,0.23484624116820188,4.258105196939383,,
1998-01-29,DGX.N,4.203125,4.234375,4.171875,4.171875,4.171875,244000.0,,113568000.00004,18.0304141932902,29986000.0,-0.17233,-0.33035,-37517000.0,1997-12-31,365436000.0,117948000.00004,,,1998-01-27,125097843.75,,0.2313798759849074,4.321897035095778,,
