Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,DHR.N,5.285249,5.285249,5.243261,5.248509,5.248509,287199.0,3653259500.0,,,,,,,,,,,,,,,,,,
1998-01-05,DHR.N,5.238012,5.290497,5.238012,5.269503,5.269503,599999.0,3667872538.0,,,,,,,,,,,,,,,,,,
1998-01-06,DHR.N,5.238012,5.290497,5.227515,5.290497,5.290497,438399.0,3682485576.0,,,,,,,,,,,,,,,,,,
1998-01-07,DHR.N,5.227515,5.426958,5.227515,5.411213,5.411213,804799.0,3766510544.5,,,,,,,,,,,,,,,,,,
1998-01-08,DHR.N,5.411213,5.453201,5.374473,5.437455,5.437455,752799.0,3784776842.0,,,,,,,,,,,,,,,,,,
1998-01-09,DHR.N,5.416461,5.416461,5.122545,5.122545,5.122545,652799.0,3565581272.0,,,,,,,,,,,,,,,,,,
1998-01-12,DHR.N,5.101551,5.101551,4.991332,5.064811,5.064811,1290399.0,3525395417.5,,,,,,,,,,,,,,,,,,
1998-01-13,DHR.N,5.064811,5.080557,4.975587,5.059563,5.059563,936799.0,3521742158.0,,,,,,,,,,,,,,,,,,
1998-01-14,DHR.N,5.080557,5.091054,5.017575,5.03332,5.03332,884799.0,3503475860.5,,,,,,,,,,,,,,,,,,
1998-01-15,DHR.N,5.03332,5.03332,4.933599,5.007078,5.007078,851199.0,3485209563.0,,,,,,,,,,,,,,,,,,
1998-01-16,DHR.N,5.007078,5.028072,4.975587,5.001829,5.001829,720799.0,3481556303.5,,,,,,,,,,,,,,,,,,
1998-01-20,DHR.N,4.980835,4.991332,4.923102,4.986084,4.986084,599199.0,3470596525.0,,,,,,,,,,,,,,,,,,
1998-01-21,DHR.N,4.986084,5.03332,4.933599,4.970338,4.970338,743199.0,3459636746.5,,,,,,,,,,,,,,,,,,
1998-01-22,DHR.N,4.912605,4.954593,4.902107,4.954593,4.954593,720799.0,3448676968.0,,,,,,,,,,,,,,,,,,
1998-01-23,DHR.N,4.954593,5.03332,4.944096,5.001829,5.001829,1242399.0,3481556303.5,,,,,,,,,,,,,,,,,,
1998-01-26,DHR.N,5.038569,5.038569,4.938847,5.001829,5.001829,591199.0,3481556303.5,,,,,,,,,,,,,,,,,,
1998-01-27,DHR.N,4.991332,5.054314,4.991332,5.038569,5.038569,714399.0,3507129120.0,,,,,,,,,,,,,,,,,,
1998-01-28,DHR.N,5.059563,5.185527,5.059563,5.159284,5.159284,455999.0,3591154088.5,,,,,,,,,,,,,,,,,,
1998-01-29,DHR.N,5.143539,5.196024,5.091054,5.196024,5.196024,1071999.0,3616726905.0,,,,,,,,,,,,,,,,,,
1998-01-30,DHR.N,5.17503,5.31674,5.101551,5.300994,5.300994,2665599.0,3689792095.0,,,,,,,,,,,,,,,,,,
1998-02-02,DHR.N,5.306243,5.474195,5.306243,5.458449,5.458449,1012799.0,3799389880.0,,,,,,,,,,,,,,,,,,
1998-02-03,DHR.N,5.505686,5.626402,5.489941,5.56342,5.56342,827199.0,3872455070.0,,,,,,,,,,,,,,,,,,
1998-02-04,DHR.N,5.542426,5.678887,5.542426,5.652644,5.652644,563999.0,3934560481.5,,,,,,,,,,,,,,,,,,
1998-02-05,DHR.N,5.673638,5.694632,5.652644,5.673638,5.673638,571199.0,3949173519.5,,,,,,,,,,,,,,,,,,
1998-02-06,DHR.N,5.689384,5.77336,5.689384,5.762863,5.762863,749599.0,4011278931.0,,,,,,,,,,,,,,,,,,
1998-02-09,DHR.N,5.815348,5.825845,5.778609,5.794354,5.794354,760799.0,4033198488.0,,,,,,,,,,,,,,,,,,
1998-02-10,DHR.N,5.794354,5.8101,5.77336,5.778609,5.778609,870399.0,4022238709.5,,,,,,,,,,,,,,,,,,
1998-02-11,DHR.N,5.778609,5.815348,5.757614,5.789106,5.789106,304799.0,4029545228.5,,,,,,,,,,,,,,,,,,
1998-02-12,DHR.N,5.794354,5.836342,5.720875,5.836342,5.836342,758399.0,4062424564.0,,,,,,,,,,,,,,,,,,
1998-02-13,DHR.N,5.836342,5.836342,5.77336,5.799603,5.799603,155199.0,4036851747.5,,,,,,,,,,,,,,,,,,
1998-02-17,DHR.N,5.820597,5.909821,5.820597,5.862585,5.862585,633599.0,4080690861.5,,,,,,,,,,,,,,,,,,
1998-02-18,DHR.N,5.867833,5.957058,5.867833,5.91507,5.91507,231999.0,4117223456.5,,,,,,,,,,,,,,,,,,
1998-02-19,DHR.N,5.920318,5.925567,5.883579,5.883579,5.883579,430399.0,4095303899.5,,,,,,,,,,,,,,,,,,
1998-02-20,DHR.N,5.888827,5.91507,5.87833,5.899324,5.899324,299999.0,4106263678.0,,,,,,,,,,,,,,,,,,
1998-02-23,DHR.N,5.909821,5.936064,5.87833,5.936064,5.936064,908799.0,4131836494.5,,,,,,,,,,,,,,,,,,
1998-02-24,DHR.N,5.946561,6.067277,5.941312,6.046282,6.046282,1040799.0,4208554944.0,,,,,,,,,,,,,,,,,,
1998-02-25,DHR.N,6.046282,6.16175,6.046282,6.119762,6.119762,1020799.0,4259700577.0,,,,,,,,,,,,,,,,,,
1998-02-26,DHR.N,6.12501,6.12501,6.072525,6.077774,6.077774,402399.0,4230474501.0,,,,,,,,,,,,,,,,,,
1998-02-27,DHR.N,6.056779,6.056779,6.025288,6.041034,6.041034,415199.0,4204901684.5,,,,,,,,,,,,,,,,,,
1998-03-02,DHR.N,6.02004,6.114513,5.9833,6.104016,6.104016,1115199.0,4248740798.5,,,,,,,,,,,,,,,,,,
1998-03-03,DHR.N,6.12501,6.130259,6.098768,6.114513,6.114513,1239199.0,4256047317.5,,,,,,,,,,,,,,,,,,
1998-03-04,DHR.N,6.130259,6.130259,5.962306,6.004294,6.004294,881599.0,4179328868.0,,,,,,,,,,,,,,,,,,
1998-03-05,DHR.N,5.9833,5.993797,5.91507,5.941312,5.941312,342399.0,4135489754.0,,,,,,,,,,,,,,,,,,
