Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,DLTR.OQ,6.129633,6.129633,5.703707,5.768521,5.768521,706049.0,1523684260.875,,,,,,,,,,,,,,,,,,
1998-01-05,DLTR.OQ,5.759262,5.90741,5.574077,5.66667,5.66667,2427973.0,1496781328.5,,,,,,,,,,,,,,,,,,
1998-01-06,DLTR.OQ,5.814818,5.833336,5.629632,5.648151,5.648151,1808323.0,1491889886.25,,,,,,,,,,,,,,,,,,
1998-01-07,DLTR.OQ,5.648151,5.703707,5.592595,5.685188,5.685188,669599.0,1501672770.75,,,,,,,,,,,,,,,,,,
1998-01-08,DLTR.OQ,5.638892,5.722225,5.518521,5.675929,5.675929,430649.0,1499227049.625,,,,,,,,,,,,,,,,,,
1998-01-09,DLTR.OQ,5.703707,5.703707,5.305558,5.458336,5.458336,2618323.0,1441752603.1875,,,,,,,,,,,,,,,,,,
1998-01-12,DLTR.OQ,5.185188,5.629632,5.111114,5.592595,5.592595,1146824.0,1477215559.5,,,,,,,,,,,,,,,,,,
1998-01-13,DLTR.OQ,5.592595,5.796299,5.481484,5.740744,5.740744,1048274.0,1516347097.5,,,,,,,,,,,,,,,,,,
1998-01-14,DLTR.OQ,5.740744,5.814818,5.518521,5.555558,5.555558,1246724.0,1467432675.0,,,,,,,,,,,,,,,,,,
1998-01-15,DLTR.OQ,5.592595,5.592595,5.314817,5.388892,5.388892,2235598.0,1423409694.75,,,,,,,,,,,,,,,,,,
1998-01-16,DLTR.OQ,5.462966,5.462966,5.296299,5.314817,5.314817,1021949.0,1403843925.75,,,,,,,,,,,,,,,,,,
1998-01-20,DLTR.OQ,5.333336,5.481484,5.296299,5.388892,5.388892,1709098.0,1423409694.75,,,,,,,,,,,,,,,,,,
1998-01-21,DLTR.OQ,5.388892,5.462966,5.333336,5.370373,5.370373,1530899.0,1418518252.5,,,,,,,,,,,,,,,,,,
1998-01-22,DLTR.OQ,5.370373,5.40741,5.351855,5.370373,5.370373,7196170.0,1418518252.5,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,4376999559.217137,,27.177386073014063,0.036795297285523554,,
1998-01-23,DLTR.OQ,5.629632,5.722225,5.500003,5.574077,5.574077,3383097.0,1472324117.25,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,4543023840.623805,,28.208253435973255,0.03545061739713122,,
1998-01-26,DLTR.OQ,5.611114,5.777781,5.592595,5.685188,5.685188,3652422.0,1501672770.75,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,4633582317.292776,,28.77054334469257,0.034757772490399436,,
1998-01-27,DLTR.OQ,5.66667,5.870373,5.574077,5.611114,5.611114,2591998.0,1482107001.75,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,4573209999.513462,,28.395683405546357,0.03521662027703394,,
1998-01-28,DLTR.OQ,5.583336,6.277781,5.583336,6.203707,6.203707,3886647.0,1638633153.75,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5056189356.775083,,31.39456797933027,0.03185264408347283,,
1998-01-29,DLTR.OQ,6.203707,6.407411,6.074077,6.185188,6.185188,1555199.0,1633741711.5,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5041095869.816702,,31.3008504642366,0.03194801371747293,,
1998-01-30,DLTR.OQ,6.148151,6.333337,6.111114,6.305559,6.305559,1051649.0,1665536086.125,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5139201497.4784155,,31.910001660809865,0.03133813688352595,,
1998-02-02,DLTR.OQ,6.388892,6.462966,6.296299,6.370374,6.370374,1217699.0,1682656134.0,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5192027479.292092,,32.23800537271636,0.031019288831259987,,
1998-02-03,DLTR.OQ,6.407411,6.481485,6.333337,6.407411,6.407411,1457324.0,1692439018.5,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5222213638.181749,,32.42543534228946,0.03083998686351617,,
1998-02-04,DLTR.OQ,6.444448,6.481485,6.259262,6.444448,6.444448,1651049.0,1702221903.0,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5252399797.071407,,32.61286531186257,0.030662745834732313,,
1998-02-05,DLTR.OQ,6.444448,6.592596,6.361114,6.583337,6.583337,1227824.0,1738907719.875,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5365598096.664398,,33.31572896291527,0.03001585230547198,,
1998-02-06,DLTR.OQ,6.592596,6.907411,6.407411,6.444448,6.444448,1030049.0,1702221903.0,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5252399797.071407,,32.61286531186257,0.030662745834732313,,
1998-02-09,DLTR.OQ,6.388892,6.425929,6.222225,6.407411,6.407411,307799.0,1692439018.5,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5222213638.181749,,32.42543534228946,0.03083998686351617,,
1998-02-10,DLTR.OQ,6.351855,6.407411,6.342596,6.384262,6.384262,318599.0,1686324715.6875,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5203346575.726996,,32.30828718326882,0.03095181104239597,,
1998-02-11,DLTR.OQ,6.370374,6.407411,6.111114,6.222225,6.222225,1191374.0,1643524596.0,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5071282028.706359,,31.488280433809702,0.03175784724421714,,
1998-02-12,DLTR.OQ,6.240744,6.277781,6.074077,6.083336,6.083336,1730023.0,1606838779.125,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,4958083729.113368,,30.785416782757004,0.03248291251200805,,
1998-02-13,DLTR.OQ,6.055559,6.314818,6.03704,6.222225,6.222225,974699.0,1643524596.0,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5071282028.706359,,31.488280433809702,0.03175784724421714,,
1998-02-17,DLTR.OQ,6.259262,6.592596,6.259262,6.53704,6.53704,876149.0,1726679114.25,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5327864786.781998,,33.08143770548821,0.03022843229797416,,
1998-02-18,DLTR.OQ,6.592596,6.601855,6.425929,6.435188,6.435188,754649.0,1699776181.875,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5244852646.078664,,32.56600402400861,0.03070686840371237,,
1998-02-19,DLTR.OQ,6.481485,6.481485,6.351855,6.351855,6.351855,178199.0,1677764691.75,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5176933992.333711,,32.144287857622686,0.031109726382159072,,
1998-02-20,DLTR.OQ,6.351855,6.481485,6.222225,6.222225,6.222225,708074.0,1643524596.0,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5071282028.706359,,31.488280433809702,0.03175784724421714,,
1998-02-23,DLTR.OQ,6.222225,6.407411,6.222225,6.333337,6.333337,741149.0,1672873249.5,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5161841320.402435,,32.050575403143256,0.031200687894730534,,
1998-02-24,DLTR.OQ,6.259262,6.370374,6.222225,6.351855,6.351855,529199.0,1677764691.75,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5176933992.333711,,32.144287857622686,0.031109726382159072,,
1998-02-25,DLTR.OQ,6.296299,6.407411,6.28704,6.314818,6.314818,807974.0,1667981807.25,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5146747833.444054,,31.956857888049583,0.03129218784597577,,
1998-02-26,DLTR.OQ,6.333337,6.500003,6.296299,6.407411,6.407411,517724.0,1692439018.5,334026820.88002,0.197604471069149,815027105.04785,0.11113,0.17866,33700000.0,1997-12-31,356126000.0,303234795.21355,,,1998-01-22,5222213638.181749,,32.42543534228946,0.03083998686351617,,
