Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,DOC.N,17.296935,17.410731,17.183139,17.410731,17.410731,59400.0,1100789826.75,,,,,,,,,,,,,,,,,,
1998-01-05,DOC.N,17.353833,17.353833,17.211588,17.325384,17.325384,31800.0,1095393798.1875,,,,,,,,,,,,,,,,,,
1998-01-06,DOC.N,17.410731,17.524526,17.240037,17.353833,17.353833,89800.0,1097192474.375,,,,,,,,,,,,,,,,,,
1998-01-07,DOC.N,17.353833,17.524526,17.211588,17.410731,17.410731,130200.0,1100789826.75,,,,,,,,,,,,,,,,,,
1998-01-08,DOC.N,17.467628,17.467628,17.296935,17.43918,17.43918,74800.0,1102588502.93749,,,,,,,,,,,,,,,,,,
1998-01-09,DOC.N,17.382282,17.69522,17.296935,17.353833,17.353833,120800.0,1097192474.375,,,,,,,,,,,,,,,,,,
1998-01-12,DOC.N,17.296935,17.353833,17.183139,17.296935,17.296935,168400.0,1093595122.0,,,,,,,,,,,,,,,,,,
1998-01-13,DOC.N,17.410731,17.496077,17.296935,17.43918,17.43918,46800.0,1102588502.93749,,,,,,,,,,,,,,,,,,
1998-01-14,DOC.N,17.524526,17.609873,17.43918,17.609873,17.609873,48000.0,1113380560.0625,,,,,,,,,,,,,,,,,,
1998-01-15,DOC.N,17.496077,17.865913,17.496077,17.837464,17.837464,85200.0,1127769969.5625,,,,,,,,,,,,,,,,,,
1998-01-16,DOC.N,17.95126,18.2073,17.752118,17.865913,17.865913,131200.0,1129568645.75,,,,,,,,,,,,,,,,,,
1998-01-20,DOC.N,17.922811,17.95126,17.69522,17.69522,17.69522,86400.0,1118776588.625,58639999.99996,6.36177734416368,60432640.0,0.26689,0.2646,15476000.0,1997-12-31,33578000.0,57985999.99998,,,1998-01-20,1069368859.9807999,,2.781489989779926,0.35951953941028597,,
1998-01-21,DOC.N,17.69522,17.865913,17.638322,17.865913,17.865913,35800.0,1129568645.75,58639999.99996,6.36177734416368,60432640.0,0.26689,0.2646,15476000.0,1997-12-31,33578000.0,57985999.99998,,,1998-01-20,1079684288.6003199,,2.808321013684998,0.3560846481320983,,
1998-01-22,DOC.N,17.752118,17.809015,17.43918,17.581424,17.581424,57400.0,1111581883.875,58639999.99996,6.36177734416368,60432640.0,0.26689,0.2646,15476000.0,1997-12-31,33578000.0,57985999.99998,,,1998-01-20,1062491867.2793599,,2.76360253571736,0.3618465343969681,,
1998-01-23,DOC.N,17.467628,17.69522,17.467628,17.496077,17.496077,55200.0,1106185855.3125,58639999.99996,6.36177734416368,60432640.0,0.26689,0.2646,15476000.0,1997-12-31,33578000.0,57985999.99998,,,1998-01-20,1057334122.7532799,,2.750186945170436,0.3636116452941811,,
1998-01-26,DOC.N,17.43918,17.638322,17.353833,17.467628,17.467628,60200.0,1104387179.125,58639999.99996,6.36177734416368,60432640.0,0.26689,0.2646,15476000.0,1997-12-31,33578000.0,57985999.99998,,,1998-01-20,1055614874.5779201,,2.7457150816547946,0.3642038486372437,,
1998-01-27,DOC.N,17.410731,17.638322,17.410731,17.43918,17.43918,61600.0,1102588502.93749,58639999.99996,6.36177734416368,60432640.0,0.26689,0.2646,15476000.0,1997-12-31,33578000.0,57985999.99998,,,1998-01-20,1053895686.8352001,,2.74124337532793,0.3647979632163714,,
1998-01-28,DOC.N,17.552975,17.638322,17.410731,17.581424,17.581424,54600.0,1111581883.875,58639999.99996,6.36177734416368,60432640.0,0.26689,0.2646,15476000.0,1997-12-31,33578000.0,57985999.99998,,,1998-01-20,1062491867.2793599,,2.76360253571736,0.3618465343969681,,
1998-01-29,DOC.N,17.638322,17.837464,17.524526,17.780566,17.780566,72200.0,1124172617.1875,58639999.99996,6.36177734416368,60432640.0,0.26689,0.2646,15476000.0,1997-12-31,33578000.0,57985999.99998,,,1998-01-20,1074526544.07424,,2.794905423138074,0.35779386011467124,,
1998-01-30,DOC.N,17.837464,17.922811,17.666771,17.666771,17.666771,54400.0,1116977912.4375,58639999.99996,6.36177734416368,60432640.0,0.26689,0.2646,15476000.0,1997-12-31,33578000.0,57985999.99998,,,1998-01-20,1067649611.8054401,,2.777018126264285,0.3600984777673113,,
1998-02-02,DOC.N,17.69522,17.752118,17.552975,17.581424,17.581424,62200.0,1111581883.875,58639999.99996,6.36177734416368,60432640.0,0.26689,0.2646,15476000.0,1997-12-31,33578000.0,57985999.99998,,,1998-01-20,1062491867.2793599,,2.76360253571736,0.3618465343969681,,
