Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,DRI.N,7.424119,7.424119,7.01374,7.051047,7.051047,217350.0,1754882139.9375,,,,,,,,,,,,,,,,,,
1998-01-05,DRI.N,7.088355,7.27489,7.051047,7.162969,7.162969,438000.0,1782737412.0,,,,,,,,,,,,,,,,,,
1998-01-06,DRI.N,7.125662,7.200276,7.125662,7.200276,7.200276,235950.0,1792022502.6875,,,,,,,,,,,,,,,,,,
1998-01-07,DRI.N,7.200276,7.27489,7.125662,7.27489,7.27489,799500.0,1810592684.0625,,,,,,,,,,,,,,,,,,
1998-01-08,DRI.N,7.27489,7.27489,7.200276,7.27489,7.27489,543600.0,1810592684.0625,,,,,,,,,,,,,,,,,,
1998-01-09,DRI.N,7.27489,7.349504,7.200276,7.237583,7.237583,1141051.0,1801307593.375,,,,,,,,,,,,,,,,,,
1998-01-12,DRI.N,7.162969,7.237583,7.162969,7.200276,7.200276,496650.0,1801307593.375,,,,,,,,,,,,,,,,,,
1998-01-13,DRI.N,7.200276,7.461426,7.200276,7.461426,7.461426,1327651.0,1857018137.5,,,,,,,,,,,,,,,,,,
1998-01-14,DRI.N,7.53604,7.53604,7.424119,7.53604,7.53604,560550.0,1875588318.875,,,,,,,,,,,,,,,,,,
1998-01-15,DRI.N,7.498733,7.573347,7.424119,7.573347,7.573347,1149751.0,1884873409.5625,,,,,,,,,,,,,,,,,,
1998-01-16,DRI.N,7.610654,7.722576,7.573347,7.685269,7.685269,505800.0,1912728681.625,,,,,,,,,,,,,,,,,,
1998-01-20,DRI.N,7.685269,7.722576,7.53604,7.573347,7.573347,654750.0,1884873409.5625,,,,,,,,,,,,,,,,,,
1998-01-21,DRI.N,7.53604,7.610654,7.53604,7.573347,7.573347,413700.0,1884873409.5625,,,,,,,,,,,,,,,,,,
1998-01-22,DRI.N,7.53604,7.573347,7.53604,7.573347,7.573347,422700.0,1884873409.5625,,,,,,,,,,,,,,,,,,
1998-01-23,DRI.N,7.53604,7.610654,7.498733,7.53604,7.53604,192900.0,1875588318.875,,,,,,,,,,,,,,,,,,
1998-01-26,DRI.N,7.53604,7.53604,7.349504,7.386812,7.386812,445500.0,1838447956.125,,,,,,,,,,,,,,,,,,
1998-01-27,DRI.N,7.386812,7.573347,7.386812,7.53604,7.53604,504000.0,1875588318.875,,,,,,,,,,,,,,,,,,
