Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,DTE.N,29.460647,29.567003,29.354291,29.513825,29.513825,190000.0,5015708250.0,,,,,,,,,,,,,,,,,,
1998-01-05,DTE.N,29.354291,29.513825,28.55662,28.875688,28.875688,244500.0,4916118375.0,,,,,,,,,,,,,,,,,,
1998-01-06,DTE.N,28.82251,29.141578,28.769332,28.82251,28.82251,219400.0,4907064750.0,,,,,,,,,,,,,,,,,,
1998-01-07,DTE.N,28.716154,28.82251,28.503442,28.82251,28.82251,305600.0,4907064750.0,,,,,,,,,,,,,,,,,,
1998-01-08,DTE.N,28.82251,29.247934,28.82251,29.247934,29.247934,596600.0,4979493750.0,,,,,,,,,,,,,,,,,,
1998-01-09,DTE.N,29.194756,29.354291,28.982044,28.982044,28.982044,185800.0,4934225625.0,,,,,,,,,,,,,,,,,,
1998-01-12,DTE.N,28.609798,29.460647,28.609798,29.354291,29.354291,248100.0,4997601000.0,,,,,,,,,,,,,,,,,,
1998-01-13,DTE.N,29.354291,29.620181,29.141578,29.407469,29.407469,148900.0,5006654625.0,,,,,,,,,,,,,,,,,,
1998-01-14,DTE.N,29.513825,29.513825,29.141578,29.407469,29.407469,181100.0,5006654625.0,,,,,,,,,,,,,,,,,,
1998-01-15,DTE.N,29.407469,29.407469,28.875688,28.982044,28.982044,353200.0,4934225625.0,,,,,,,,,,,,,,,,,,
1998-01-16,DTE.N,29.407469,29.726537,29.194756,29.620181,29.620181,398200.0,5033815500.0,,,,,,,,,,,,,,,,,,
1998-01-20,DTE.N,29.460647,29.620181,29.301112,29.620181,29.620181,272200.0,5042869125.0,,,,,,,,,,,,,,,,,,
1998-01-21,DTE.N,29.620181,29.726537,29.407469,29.726537,29.726537,280400.0,5060976375.0,,,,,,,,,,,,,,,,,,
1998-01-22,DTE.N,29.620181,29.726537,29.460647,29.726537,29.726537,266200.0,5060976375.0,,,,,,,,,,,,,,,,,,
1998-01-23,DTE.N,29.726537,29.779715,29.567003,29.673359,29.673359,276300.0,5051922750.0,,,,,,,,,,,,,,,,,,
1998-01-26,DTE.N,29.567003,29.673359,29.301112,29.567003,29.567003,191400.0,5033815500.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4290107974.90349,,1.2044098750430912,0.8302821329526398,,
1998-01-27,DTE.N,29.620181,30.364674,29.620181,30.151961,30.151961,690600.0,5133405375.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4374984111.34463,,1.2282380997598625,0.8141743854025647,,
1998-01-28,DTE.N,30.20514,30.630564,29.886071,30.098783,30.098783,524200.0,5124351750.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4367268098.94089,,1.2260718975128835,0.8156128543754442,,
1998-01-29,DTE.N,30.098783,31.055989,29.886071,30.949632,30.949632,520600.0,5269209750.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4490724442.49856,,1.2607311741994836,0.7931905075917252,,
1998-01-30,DTE.N,31.00281,31.00281,30.524208,30.524208,30.524208,368900.0,5196780750.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4428996343.2686405,,1.2434015562236498,0.8042454145200786,,
1998-02-02,DTE.N,30.630564,30.949632,30.630564,30.896454,30.896454,231900.0,5260156125.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4483008430.09482,,1.2585649719525043,0.794555722020951,,
1998-02-03,DTE.N,30.790098,31.534591,30.790098,31.481413,31.481413,813000.0,5359746000.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4567884711.63379,,1.2823932374042084,0.7797920098394916,,
1998-02-04,DTE.N,31.375057,31.587769,31.375057,31.587769,31.587769,609900.0,5377853250.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4583316736.44127,,1.286725641898167,0.7771664505922244,,
1998-02-05,DTE.N,31.481413,31.481413,31.055989,31.109167,31.109167,427600.0,5287317000.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4513872624.80761,,1.267229821675354,0.7891228433039399,,
1998-02-06,DTE.N,31.109167,31.268701,30.896454,31.215523,31.215523,354800.0,5314477875.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4529304649.61509,,1.2715622261693122,0.7864341826294917,,
1998-02-09,DTE.N,31.215523,31.215523,31.055989,31.162345,31.162345,369500.0,5305424250.0,144694030.0,24.5489543158571,145097830.0,0.89154,0.89154,129000000.0,1997-12-31,973000000.0,144694030.0,,,1998-01-26,4521588637.2113495,,1.269396023922333,0.787776218890366,,
