Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,DVA.N,9.166666,9.166666,9.020832,9.020832,9.020832,357600.0,1209166450.62499,,,,,,,,,,,,,,,,,,
1998-01-05,DVA.N,9.041666,9.062499,8.958332,8.999999,8.999999,375000.0,1203594255.0,,,,,,,,,,,,,,,,,,
1998-01-06,DVA.N,9.020832,9.020832,8.916666,8.916666,8.916666,519300.0,1192449863.75,,,,,,,,,,,,,,,,,,
1998-01-07,DVA.N,8.916666,8.937499,8.666666,8.666666,8.666666,1050900.0,1161802787.8125,,,,,,,,,,,,,,,,,,
1998-01-08,DVA.N,8.666666,8.729166,8.416666,8.416666,8.416666,479700.0,1125583516.25,,,,,,,,,,,,,,,,,,
1998-01-09,DVA.N,8.499999,8.499999,8.124999,8.145833,8.145833,720000.0,1092150342.5,,,,,,,,,,,,,,,,,,
1998-01-12,DVA.N,8.124999,8.124999,7.895833,7.916666,7.916666,778800.0,1058717168.75,,,,,,,,,,,,,,,,,,
1998-01-13,DVA.N,7.958333,8.124999,7.937499,8.124999,8.124999,687000.0,1086578146.875,,,,,,,,,,,,,,,,,,
1998-01-14,DVA.N,8.104166,8.291666,8.062499,8.291666,8.291666,714600.0,1108866929.37499,,,,,,,,,,,,,,,,,,
1998-01-15,DVA.N,8.333333,8.333333,8.249999,8.291666,8.291666,558000.0,1108866929.37499,,,,,,,,,,,,,,,,,,
1998-01-16,DVA.N,8.333333,8.354166,8.249999,8.312499,8.312499,1779300.0,1111653027.1875,,,,,,,,,,,,,,,,,,
1998-01-20,DVA.N,8.291666,8.374999,8.291666,8.333333,8.333333,1053900.0,1114439125.0,,,,,,,,,,,,,,,,,,
1998-01-21,DVA.N,8.333333,8.333333,8.291666,8.312499,8.312499,603300.0,1111653027.1875,,,,,,,,,,,,,,,,,,
1998-01-22,DVA.N,8.291666,8.333333,8.249999,8.291666,8.291666,2528100.0,1108866929.37499,,,,,,,,,,,,,,,,,,
1998-01-23,DVA.N,8.333333,8.333333,8.270833,8.270833,8.270833,1509300.0,1108866929.37499,,,,,,,,,,,,,,,,,,
1998-01-26,DVA.N,8.270833,8.270833,7.999999,7.999999,7.999999,516600.0,1069861560.0,,,,,,,,,,,,,,,,,,
1998-01-27,DVA.N,8.020833,8.020833,7.708333,7.749999,7.749999,568800.0,1036428386.25,,,,,,,,,,,,,,,,,,
1998-01-28,DVA.N,7.791666,7.833333,7.458333,7.624999,7.624999,1712700.0,1019711799.375,,,,,,,,,,,,,,,,,,
1998-01-29,DVA.N,7.541666,8.166666,7.541666,8.062499,8.062499,1830300.0,1083792049.0625,,,,,,,,,,,,,,,,,,
1998-01-30,DVA.N,8.145833,8.291666,8.020833,8.104166,8.104166,1018800.0,1086578146.875,,,,,,,,,,,,,,,,,,
1998-02-02,DVA.N,8.083333,8.812499,8.083333,8.666666,8.666666,1223100.0,1159016690.0,,,,,,,,,,,,,,,,,,
1998-02-03,DVA.N,8.666666,9.666666,8.666666,9.583332,9.583332,2370300.0,1281604993.75,,,,,,,,,,,,,,,,,,
1998-02-04,DVA.N,9.541666,10.041666,9.499999,9.916666,9.916666,2908200.0,1326182558.75,,,,,,,,,,,,,,,,,,
1998-02-05,DVA.N,9.937499,10.020832,9.687499,9.687499,9.687499,1136400.0,1295535482.8125,,,,,,,,,,,,,,,,,,
1998-02-06,DVA.N,9.687499,9.895832,9.666666,9.708332,9.708332,560100.0,1298321580.625,,,,,,,,,,,,,,,,,,
1998-02-09,DVA.N,9.749999,9.749999,9.562499,9.708332,9.708332,388800.0,1298321580.625,,,,,,,,,,,,,,,,,,
1998-02-10,DVA.N,9.666666,9.708332,9.604166,9.645832,9.645832,154800.0,1289963287.1875,,,,,,,,,,,,,,,,,,
1998-02-11,DVA.N,9.687499,9.687499,9.645832,9.666666,9.666666,521100.0,1292749384.99999,,,,,,,,,,,,,,,,,,
1998-02-12,DVA.N,9.687499,9.687499,9.583332,9.666666,9.666666,296700.0,1292749384.99999,,,,,,,,,,,,,,,,,,
1998-02-13,DVA.N,9.666666,9.958332,9.666666,9.958332,9.958332,1934100.0,1328968656.5625,,,,,,,,,,,,,,,,,,
