Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,EA.OQ,9.46875,9.65625,9.0625,9.34375,9.34375,2404000.0,2205558138.875,,,,,,,,,,,,,,,,,,
1998-01-05,EA.OQ,9.34375,9.71875,9.0,9.09375,9.09375,4844800.0,2146546549.875,,,,,,,,,,,,,,,,,,
1998-01-06,EA.OQ,9.03125,9.59375,8.84375,9.46875,9.46875,4144800.0,2235063933.375,,,,,,,,,,,,,,,,,,
1998-01-07,EA.OQ,9.40625,9.90625,9.125,9.53125,9.53125,7208000.0,2249816830.625,,,,,,,,,,,,,,,,,,
1998-01-08,EA.OQ,9.5,9.53125,9.25,9.421875,9.421875,3440000.0,2223999260.4375,,,,,,,,,,,,,,,,,,
1998-01-09,EA.OQ,9.375,9.414063,8.84375,9.0,9.0,6702800.0,2124417204.0,,,,,,,,,,,,,,,,,,
1998-01-12,EA.OQ,8.875,9.34375,8.8125,9.1875,9.1875,5172000.0,2168675895.75,,,,,,,,,,,,,,,,,,
1998-01-13,EA.OQ,9.28125,9.84375,9.21875,9.59375,9.59375,5516000.0,2264569727.875,,,,,,,,,,,,,,,,,,
1998-01-14,EA.OQ,9.59375,9.625,9.15625,9.421875,9.421875,5172800.0,2223999260.4375,,,,,,,,,,,,,,,,,,
1998-01-15,EA.OQ,9.390625,9.8125,9.359375,9.46875,9.46875,5454800.0,2235063933.375,,,,,,,,,,,,,,,,,,
1998-01-16,EA.OQ,9.46875,9.53125,9.25,9.40625,9.40625,3168000.0,2220311036.125,,,,,,,,,,,,,,,,,,
1998-01-20,EA.OQ,9.421875,9.59375,9.40625,9.515625,9.515625,4391200.0,2246128606.3125,,,,,,,,,,,,,,,,,,
1998-01-21,EA.OQ,9.5,9.5625,9.3125,9.53125,9.53125,2956000.0,2249816830.625,,,,,,,,,,,,,,,,,,
1998-01-22,EA.OQ,9.34375,9.5,9.21875,9.34375,9.34375,4086400.0,2205558138.875,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2211348311.25,,4.215456357073543,0.23722224008368592,,
1998-01-23,EA.OQ,9.78125,9.820313,9.023438,9.125,9.125,30304000.0,2153922998.5,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2159577615.0,,4.116766743362791,0.24290907460624003,,
1998-01-26,EA.OQ,9.109375,9.3125,9.09375,9.140625,9.140625,9509200.0,2166068275.3125,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2163275521.875,,4.123816001484988,0.24249384541887892,,
1998-01-27,EA.OQ,9.09375,9.25,9.0,9.09375,9.09375,3688400.0,2154960232.875,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2152181801.25,,4.102668227118398,0.24374381369423395,,
1998-01-28,EA.OQ,9.0,9.40625,9.0,9.265625,9.265625,6404800.0,2195689721.8125,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2192858776.875,,4.1802100664625605,0.23922242760547077,,
1998-01-29,EA.OQ,9.125,9.28125,9.125,9.21875,9.21875,2302400.0,2184581679.375,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2181765056.25,,4.15906229209597,0.24043881283058335,,
1998-01-30,EA.OQ,9.25,9.296875,8.875,8.984375,8.984375,2408400.0,2129041467.1875,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2126296453.125,,4.053323420263022,0.24671112968703332,,
1998-02-02,EA.OQ,9.0625,9.15625,8.78125,8.9375,8.9375,3103600.0,2117933424.75,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2115202732.5,,4.032175645896433,0.24800506917839887,,
1998-02-03,EA.OQ,8.921875,8.96875,8.65625,8.8125,8.8125,3164800.0,2088311978.25,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2085619477.5,,3.97578158091886,0.2515228715780925,,
1998-02-04,EA.OQ,8.71875,8.96875,8.5,8.90625,8.90625,6625600.0,2110528063.125,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2107806918.75,,4.018077129652039,0.24887526240358626,,
1998-02-05,EA.OQ,9.0,9.09375,8.78125,8.875,8.875,2858000.0,2103122701.5,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2100411105.0,,4.0039786134076465,0.24975158375007775,,
1998-02-06,EA.OQ,8.8125,9.03125,8.8125,8.9375,8.9375,3814400.0,2117933424.75,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2115202732.5,,4.032175645896433,0.24800506917839887,,
1998-02-09,EA.OQ,8.875,9.09375,8.875,9.03125,9.03125,4896800.0,2140149509.625,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2137390173.75,,4.074471194629612,0.24543062209350203,,
1998-02-10,EA.OQ,9.0,9.5625,9.0,9.53125,9.53125,15524400.0,2258635295.625,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2255723193.75,,4.300047454539902,0.23255557306564617,,
1998-02-11,EA.OQ,9.53125,9.65625,9.4375,9.515625,9.515625,8050800.0,2254932614.8125,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2252025286.875,,4.292998196417705,0.23293743771764233,,
1998-02-12,EA.OQ,9.453125,9.515625,9.210938,9.515625,9.515625,3564000.0,2254932614.8125,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2252025286.875,,4.292998196417705,0.23293743771764233,,
1998-02-13,EA.OQ,9.5,9.996094,9.5,9.671875,9.671875,11266800.0,2291959422.9375,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2289004355.625,,4.3634907776396705,0.2291743127141263,,
1998-02-17,EA.OQ,9.6875,9.8125,9.5625,9.75,9.75,6141600.0,2310472827.0,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2307493890.0,,4.398737068250654,0.22733798008019898,,
1998-02-18,EA.OQ,9.765625,10.03125,9.75,9.953125,9.953125,5020400.0,2358607677.5625,244536000.0,2.21654530578194,236666040.0,0.25492,0.23972,58620000.0,1997-12-31,391245000.0,235844000.0,,,1998-01-22,2355566679.375,,4.490377423839209,0.22269842946631738,,
