Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,EVRG.OQ,42.75,42.75,42.1875,42.5625,42.5625,91900.0,2783996227.6875,,,,,,,,,,,,,,,,,,
1998-01-05,EVRG.OQ,42.625,42.8125,41.9375,42.0,42.0,101000.0,2747203326.0,,,,,,,,,,,,,,,,,,
1998-01-06,EVRG.OQ,42.0,42.0,41.125,41.375,41.375,129000.0,2706322324.125,,,,,,,,,,,,,,,,,,
1998-01-07,EVRG.OQ,41.125,41.25,40.625,41.1875,41.1875,81100.0,2694058023.5625,,,,,,,,,,,,,,,,,,
1998-01-08,EVRG.OQ,41.0,41.375,40.625,41.3125,41.3125,68500.0,2702234223.9375,,,,,,,,,,,,,,,,,,
1998-01-09,EVRG.OQ,41.25,41.4375,40.5625,40.75,40.75,62800.0,2665441322.25,,,,,,,,,,,,,,,,,,
1998-01-12,EVRG.OQ,40.375,41.0,40.25,41.0,41.0,47300.0,2681793723.0,,,,,,,,,,,,,,,,,,
1998-01-13,EVRG.OQ,41.375,41.5,40.8125,41.25,41.25,50000.0,2702234223.9375,,,,,,,,,,,,,,,,,,
1998-01-14,EVRG.OQ,41.0625,41.375,41.0,41.1875,41.1875,60200.0,2694058023.5625,,,,,,,,,,,,,,,,,,
1998-01-15,EVRG.OQ,41.0,41.0,40.5625,40.625,40.625,60900.0,2657265121.875,,,,,,,,,,,,,,,,,,
1998-01-16,EVRG.OQ,40.375,41.125,40.3125,40.75,40.75,74700.0,2665441322.25,,,,,,,,,,,,,,,,,,
1998-01-20,EVRG.OQ,40.75,40.875,40.3125,40.5625,40.5625,42600.0,2653177021.6875,,,,,,,,,,,,,,,,,,
1998-01-21,EVRG.OQ,40.3125,40.4375,40.0,40.4375,40.4375,70700.0,2645000821.3125,,,,,,,,,,,,,,,,,,
1998-01-22,EVRG.OQ,40.6875,41.0,40.5,40.6875,40.6875,32000.0,2661353222.0625,,,,,,,,,,,,,,,,,,
1998-01-23,EVRG.OQ,40.875,40.875,40.4375,40.5,40.5,28100.0,2649088921.5,,,,,,,,,,,,,,,,,,
1998-01-26,EVRG.OQ,40.75,40.9375,40.5625,40.75,40.75,52200.0,2665441322.25,,,,,,,,,,,,,,,,,,
1998-01-27,EVRG.OQ,40.75,41.0,40.5625,40.5625,40.5625,91600.0,2653177021.6875,,,,,,,,,,,,,,,,,,
1998-01-28,EVRG.OQ,40.4375,40.625,40.25,40.25,40.25,35200.0,2632736520.75,,,,,,,,,,,,,,,,,,
1998-01-29,EVRG.OQ,40.375,41.0,40.375,40.5625,40.5625,383500.0,2653177021.6875,,,,,,,,,,,,,,,,,,
1998-01-30,EVRG.OQ,40.5625,40.8125,40.5625,40.75,40.75,118400.0,2665441322.25,,,,,,,,,,,,,,,,,,
1998-02-02,EVRG.OQ,40.875,41.4375,40.875,41.125,41.125,89900.0,2689969923.375,,,,,,,,,,,,,,,,,,
1998-02-03,EVRG.OQ,41.1875,41.25,40.9375,41.125,41.125,70100.0,2689969923.375,,,,,,,,,,,,,,,,,,
1998-02-04,EVRG.OQ,41.0625,41.25,41.0,41.125,41.125,27300.0,2689969923.375,,,,,,,,,,,,,,,,,,
1998-02-05,EVRG.OQ,41.125,41.4375,41.0625,41.4375,41.4375,51000.0,2710410424.3125,,,,,,,,,,,,,,,,,,
1998-02-06,EVRG.OQ,41.4375,42.1875,41.375,42.0,42.0,299000.0,2747203326.0,,,,,,,,,,,,,,,,,,
1998-02-09,EVRG.OQ,42.0625,42.125,42.0,42.0,42.0,59500.0,2747203326.0,,,,,,,,,,,,,,,,,,
1998-02-10,EVRG.OQ,41.8125,42.25,41.25,41.8125,41.8125,87200.0,2734939025.4375,,,,,,,,,,,,,,,,,,
1998-02-11,EVRG.OQ,41.5625,41.75,41.3125,41.4375,41.4375,91200.0,2710410424.3125,,,,,,,,,,,,,,,,,,
1998-02-12,EVRG.OQ,41.375,41.5625,41.0625,41.125,41.125,108900.0,2689969923.375,,,,,,,,,,,,,,,,,,
1998-02-13,EVRG.OQ,41.125,41.1875,40.9375,41.0,41.0,78100.0,2681793723.0,,,,,,,,,,,,,,,,,,
1998-02-17,EVRG.OQ,41.0,41.125,40.9375,41.0,41.0,300900.0,2681793723.0,,,,,,,,,,,,,,,,,,
1998-02-18,EVRG.OQ,41.0,41.0625,40.875,40.9375,40.9375,466400.0,2677705622.8125,,,,,,,,,,,,,,,,,,
1998-02-19,EVRG.OQ,41.0625,41.0625,40.6875,41.0,41.0,556600.0,2681793723.0,,,,,,,,,,,,,,,,,,
1998-02-20,EVRG.OQ,41.0625,41.125,40.75,41.0,41.0,85200.0,2681793723.0,,,,,,,,,,,,,,,,,,
1998-02-23,EVRG.OQ,41.125,41.375,41.125,41.1875,41.1875,40500.0,2694058023.5625,,,,,,,,,,,,,,,,,,
1998-02-24,EVRG.OQ,41.125,41.125,40.8125,40.875,40.875,459200.0,2673617522.625,,,,,,,,,,,,,,,,,,
1998-02-25,EVRG.OQ,40.8125,41.0625,40.8125,40.9375,40.9375,166800.0,2677705622.8125,,,,,,,,,,,,,,,,,,
