Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,EXC.OQ,8.712787,8.801921,8.690504,8.735071,8.735071,420000.0,5428979500.0,,,,,,,,,,,,,,,,,,
1998-01-05,EXC.OQ,8.735071,8.801921,8.556804,8.623654,8.623654,670400.0,5359732312.5,,,,,,,,,,,,,,,,,,
1998-01-06,EXC.OQ,8.556804,8.690504,8.489954,8.601371,8.601371,605800.0,5345882875.0,,,,,,,,,,,,,,,,,,
1998-01-07,EXC.OQ,8.512237,8.579087,8.400821,8.445387,8.445387,546200.0,5248936812.5,,,,,,,,,,,,,,,,,,
1998-01-08,EXC.OQ,8.445387,8.601371,8.333971,8.579087,8.579087,773000.0,5332033437.5,,,,,,,,,,,,,,,,,,
1998-01-09,EXC.OQ,8.556804,8.779637,8.512237,8.512237,8.512237,1299000.0,5290485125.0,,,,,,,,,,,,,,,,,,
1998-01-12,EXC.OQ,8.378537,8.512237,8.378537,8.512237,8.512237,980200.0,5290485125.0,,,,,,,,,,,,,,,,,,
1998-01-13,EXC.OQ,8.556804,8.556804,8.356254,8.423104,8.423104,785600.0,5235087375.0,,,,,,,,,,,,,,,,,,
1998-01-14,EXC.OQ,8.489954,8.512237,8.356254,8.489954,8.489954,386800.0,5276635687.5,,,,,,,,,,,,,,,,,,
1998-01-15,EXC.OQ,8.467671,8.467671,8.222554,8.267121,8.267121,473400.0,5138141312.5,,,,,,,,,,,,,,,,,,
1998-01-16,EXC.OQ,8.267121,8.333971,8.200271,8.267121,8.267121,981000.0,5138141312.5,,,,,,,,,,,,,,,,,,
