Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,EXPD.N,4.8125,4.921875,4.78125,4.875,4.875,0.0,957269820.0,,,,,,,,,,,,,,,,,,
1998-01-05,EXPD.N,4.90625,4.921875,4.6875,4.796875,4.796875,0.0,941928957.5,,,,,,,,,,,,,,,,,,
1998-01-06,EXPD.N,4.71875,4.828125,4.71875,4.78125,4.78125,0.0,938860785.0,,,,,,,,,,,,,,,,,,
1998-01-07,EXPD.N,4.796875,4.796875,4.53125,4.671875,4.671875,0.0,917383577.5,,,,,,,,,,,,,,,,,,
1998-01-08,EXPD.N,4.6875,4.6875,4.546875,4.578125,4.578125,0.0,898974542.5,,,,,,,,,,,,,,,,,,
1998-01-09,EXPD.N,4.65625,4.65625,4.46875,4.523438,4.523438,0.0,888235938.75,,,,,,,,,,,,,,,,,,
1998-01-12,EXPD.N,4.5,4.5,4.328125,4.375,4.375,0.0,859088300.0,,,,,,,,,,,,,,,,,,
1998-01-13,EXPD.N,4.328125,4.40625,4.328125,4.328125,4.328125,0.0,849883782.5,,,,,,,,,,,,,,,,,,
1998-01-14,EXPD.N,4.390625,4.390625,4.25,4.304688,4.304688,0.0,845281523.75,,,,,,,,,,,,,,,,,,
1998-01-15,EXPD.N,4.265625,4.328125,4.25,4.25,4.25,0.0,834542920.0,,,,,,,,,,,,,,,,,,
1998-01-16,EXPD.N,4.296875,4.390625,4.203125,4.375,4.375,0.0,859088300.0,,,,,,,,,,,,,,,,,,
1998-01-20,EXPD.N,4.390625,4.546875,4.359375,4.5,4.5,0.0,883633680.0,,,,,,,,,,,,,,,,,,
1998-01-21,EXPD.N,4.328125,4.484375,4.328125,4.484375,4.484375,0.0,880565507.5,,,,,,,,,,,,,,,,,,
1998-01-22,EXPD.N,4.375,4.484375,4.375,4.453125,4.453125,0.0,874429162.5,,,,,,,,,,,,,,,,,,
1998-01-23,EXPD.N,4.375,4.484375,4.09375,4.210938,4.210938,0.0,826872488.75,,,,,,,,,,,,,,,,,,
1998-01-26,EXPD.N,4.140625,4.265625,4.0625,4.0625,4.0625,0.0,797724850.0,,,,,,,,,,,,,,,,,,
1998-01-27,EXPD.N,4.09375,4.09375,3.742188,3.84375,3.84375,0.0,754770435.0,,,,,,,,,,,,,,,,,,
1998-01-28,EXPD.N,3.8125,4.0,3.75,3.890625,3.890625,0.0,763974952.5,,,,,,,,,,,,,,,,,,
1998-01-29,EXPD.N,3.9375,3.953125,3.859375,3.953125,3.953125,0.0,776247642.5,,,,,,,,,,,,,,,,,,
1998-01-30,EXPD.N,3.953125,3.953125,3.8125,3.890625,3.890625,0.0,763974952.5,,,,,,,,,,,,,,,,,,
1998-02-02,EXPD.N,4.03125,4.1875,3.921875,4.03125,4.03125,0.0,791588505.0,,,,,,,,,,,,,,,,,,
1998-02-03,EXPD.N,4.140625,4.140625,4.0625,4.125,4.125,0.0,809997540.0,,,,,,,,,,,,,,,,,,
1998-02-04,EXPD.N,4.125,4.359375,4.09375,4.359375,4.359375,0.0,856020127.5,,,,,,,,,,,,,,,,,,
1998-02-05,EXPD.N,4.375,4.375,4.21875,4.234375,4.234375,0.0,831474747.5,,,,,,,,,,,,,,,,,,
1998-02-06,EXPD.N,4.21875,4.3125,4.21875,4.28125,4.28125,0.0,840679265.0,,,,,,,,,,,,,,,,,,
1998-02-09,EXPD.N,4.28125,4.59375,4.28125,4.5625,4.5625,0.0,895906370.0,,,,,,,,,,,,,,,,,,
1998-02-10,EXPD.N,4.8125,4.953125,4.6875,4.921875,4.921875,0.0,966474337.5,,,,,,,,,,,,,,,,,,
1998-02-11,EXPD.N,4.890625,5.25,4.8125,5.234375,5.234375,0.0,1027837787.5,,,,,,,,,,,,,,,,,,
1998-02-12,EXPD.N,5.109375,5.25,5.101563,5.242188,5.242188,0.0,1029371873.75,,,,,,,,,,,,,,,,,,
1998-02-13,EXPD.N,5.140625,5.296875,5.125,5.203125,5.203125,0.0,1021701442.5,,,,,,,,,,,,,,,,,,
1998-02-17,EXPD.N,5.265625,5.375,5.203125,5.359375,5.359375,0.0,1052383167.5,,,,,,,,,,,,,,,,,,
1998-02-18,EXPD.N,5.3125,5.625,5.15625,5.265625,5.265625,0.0,1033974132.5,,,,,,,,,,,,,,,,,,
1998-02-19,EXPD.N,5.21875,5.3125,4.96875,5.015625,5.015625,0.0,984883372.5,,,,,,,,,,,,,,,,,,
1998-02-20,EXPD.N,4.984375,5.25,4.875,5.25,5.25,0.0,1030905960.0,,,,,,,,,,,,,,,,,,
1998-02-23,EXPD.N,5.25,5.25,5.125,5.226563,5.226563,0.0,1026303701.25,,,,,,,,,,,,,,,,,,
1998-02-24,EXPD.N,5.226563,5.5,5.15625,5.34375,5.34375,0.0,1049314995.0,,,,,,,,,,,,,,,,,,
1998-02-25,EXPD.N,5.34375,5.5625,5.28125,5.40625,5.40625,0.0,1061587685.0,,,,,,,,,,,,,,,,,,
1998-02-26,EXPD.N,5.375,5.46875,5.09375,5.25,5.25,0.0,1030905960.0,,,,,,,,,,,,,,,,,,
1998-02-27,EXPD.N,5.078125,5.25,5.0625,5.0625,5.0625,0.0,994087890.0,,,,,,,,,,,,,,,,,,
1998-03-02,EXPD.N,5.09375,5.125,4.96875,5.046875,5.046875,0.0,991019717.5,,,,,,,,,,,,,,,,,,
1998-03-03,EXPD.N,5.03125,5.09375,5.0,5.09375,5.09375,0.0,1000224235.0,,,,,,,,,,,,,,,,,,
1998-03-04,EXPD.N,5.0,5.09375,5.0,5.070313,5.070313,0.0,995621976.25,,,,,,,,,,,,,,,,,,
1998-03-05,EXPD.N,5.0,5.078125,5.0,5.015625,5.015625,0.0,984883372.5,,,,,,,,,,,,,,,,,,
1998-03-06,EXPD.N,5.078125,5.125,5.0625,5.125,5.125,0.0,1006360580.0,,,,,,,,,,,,,,,,,,
1998-03-09,EXPD.N,5.101563,5.1875,5.03125,5.03125,5.03125,0.0,989083133.5,,,,,,,,,,,,,,,,,,
1998-03-10,EXPD.N,5.046875,5.15625,5.046875,5.0625,5.0625,0.0,995226507.0,,,,,,,,,,,,,,,,,,
1998-03-11,EXPD.N,5.03125,5.3125,5.03125,5.125,5.125,0.0,1007513254.0,,,,,,,,,,,,,,,,,,
1998-03-12,EXPD.N,5.125,5.125,4.96875,5.03125,5.03125,0.0,989083133.5,,,,,,,,,,,,,,,,,,
1998-03-13,EXPD.N,5.03125,5.15625,4.984375,5.03125,5.03125,0.0,989083133.5,,,,,,,,,,,,,,,,,,
1998-03-16,EXPD.N,5.0625,5.1875,5.0625,5.171875,5.171875,0.0,1016728314.25,,,,,,,,,,,,,,,,,,
1998-03-17,EXPD.N,5.0625,5.171875,5.0625,5.09375,5.09375,0.0,1001369880.5,,,,,,,,,,,,,,,,,,
1998-03-18,EXPD.N,5.171875,5.4375,5.09375,5.4375,5.4375,0.0,1068946989.0,,,,,,,,,,,,,,,,,,
1998-03-19,EXPD.N,5.375,5.40625,5.328125,5.375,5.375,0.0,1056660242.0,,,,,,,,,,,,,,,,,,
