Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,FANG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
