Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,FCX.N,7.823017,7.947192,7.823017,7.916148,7.916148,416400.0,1837244607.1875,,,,,,,,,,,,,,,,,,
1998-01-05,FCX.N,7.916148,7.947192,7.791973,7.823017,7.823017,749600.0,1815629964.75,,,,,,,,,,,,,,,,,,
1998-01-06,FCX.N,7.791973,7.823017,7.698842,7.698842,7.698842,615000.0,1786810441.5,,,,,,,,,,,,,,,,,,
1998-01-07,FCX.N,7.667799,7.823017,7.667799,7.791973,7.791973,868000.0,1808425083.9375,,,,,,,,,,,,,,,,,,
1998-01-08,FCX.N,7.76093,7.76093,7.51258,7.543624,7.543624,792000.0,1750786037.4375,,,,,,,,,,,,,,,,,,
1998-01-09,FCX.N,7.543624,7.543624,7.140055,7.140055,7.140055,2039400.0,1657122586.875,,,,,,,,,,,,,,,,,,
1998-01-12,FCX.N,7.077968,7.077968,6.860662,6.953793,6.953793,1040000.0,1613893302.0,,,,,,,,,,,,,,,,,,
1998-01-13,FCX.N,6.953793,7.295274,6.953793,7.233186,7.233186,838400.0,1678737229.3125,,,,,,,,,,,,,,,,,,
1998-01-14,FCX.N,7.26423,7.26423,7.109012,7.140055,7.140055,1309600.0,1657122586.875,,,,,,,,,,,,,,,,,,
1998-01-15,FCX.N,7.140055,7.140055,7.01588,7.046924,7.046924,812800.0,1635507944.4375,,,,,,,,,,,,,,,,,,
1998-01-16,FCX.N,7.077968,7.171099,7.01588,7.046924,7.046924,1591600.0,1635507944.4375,,,,,,,,,,,,,,,,,,
1998-01-20,FCX.N,7.046924,7.109012,6.953793,7.046924,7.046924,1013800.0,1635507944.4375,,,,,,,,,,,,,,,,,,
1998-01-21,FCX.N,7.046924,7.046924,6.953793,6.953793,6.953793,891000.0,1613893302.0,,,,,,,,,,,,,,,,,,
