Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,FE.N,28.75,28.9375,28.5,28.875,28.875,282200.0,,,,,,,,,,,,,,,,,,,
1998-01-05,FE.N,28.6875,28.875,28.1875,28.375,28.375,645300.0,,,,,,,,,,,,,,,,,,,
1998-01-06,FE.N,28.25,28.625,28.25,28.5625,28.5625,980900.0,,,,,,,,,,,,,,,,,,,
1998-01-07,FE.N,28.4375,28.4375,28.125,28.4375,28.4375,655700.0,,,,,,,,,,,,,,,,,,,
1998-01-08,FE.N,28.3125,28.4375,28.125,28.375,28.375,407600.0,,,,,,,,,,,,,,,,,,,
1998-01-09,FE.N,28.3125,28.5625,28.125,28.3125,28.3125,341000.0,,,,,,,,,,,,,,,,,,,
1998-01-12,FE.N,27.875,28.75,27.875,28.75,28.75,620700.0,,,,,,,,,,,,,,,,,,,
1998-01-13,FE.N,28.75,28.75,28.375,28.4375,28.4375,525900.0,,,,,,,,,,,,,,,,,,,
1998-01-14,FE.N,28.4375,28.4375,28.125,28.4375,28.4375,314000.0,,,,,,,,,,,,,,,,,,,
1998-01-15,FE.N,28.3125,28.375,28.25,28.25,28.25,611800.0,,,,,,,,,,,,,,,,,,,
1998-01-16,FE.N,28.5,28.5,28.25,28.375,28.375,423100.0,,,,,,,,,,,,,,,,,,,
1998-01-20,FE.N,28.375,28.5,28.0,28.5,28.5,272700.0,,,,,,,,,,,,,,,,,,,
1998-01-21,FE.N,28.5,28.75,28.25,28.5,28.5,427800.0,,,,,,,,,,,,,,,,,,,
1998-01-22,FE.N,28.4375,28.5,28.25,28.5,28.5,373800.0,,,,,,,,,,,,,,,,,,,
