Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-14,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-15,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-16,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-17,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-20,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-21,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-22,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-23,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-24,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-27,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-28,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-29,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-30,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-01,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-04,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-05,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-06,FFIV.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
