Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,FI.N,3.624996,3.685182,3.555552,3.648145,3.648145,4205253.0,2581989414.25,,,,,,,,,,,,,,,,,,
1998-01-05,FI.N,3.648145,3.657404,3.592589,3.657404,3.657404,2481302.0,2588542686.875,,,,,,,,,,,,,,,,,,
1998-01-06,FI.N,3.629626,3.666663,3.587959,3.587959,3.587959,3173852.0,2539393142.1875,,,,,,,,,,,,,,,,,,
1998-01-07,FI.N,3.611108,3.620367,3.499997,3.592589,3.592589,4306503.0,2542669778.5,,,,,,,,,,,,,,,,,,
1998-01-08,FI.N,3.574071,3.611108,3.555552,3.5787,3.5787,2034451.0,2532839869.5625,,,,,,,,,,,,,,,,,,
1998-01-09,FI.N,3.574071,3.574071,3.444441,3.444441,3.444441,5676755.0,2437817416.5,,,,,,,,,,,,,,,,,,
1998-01-12,FI.N,3.416663,3.574071,3.33333,3.532404,3.532404,10497609.0,2500073506.4375,,,,,,,,,,,,,,,,,,
1998-01-13,FI.N,3.518515,3.574071,3.518515,3.574071,3.574071,3646353.0,2529563233.25,,,,,,,,,,,,,,,,,,
1998-01-14,FI.N,3.574071,3.5787,3.546293,3.555552,3.555552,1657801.0,2516456688.0,,,,,,,,,,,,,,,,,,
1998-01-15,FI.N,3.58333,3.759256,3.546293,3.740737,3.740737,6439505.0,2647522140.5,,,,,,,,,,,,,,,,,,
1998-01-16,FI.N,3.740737,3.888885,3.719904,3.777774,3.777774,8527957.0,2673735231.0,,,,,,,,,,,,,,,,,,
1998-01-20,FI.N,3.749996,3.907404,3.740737,3.861107,3.861107,7013256.0,2732714684.625,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2810844659.7484856,,3.6539829572098754,0.273673963921163,,
1998-01-21,FI.N,3.787033,3.851848,3.749996,3.851848,3.851848,3681453.0,2726161412.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2804104206.633715,,3.6452206441735346,0.27433181626423214,,
1998-01-22,FI.N,3.796293,3.925922,3.787033,3.861107,3.861107,5208304.0,2732714684.625,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2810844659.7484856,,3.6539829572098754,0.273673963921163,,
1998-01-23,FI.N,3.907404,3.907404,3.842589,3.879626,3.879626,2732402.0,2745821229.875,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2824326293.967346,,3.6715085296388628,0.2723676090978228,,
1998-01-26,FI.N,3.851848,3.888885,3.777774,3.782404,3.782404,3693603.0,2677011867.3125,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2753549716.2889585,,3.5795018768665208,0.27936848041979384,,
1998-01-27,FI.N,3.768515,3.83333,3.768515,3.83333,3.83333,3661203.0,2713054866.75,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2790623300.404175,,3.6276960181008535,0.27565705478363456,,
1998-01-28,FI.N,3.851848,3.944441,3.796293,3.916663,3.916663,4063503.0,2772034320.375,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2851288834.415747,,3.7065587281405312,0.26979202903434635,,
1998-01-29,FI.N,3.879626,3.935181,3.870367,3.888885,3.888885,2257202.0,2752374502.5,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2831066747.0821166,,3.6802708426752035,0.2717191322998109,,
1998-01-30,FI.N,3.888885,3.907404,3.842589,3.842589,3.842589,1024650.0,2788108402.5,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2797363753.5189447,,3.636458331137194,0.27499283889423254,,
1998-02-02,FI.N,3.888885,3.981478,3.879626,3.902774,3.902774,4796554.0,2831777570.25,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2841177790.748932,,3.6934147854078674,0.27075215162695815,,
1998-02-03,FI.N,3.888885,3.999996,3.870367,3.925922,3.925922,6295055.0,2848573404.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2858029287.5305176,,3.715321041176872,0.2691557442592466,,
1998-02-04,FI.N,3.888885,3.972218,3.888885,3.916663,3.916663,1713151.0,2841855070.5,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2851288834.415747,,3.7065587281405312,0.26979202903434635,,
1998-02-05,FI.N,3.925922,3.981478,3.907404,3.935181,3.935181,3434403.0,2855291737.5,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2864769740.645288,,3.724083354213213,0.268522453684786,,
1998-02-06,FI.N,3.94907,3.94907,3.916663,3.930552,3.930552,912600.0,2851932570.75,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2861399878.082563,,3.7197026708731955,0.26883869182083076,,
1998-02-09,FI.N,3.944441,3.944441,3.916663,3.935181,3.935181,4005453.0,2855291737.5,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2864769740.645288,,3.724083354213213,0.268522453684786,,
1998-02-10,FI.N,3.935181,4.009255,3.925922,3.999996,3.999996,4388853.0,2902320072.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2911954368.4273195,,3.785421438180209,0.26417137862481616,,
1998-02-11,FI.N,4.009255,4.07407,3.981478,4.055552,4.055552,5402704.0,2942630073.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2952398543.094581,,3.8379972091108647,0.2605525604933065,,
1998-02-12,FI.N,4.055552,4.083329,4.009255,4.0787,4.0787,6160055.0,2959425906.74999,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2969250039.8761673,,3.8599034648798702,0.25907383671604917,,
1998-02-13,FI.N,4.055552,4.083329,4.027774,4.027774,4.027774,2359802.0,2922475072.49999,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2932176455.7609506,,3.811709323645537,0.26234949076431546,,
1998-02-17,FI.N,4.046292,4.083329,3.981478,3.981478,3.981478,8005507.0,2888883405.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2898473462.197779,,3.767896812107528,0.2654000493821013,,
1998-02-18,FI.N,3.999996,4.0787,3.962959,4.0787,4.0787,2583902.0,2959425906.74999,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2969250039.8761673,,3.8599034648798702,0.25907383671604917,,
1998-02-19,FI.N,4.037033,4.120366,4.037033,4.092589,4.092589,8946458.0,2969503407.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2979361083.5429826,,3.873047407612534,0.25819461905745966,,
1998-02-20,FI.N,4.101848,4.120366,3.907404,3.944441,3.944441,5107054.0,2862010071.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2871510921.749378,,3.732846613605859,0.26789206830923573,,
1998-02-23,FI.N,3.972218,3.999996,3.925922,3.999996,3.999996,3052352.0,2902320072.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2911954368.4273195,,3.785421438180209,0.26417137862481616,,
1998-02-24,FI.N,4.009255,4.037033,3.962959,3.981478,3.981478,6183005.0,2888883405.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2898473462.197779,,3.767896812107528,0.2654000493821013,,
1998-02-25,FI.N,3.981478,4.138885,3.981478,4.129626,4.129626,3798903.0,2996376740.99999,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3006323623.9913836,,3.908097606114202,0.2558789725301395,,
1998-02-26,FI.N,4.148144,4.175922,4.083329,4.157403,4.157403,6323405.0,3016531741.5,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3026544983.335695,,3.9343845452232244,0.25416935952895353,,
1998-02-27,FI.N,4.129626,4.166663,4.055552,4.055552,4.055552,8203957.0,2942630073.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,2952398543.094581,,3.8379972091108647,0.2605525604933065,,
1998-03-02,FI.N,4.120366,4.222218,4.083329,4.157403,4.157403,6507005.0,3016531741.5,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3026544983.335695,,3.9343845452232244,0.25416935952895353,,
1998-03-03,FI.N,4.138885,4.296292,4.138885,4.259255,4.259255,2718902.0,3090433410.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3100692151.5661273,,4.030772827691889,0.2480913816650447,,
1998-03-04,FI.N,4.222218,4.379625,4.222218,4.374996,4.374996,3721953.0,3174412578.75,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3184950363.463376,,4.140305052893218,0.24152809689740287,,
1998-03-05,FI.N,4.314811,4.388885,4.268514,4.314811,4.314811,5721305.0,3130743411.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3141136326.233389,,4.083348598622545,0.2448970436512167,,
1998-03-06,FI.N,4.333329,4.495366,4.305551,4.495366,4.495366,5120554.0,3261750914.25,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3272578437.9233494,,4.2542179614345645,0.23506082882100146,,
1998-03-09,FI.N,4.499996,4.499996,4.2037,4.240737,4.240737,6000755.0,3076996743.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3087211245.336587,,4.013248201619208,0.2491747207652231,,
1998-03-10,FI.N,4.314811,4.333329,4.222218,4.249996,4.249996,4903204.0,3083715076.49999,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3093951698.4513574,,4.022010514655549,0.24863187113911397,,
1998-03-11,FI.N,4.240737,4.370366,4.212959,4.296292,4.296292,9439208.0,3117306744.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3127654692.0145288,,4.065823026193558,0.2459526628575874,,
1998-03-12,FI.N,4.296292,4.361107,4.287033,4.351848,4.351848,1710451.0,3157616745.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3168098866.681791,,4.118398797124215,0.24281281373194785,,
1998-03-13,FI.N,4.370366,4.407403,4.333329,4.351848,4.351848,1132651.0,3157616745.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3168098866.681791,,4.118398797124215,0.24281281373194785,,
1998-03-16,FI.N,4.333329,4.361107,4.287033,4.32407,4.32407,1335151.0,3137461744.5,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3147876779.3481593,,4.092110911658886,0.24437265303608635,,
1998-03-17,FI.N,4.342588,4.361107,4.287033,4.296292,4.296292,1439101.0,3117306744.0,725518156.08218,1.05668445781375,727989320.09615,0.03407,0.22499,24184000.0,1997-12-31,269472000.0,709746055.51509,,,1998-01-20,3127654692.0145288,,4.065823026193558,0.2459526628575874,,
