Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,FICO.N,9.833225,9.833225,9.66656,9.814707,9.814707,67163.0,448292999.8125,,,,,,,,,,,,,,,,,,
1998-01-05,FICO.N,9.814707,9.814707,9.388786,9.592487,9.592487,109688.0,437317841.625,,,,,,,,,,,,,,,,,,
1998-01-06,FICO.N,9.592487,9.592487,9.296194,9.296194,9.296194,37800.0,423809954.624999,,,,,,,,,,,,,,,,,,
1998-01-07,FICO.N,9.296194,9.296194,9.111011,9.185084,9.185084,22275.0,418744496.999999,,,,,,,,,,,,,,,,,,
1998-01-08,FICO.N,9.166566,9.185084,9.092492,9.166566,9.166566,32400.0,417900254.0625,,,,,,,,,,,,,,,,,,
1998-01-09,FICO.N,9.185084,9.259157,9.166566,9.222121,9.222121,39487.0,420432982.875,,,,,,,,,,,,,,,,,,
1998-01-12,FICO.N,9.185084,9.370267,9.129529,9.259157,9.259157,115763.0,422121468.75,,,,,,,,,,,,,,,,,,
1998-01-13,FICO.N,9.296194,9.333231,8.444351,8.907309,8.907309,392854.0,406080852.9375,,,,,,,,,,,,,,,,,,
1998-01-14,FICO.N,8.907309,8.999901,8.870273,8.981383,8.981383,85388.0,409457824.6875,,,,,,,,,,,,,,,,,,
1998-01-15,FICO.N,8.999901,9.166566,8.962864,9.166566,9.166566,161664.0,417900254.0625,,,,,,,,,,,,,,,,,,
1998-01-16,FICO.N,9.185084,9.240639,9.129529,9.166566,9.166566,245702.0,417900254.0625,,,,,,,,,,,,,,,,,,
1998-01-20,FICO.N,9.240639,9.240639,8.944346,9.036938,9.036938,211952.0,411990553.5,,,,,,,,,,,,,,,,,,
1998-01-21,FICO.N,9.111011,9.259157,9.018419,9.129529,9.129529,103613.0,416211768.187499,,,,,,,,,,,,,,,,,,
1998-01-22,FICO.N,9.129529,9.259157,9.129529,9.259157,9.259157,184277.0,422121468.75,,,,,,,,,,,,,,,,,,
1998-01-23,FICO.N,9.148047,9.148047,8.740645,8.740645,8.740645,368554.0,398482666.499999,,,,,,,,,,,,,,,,,,
1998-01-26,FICO.N,8.740645,8.925828,8.740645,8.740645,8.740645,117788.0,398482666.499999,,,,,,,,,,,,,,,,,,
1998-01-27,FICO.N,8.759163,8.888791,8.666571,8.666571,8.666571,168414.0,395105694.75,,,,,,,,,,,,,,,,,,
